Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,8173069762673,0,1,61
1,8173069772673,10000,1,63
2,8173069782673,10000,1,58
3,8173069792673,10000,1,62
4,8173069802673,10000,1,59
5,8173069812673,10000,1,56
6,8173069822673,10000,1,55
7,8173069832673,10000,1,53
8,8173069842673,10000,1,55
9,8173069852673,10000,1,57
10,8173069862673,10000,1,61
11,8173069872673,10000,1,62
12,8173069882673,10000,1,59
13,8173069892673,10000,1,62
14,8173069902673,10000,1,61
15,8173069912673,10000,1,59
16,8173069922673,10000,1,64
17,8173069932673,10000,1,62
18,8173069942673,10000,1,60
19,8173069952673,10000,1,58
20,8173069962673,10000,1,56
21,8173069972673,10000,1,58
22,8173069982673,10000,1,64
23,8173069992673,10000,1,59
24,8173070002673,10000,1,56
25,8173070012673,10000,1,59
26,8173070022673,10000,1,57
27,8173070032673,10000,1,58
28,8173070042673,10000,1,59
29,8173070052673,10000,1,60
30,8173070062673,10000,1,59
31,8173070072673,10000,1,62
32,8173070082673,10000,1,65
33,8173070092673,10000,1,65
34,8173070102673,10000,1,64
35,8173070112673,10000,1,65
36,8173070122673,10000,1,68
37,8173070132673,10000,1,69
38,8173070142673,10000,1,65
39,8173070152673,10000,1,70
40,8173070162673,10000,1,69
41,8173070172673,10000,1,60
42,8173070182673,10000,1,63
43,8173070192673,10000,1,60
44,8173070202673,10000,1,56
45,8173070212673,10000,1,63
46,8173070222673,10000,1,61
47,8173070232673,10000,1,63
48,8173070242673,10000,1,62
49,8173070252673,10000,1,64
50,8173070262673,10000,1,66
51,8173070272673,10000,1,65
52,8173070282673,10000,1,63
53,8173070292673,10000,1,66
54,8173070302673,10000,1,67
55,8173070312673,10000,1,65
56,8173070322673,10000,1,55
57,8173070332673,10000,1,58
58,8173070342673,10000,1,57
59,8173070352673,10000,1,56
60,8173070362673,10000,1,56
61,8173070372673,10000,1,59
62,8173070382673,10000,1,55
63,8173070392673,10000,1,56
64,8173070402673,10000,1,55
65,8173070412673,10000,1,57
66,8173070422673,10000,1,56
67,8173070432673,10000,1,58
68,8173070442673,10000,1,58
69,8173070452673,10000,1,53
70,8173070462673,10000,1,56
71,8173070472673,10000,1,59
72,8173070482673,10000,1,58
73,8173070492673,10000,1,57
74,8173070502673,10000,1,57
75,8173070512673,10000,1,67
76,8173070522673,10000,1,56
77,8173070532673,10000,1,54
78,8173070542673,10000,1,56
79,8173070552673,10000,1,52
80,8173070562673,10000,1,55
81,8173070572673,10000,1,59
82,8173070582673,10000,1,55
83,8173070592673,10000,1,58
84,8173070602673,10000,1,57
85,8173070612673,10000,1,58
86,8173070622673,10000,1,57
87,8173070632673,10000,1,59
88,8173070642673,10000,1,65
89,8173070652673,10000,1,58
90,8173070662673,10000,1,58
91,8173070672673,10000,1,58
92,8173070682673,10000,1,57
93,8173070692673,10000,1,56
94,8173070702673,10000,1,54
95,8173070712673,10000,1,58
96,8173070722673,10000,1,59
97,8173070732673,10000,1,56
98,8173070742673,10000,1,53
99,8173070752673,10000,1,56
100,8173070762673,10000,1,62
101,8173070772673,10000,1,63
102,8173070782673,10000,1,65
103,8173070792673,10000,1,66
104,8173070802673,10000,1,63
105,8173070812673,10000,1,65
106,8173070822673,10000,1,62
107,8173070832673,10000,1,64
108,8173070842673,10000,1,65
109,8173070852673,10000,1,68
110,8173070862673,10000,1,65
111,8173070872673,10000,1,62
112,8173070882673,10000,1,63
113,8173070892673,10000,1,62
114,8173070902673,10000,1,65
115,8173070912673,10000,1,65
