Time (s),Bitrate (Bps)
0,4157.23
1,4231.24
2,4175.15
3,4134.42
4,4212.61
5,4183.67
6,4183.67
7,4189.78
8,4162.44
9,4212.18
10,4150.10
11,4180.06
12,4204.27
13,4174.31
14,4192.23
15,4176.72
16,4158.91
17,4204.48
18,4181.45
19,4189.41
20,4236.01
21,4182.65
22,4169.40
23,4179.41
24,4172.20
25,4244.65
26,4148.52
27,4165.82
28,4204.06
29,4183.67
30,4205.13
31,4154.55
32,4131.58
33,4238.53
34,4172.27
35,4145.77
36,4221.20
37,4183.67
38,4211.44
39,4147.51
40,4205.18
41,4215.89
42,4184.69
43,4177.37
44,4182.47
45,4179.41
46,4166.67
47,4137.61
48,4169.89
49,4178.32
50,4154.63
51,4182.65
52,4210.79
53,4189.80
54,4136.46
55,4136.87
56,4174.62
57,4204.68
58,4207.32
59,4147.66
60,4231.47
61,4175.15
62,4186.93
63,4158.50
64,4152.13
65,4218.14
66,4215.89
67,4146.79
68,4195.94
69,4179.41
70,4178.21
71,4134.56
72,4137.61
73,4251.78
74,4144.60
75,4208.97
76,4190.23
77,4172.27
78,4170.91
79,4159.42
80,4133.40
81,4216.90
82,4184.32
83,4209.99
84,4160.24
85,4230.06
86,4137.47
87,4220.18
88,4163.73
89,4204.06
90,4162.44
91,4175.15
92,4225.51
93,4187.95
94,4175.15
95,4147.36
96,4117.23
97,4235.23
98,4190.43
99,4153.92
100,4236.55
101,4187.95
102,4166.67
103,4133.40
104,4115.62
105,4213.63
106,4179.41
107,4170.91
108,4229.83
109,4175.15
110,4141.40
111,4175.69
112,4107.29
113,4217.92
114,4130.21
115,4175.15
116,4253.31
117,4187.95
118,4147.09
119,4222.68
120,4154.00
121,4221.20
122,4150.71
123,4163.10
124,4199.80
125,4187.95
126,4206.12
127,4132.04
128,4129.20
129,4225.51
130,4215.89
131,4179.41
132,4208.33
133,4147.09
134,4192.23
135,4163.73
136,4171.92
137,4256.62
138,4183.67
139,4159.88
140,4209.35
141,4159.18
142,4181.63
143,4168.05
144,4215.89
145,4184.69
146,4179.41
147,4179.41
148,4225.51
149,4228.80
150,4084.35
151,4104.10
152,4125.00
153,4240.37
154,4140.97
155,4143.29
156,4216.90
157,4146.07
158,4161.81
159,4205.18
160,4162.44
161,4170.19
162,4147.36
163,4153.77
164,4221.20
165,4219.04
166,4210.63
167,4109.41
168,4132.06
169,4167.68
170,4128.90
171,4232.11
172,4164.47
173,4222.68
174,4168.37
175,4131.36
176,4107.72
177,4248.98
178,4134.42
179,4179.41
180,4212.61
181,4188.78
182,4206.51
183,4142.27
184,4187.95
185,4212.61
186,4179.41
187,4166.67
188,4212.61
189,4187.95
190,4134.42
191,4175.15
192,4169.09
193,4243.63
194,4192.66
195,4178.39
196,4191.88
197,4211.87
198,4168.70
199,4133.40
200,4132.52
201,4226.30
202,4147.51
203,4190.23
204,4194.33
205,4156.12
206,4171.43
207,4133.40
208,4120.81
209,4208.33
210,4197.36
211,4140.24
212,4214.43
213,4198.97
214,4150.31
215,4178.39
216,4175.15
217,4171.92
218,4199.39
219,4183.11
220,4225.51
221,4151.33
222,4166.67
223,4190.67
224,4151.12
225,4251.28
226,4169.89
227,4184.69
228,4216.90
229,4176.53
230,4192.71
231,4194.58
232,4176.72
233,4208.33
234,4174.13
235,4176.17
236,4214.07
237,4186.54
238,4151.73
239,4156.82
240,4170.91
241,4180.43
242,4211.60
243,4170.91
244,4180.24
245,4175.33
246,4170.91
247,4212.83
248,4175.49
249,4208.33
250,4175.15
251,4154.63
252,4238.78
253,4158.65
254,4221.43
255,4165.11
256,4189.60
257,4209.18
258,4182.93
259,4170.91
260,4187.18
261,4220.29
262,4119.80
263,4126.90
264,4198.78
265,4234.15
266,4134.42
267,4175.15
268,4257.64
269,4164.10
270,4211.60
271,4172.38
272,4143.88
273,4247.97
274,4134.42
275,4220.18
276,4176.17
277,4205.94
278,4214.29
279,4146.94
280,4093.50
281,4254.08
282,4155.49
283,4202.25
284,4208.97
285,4159.35
286,4187.95
287,4133.27
288,4175.51
289,4192.03
290,4179.41
291,4179.41
292,4221.20
293,4215.89
294,4166.67
295,4136.32
296,4176.72
297,4222.45
298,4185.15
299,4152.83
300,4237.27
301,4138.63
302,4183.11
303,4199.39
304,4150.83
305,4171.92
306,4215.89
307,4121.83
308,4234.15
309,4187.95
310,4175.15
311,4174.13
312,4084.35
313,4243.63
314,4197.76
315,4162.77
316,4171.57
317,4179.41
318,4215.89
319,4126.03
320,4150.41
321,4221.20
322,4208.55
323,4145.92
324,4257.41
325,4160.37
326,4200.00
327,4157.68
328,4149.54
329,4251.53
330,4130.21
331,4187.95
332,4216.90
333,4202.25
334,4193.09
335,4175.15
336,4167.53
337,4189.41
338,4182.28
339,4213.05
340,4176.17
341,4224.49
342,4166.67
343,4166.84
344,4169.79
345,4196.54
346,4169.89
347,4170.91
348,4292.42
