Time (s),Bitrate (Bps)
0,217268.04
1,116581.28
2,134912.86
3,123153.20
4,86302.25
5,22989.67
6,13671.13
7,12793.39
8,13708.81
9,12076.68
10,13417.62
11,13862.46
12,9284.53
13,16873.71
14,11386.29
15,8603.09
16,17099.16
17,12579.71
18,14352.39
19,13246.90
20,13570.39
21,13381.44
22,14478.80
23,13967.01
24,13819.23
25,13840.08
26,13461.70
27,14035.12
28,105484.54
29,98027.84
30,94341.26
31,89731.68
32,85567.90
33,75188.85
34,67765.32
35,62280.41
36,50757.42
37,67772.54
38,90723.82
39,86021.67
40,67289.56
41,120799.17
42,185238.34
43,137572.91
44,62003.10
45,69453.51
46,68597.93
47,82497.93
48,108932.57
49,56067.85
50,25407.29
51,45867.36
52,35558.09
53,27588.90
54,62490.70
55,47018.50
56,61006.24
57,62233.40
58,82224.77
59,103079.79
60,101672.88
61,86137.40
62,137987.62
63,21901.66
64,40112.84
65,36277.43
66,45770.19
67,102297.94
68,153986.56
69,133966.94
70,186072.46
71,183772.49
72,186233.47
73,136472.48
74,123238.59
75,95368.15
76,58866.87
77,33854.19
78,17950.52
79,45343.94
80,53112.15
81,30456.99
82,34061.92
83,47662.20
84,46092.42
85,29263.37
86,32384.30
87,26570.69
88,44345.01
89,64288.52
90,43832.47
91,28362.41
92,25055.50
93,49039.88
94,41820.25
95,76385.33
96,36925.62
97,55276.22
98,72106.36
99,85736.51
100,56662.20
101,76653.21
102,58798.55
103,67934.78
104,69430.77
105,82182.29
106,87518.25
107,57931.61
108,59283.06
109,87675.26
110,81115.15
111,100154.80
112,186807.85
113,128519.09
114,103288.52
115,88580.58
116,95052.63
117,44130.57
118,41340.91
119,48159.75
120,79077.56
121,77798.14
122,43053.66
123,45294.00
124,60232.44
125,58465.36
126,58779.38
127,65472.05
128,81059.92
129,75193.15
130,49010.36
131,81578.95
132,77797.10
133,93351.91
134,62560.95
135,82996.89
136,115088.93
137,57973.08
138,48533.68
139,42398.14
140,28881.15
141,22554.64
142,52556.58
143,54451.55
144,80166.49
145,99322.95
146,105571.43
147,71609.10
148,70301.85
149,38693.02
150,33572.77
151,32513.01
152,43359.67
153,50202.49
154,85355.81
155,67807.89
156,84951.35
157,89334.37
158,63583.59
159,54730.09
160,36649.48
161,62948.08
162,88957.47
163,52302.28
164,42403.09
165,31530.51
166,50116.62
167,44902.06
168,64434.92
169,118381.99
170,113327.80
171,69538.30
172,64624.49
173,79446.52
174,108748.71
175,116154.08
176,106941.12
177,114521.29
178,87769.71
179,97605.59
180,136834.53
181,138939.96
182,61246.12
183,19173.73
184,22595.66
185,88315.03
186,142306.50
187,97191.12
188,98191.60
189,159144.48
190,53528.50
191,45391.93
192,61145.23
193,65905.80
194,79285.86
195,49243.55
196,52255.69
197,44509.82
198,35986.50
199,91549.12
200,97137.97
201,52837.84
202,140580.71
203,148050.46
204,174744.50
205,162310.88
206,202011.42
207,84365.98
208,56726.14
209,63611.86
210,76550.72
211,100106.40
212,74528.87
213,40330.93
214,43314.70
215,19074.61
216,19731.61
217,41670.81
218,40044.51
219,96903.09
220,96289.69
221,56922.44
222,73198.96
223,50149.79
224,22258.53
225,39931.75
226,80906.93
227,59635.89
228,40590.06
229,34747.68
230,44856.99
231,28067.29
232,30962.77
233,39496.89
234,71086.87
235,76084.62
236,113483.51
237,150055.90
238,122234.50
239,111623.59
240,97358.55
241,148320.62
242,92776.40
243,58341.94
244,56532.79
245,92091.75
246,127167.70
247,84835.23
248,55407.29
249,33194.59
250,76320.25
251,78596.69
252,81123.58
253,58489.14
254,78899.38
255,60436.72
256,86338.86
257,47746.36
258,49719.46
259,48424.59
260,72824.02
261,40065.28
262,54502.07
263,77338.84
264,136568.32
265,137195.02
266,132585.74
267,71957.64
268,64129.00
269,73383.42
270,79459.63
271,99539.26
272,97281.87
273,90825.73
274,51837.31
275,57810.95
276,51545.83
277,66806.22
278,38263.70
279,21865.70
280,25403.73
281,38564.90
282,35387.80
283,29288.52
284,26043.39
285,54992.78
286,103077.48
287,153567.88
288,127904.86
289,56008.28
290,65217.75
291,128292.36
292,55675.65
293,47253.09
294,76646.69
295,69313.28
296,87345.40
297,105107.77
298,68300.31
299,48608.65
300,72085.39
301,136871.90
302,49247.93
303,49779.15
304,98892.34
305,83400.41
306,154924.04
307,145761.56
308,109343.24
309,113873.20
310,111360.25
311,120490.13
312,108480.37
313,136847.98
314,167108.45
315,125132.37
316,46433.75
317,135849.02
318,101714.29
319,79571.87
320,143360.54
321,212783.64
322,92722.57
323,94493.80
324,106737.82
325,93097.21
326,90041.37
327,79654.24
328,73332.99
329,62403.33
330,99087.45
331,35794.63
332,17699.07
333,59556.82
334,42438.72
335,35843.69
336,155307.77
337,187112.03
338,186549.59
339,196624.22
340,148779.73
341,139238.97
342,161733.13
343,177578.24
344,188407.25
345,99303.31
346,146919.25
347,45849.33
348,112009.51
