Chunk Index,Relative Timestamp Difference (μs)
0,49991
1,19991
2,60003
3,30003
4,3
5,39994
6,9993
7,49990
8,19990
9,59982
10,29982
11,70084
12,40084
13,10084
14,49986
15,19986
16,59961
17,29961
18,71873
19,41873
20,11873
21,49997
22,19997
23,59984
24,29983
25,71903
26,41903
27,11903
28,49980
29,19980
30,5343
31,5597
32,3971
33,3289
34,3274
35,3271
36,3290
37,3288
38,3283
39,2142
40,16622
41,2402
42,3294
43,3273
44,3265
45,3262
46,3270
47,4016
48,5924
49,4639
50,3248
51,3272
52,3247
53,3237
54,3260
55,3225
56,83
57,1399
58,17
59,3238
60,3267
61,3221
62,3218
63,4207
64,4410
65,4295
66,3230
67,3176
68,3178
69,3197
70,3187
71,3209
72,124
73,3171
74,705
75,3201
76,3182
77,3148
78,3156
79,4323
80,5141
81,4549
82,3161
83,3148
84,3140
85,3144
86,3155
87,3143
88,388
89,1882
90,3125
91,3132
92,3145
93,3105
94,3083
95,3917
96,5449
97,3146
98,3432
99,3129
100,3095
101,3106
102,3108
103,3100
104,280
105,1349
106,193
107,3072
108,3113
109,3099
110,3056
111,4005
112,5621
113,4516
114,3043
115,3071
116,906
117,33072
118,3072
119,3036
120,3069
121,3056
122,220
123,685
124,1151
125,3037
126,3076
127,3019
128,3039
129,3636
130,3813
131,4016
132,2998
133,3001
134,2985
135,3018
136,3005
137,3045
138,331
139,2502
140,339
141,2968
142,2974
143,2953
144,2957
145,4066
146,3208
147,2960
148,2942
149,2947
150,2952
151,2936
152,2931
153,2931
154,141
155,1762
156,2927
157,2938
158,2926
159,2909
160,2914
161,3325
162,3797
163,2900
164,2906
165,2986
166,2890
167,2909
168,2892
169,2888
170,2883
171,71
172,401
173,2877
174,2875
175,2862
176,2868
177,2858
178,3396
179,4302
180,2845
181,2842
182,2857
183,2841
184,2856
185,2826
186,2848
187,93
188,2822
189,2831
190,2831
191,2818
192,2845
193,3144
194,3568
195,2865
196,2814
197,2812
198,2800
199,2802
200,2795
201,2803
202,2776
203,67
204,836
205,2785
206,2776
207,2772
208,2769
209,2781
210,5540
211,4221
212,3405
213,2763
214,2763
215,2741
216,2785
217,2740
218,2734
219,233
220,2730
221,2749
222,2748
223,2733
224,2718
225,3031
226,4084
227,2714
228,2731
229,2721
