Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,8242987107269,12066666,8242975040603,20000
1,8242987107269,12099987,8242975040603,20000
2,8242987197269,12166657,8242975030612,10009
3,8242987197269,12201527,8242975030612,10009
4,8242987317269,12266669,8242975050600,29997
5,8242987317269,12299973,8242975050600,29997
6,8242987407269,12366659,8242975040610,20007
7,8242987407269,12399964,8242975040610,20007
8,8242987497269,12466656,8242975030613,10010
9,8242987497269,12499958,8242975030613,10010
10,8242987587269,12566648,8242975020621,18
11,8242987587269,12599992,8242975020621,18
12,8242987707269,12666750,8242975040519,19916
13,8242987707269,12699981,8242975040519,19916
14,8242987797269,12766652,8242975030617,10014
15,8242987797269,12799988,8242975030617,10014
16,8242987887269,12866627,8242975020642,39
17,8242987887269,12899996,8242975020642,39
18,8242988007269,12968539,8242975038730,18127
19,8242988007269,12999980,8242975038730,18127
20,8242988097269,13066663,8242975030606,10003
21,8242988097269,13099981,8242975030606,10003
22,8242988187269,13166649,8242975020620,17
23,8242988187269,13199983,8242975020620,17
24,8242988307269,13268569,8242975038700,18097
25,8242988307269,13299991,8242975038700,18097
26,8243013957269,38899733,8242975057536,36933
27,8243013957269,38933060,8242975057536,36933
