Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,8242987087269,0,1,63
1,8242987097269,10000,1,63
2,8242987107269,10000,1,63
3,8242987117269,10000,1,63
4,8242987127269,10000,1,63
5,8242987137269,10000,1,63
6,8242987147269,10000,1,63
7,8242987157269,10000,1,63
8,8242987167269,10000,1,63
9,8242987177269,10000,1,63
10,8242987187269,10000,1,63
11,8242987197269,10000,1,63
12,8242987207269,10000,1,63
13,8242987217269,10000,1,63
14,8242987227269,10000,1,62
15,8242987237269,10000,1,64
16,8242987247269,10000,1,63
17,8242987257269,10000,1,61
18,8242987267269,10000,1,63
19,8242987277269,10000,1,63
20,8242987287269,10000,1,61
21,8242987297269,10000,1,62
22,8242987307269,10000,1,63
23,8242987317269,10000,1,61
24,8242987327269,10000,1,61
25,8242987337269,10000,1,62
26,8242987347269,10000,1,59
27,8242987357269,10000,1,61
28,8242987367269,10000,1,60
29,8242987377269,10000,1,60
30,8242987387269,10000,1,59
31,8242987397269,10000,1,61
32,8242987407269,10000,1,60
33,8242987417269,10000,1,59
34,8242987427269,10000,1,60
35,8242987437269,10000,1,62
36,8242987447269,10000,1,62
37,8242987457269,10000,1,63
38,8242987467269,10000,1,63
39,8242987477269,10000,1,63
40,8242987487269,10000,1,63
41,8242987497269,10000,1,63
42,8242987507269,10000,1,63
43,8242987517269,10000,1,63
44,8242987527269,10000,1,63
45,8242987537269,10000,1,63
46,8242987547269,10000,1,63
47,8242987557269,10000,1,63
48,8242987567269,10000,1,63
49,8242987577269,10000,1,63
50,8242987587269,10000,1,63
51,8242987597269,10000,1,64
52,8242987607269,10000,1,63
53,8242987617269,10000,1,79
54,8242987627269,10000,1,62
55,8242987637269,10000,1,64
56,8242987647269,10000,1,65
57,8242987657269,10000,1,63
58,8242987667269,10000,1,65
59,8242987677269,10000,1,64
60,8242987687269,10000,1,67
61,8242987697269,10000,1,67
62,8242987707269,10000,1,65
63,8242987717269,10000,1,64
64,8242987727269,10000,1,70
65,8242987737269,10000,1,63
66,8242987747269,10000,1,63
67,8242987757269,10000,1,63
68,8242987767269,10000,1,63
69,8242987777269,10000,1,63
70,8242987787269,10000,1,62
71,8242987797269,10000,1,64
72,8242987807269,10000,1,61
73,8242987817269,10000,1,60
74,8242987827269,10000,1,61
75,8242987837269,10000,1,64
76,8242987847269,10000,1,63
77,8242987857269,10000,1,61
78,8242987867269,10000,1,62
79,8242987877269,10000,1,61
80,8242987887269,10000,1,63
81,8242987897269,10000,1,65
82,8242987907269,10000,1,65
83,8242987917269,10000,1,70
84,8242987927269,10000,1,63
85,8242987937269,10000,1,63
86,8242987947269,10000,1,63
87,8242987957269,10000,1,63
88,8242987967269,10000,1,63
89,8242987977269,10000,1,63
90,8242987987269,10000,1,63
91,8242987997269,10000,1,63
92,8242988007269,10000,1,63
93,8242988017269,10000,1,63
94,8242988027269,10000,1,63
95,8242988037269,10000,1,63
96,8242988047269,10000,1,63
97,8242988057269,10000,1,63
98,8242988067269,10000,1,63
99,8242988077269,10000,1,63
100,8242988087269,10000,1,63
