Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,12066666,0,1,3902
1,12099987,33321,0,6688
2,12133313,33326,0,5751
3,12166657,33344,0,4790
4,12201527,34870,0,4562
5,12233337,31810,0,4577
6,12266669,33332,0,1076
7,12299973,33304,0,5107
8,12333312,33339,0,5236
9,12366659,33347,0,1076
10,12399964,33305,0,3832
11,12434962,34998,0,4386
12,12466656,31694,0,839
13,12499958,33302,0,4262
14,12533299,33341,0,4298
15,12566648,33349,0,3777
16,12599992,33344,0,4787
17,12633325,33333,0,915
18,12666750,33425,0,4632
19,12699981,33231,0,4240
20,12733896,33915,0,4513
21,12766652,32756,0,861
22,12799988,33336,0,4407
23,12833315,33327,0,4213
24,12866627,33312,0,955
25,12899996,33369,0,4313
26,12933315,33319,0,4153
27,12968539,35224,0,4425
28,12999980,31441,0,4352
29,13036460,36480,0,3875
30,13066663,30203,1,4130
31,13099981,33318,0,6965
32,13133320,33339,0,4548
33,13166649,33329,0,4425
34,13199983,33334,0,4617
35,13233315,33332,0,4911
36,13268569,35254,0,4438
37,13299991,31422,0,4406
38,13333312,33321,0,4421
39,13366646,33334,0,4527
40,13399968,33322,0,4545
41,13433291,33323,0,818
42,13466625,33334,0,5008
43,13502009,35384,0,3777
44,13533321,31312,0,4332
45,13568123,34802,0,4445
46,13599998,31875,0,4445
47,13633320,33322,0,4466
48,13666652,33332,0,4446
49,13699972,33320,0,4066
50,13733306,33334,0,3803
51,13766637,33331,0,4033
52,13802263,35626,0,4399
53,13833313,31050,0,4489
54,13866635,33322,0,4474
55,13899964,33329,0,4527
56,13933305,33341,0,4698
57,13966653,33348,0,4093
58,13999972,33319,0,4117
59,14034838,34866,0,3816
60,14066661,31823,1,4503
61,14100637,33976,0,7140
62,14133305,32668,0,4404
63,14166632,33327,0,4312
64,14199974,33342,0,4466
65,14233299,33325,0,4218
66,14266628,33329,0,4223
67,14299969,33341,0,4183
68,14335362,35393,0,4123
69,14366635,31273,0,4205
70,14399955,33320,0,4166
71,14433297,33342,0,4012
72,14466641,33344,0,4212
73,14499970,33329,0,3993
74,14533277,33307,0,3914
75,14568592,35315,0,3844
76,14599981,31389,0,3703
77,14633314,33333,0,3500
78,14666621,33307,0,3558
79,14699940,33319,0,3696
80,14733313,33373,0,3845
81,14766629,33316,0,3638
82,14799967,33338,0,3691
83,14833294,33327,0,3614
84,14868361,35067,0,3600
85,14899946,31585,0,3590
86,14933379,33433,0,3540
87,14966632,33253,0,3288
88,14999937,33305,0,3508
89,15033285,33348,0,3358
90,15066629,33344,1,4604
91,15101342,34713,0,6921
92,15133750,32408,0,3318
93,15166606,32856,0,3254
