Time (s),Bitrate (Bps)
0,4325.61
1,4137.61
2,4178.61
3,4105.16
4,4158.22
5,4166.67
6,4166.67
7,4183.67
8,4211.74
9,4165.65
10,4146.61
11,4170.91
12,4175.15
13,4179.41
14,4221.20
15,4187.95
16,4194.08
17,4161.83
18,4196.56
19,4181.08
20,4208.97
21,4179.41
22,4171.92
23,4175.15
24,4204.57
25,4122.97
26,4162.79
27,4152.99
28,4158.22
29,4170.91
30,4204.06
31,4186.35
32,4198.15
33,4225.71
34,4169.18
35,4145.47
36,4175.99
37,4174.31
38,4180.06
39,4170.68
40,4127.81
41,4235.91
42,4131.85
43,4188.83
44,4126.02
45,4197.56
46,4190.23
47,4192.23
48,4240.78
49,4177.75
50,4159.23
51,4178.21
52,4221.43
53,4138.63
54,4242.61
55,4158.00
56,4182.65
57,4143.75
58,4244.67
59,4175.15
60,4151.89
61,4198.37
62,4184.69
63,4175.15
64,4242.68
65,4128.05
66,4217.61
67,4144.46
68,4179.41
69,4166.67
70,4260.96
71,4139.65
72,4154.55
73,4168.05
74,4182.83
75,4175.15
76,4163.45
77,4165.65
78,4208.33
79,4179.41
80,4158.81
81,4176.72
82,4178.61
83,4194.53
84,4134.42
85,4154.00
86,4216.90
87,4183.67
88,4227.08
89,4116.99
90,4153.38
91,4195.74
92,4179.41
93,4162.44
94,4221.20
95,4189.16
96,4104.08
97,4196.48
98,4161.78
99,4195.92
100,4188.39
101,4175.15
102,4212.61
103,4146.07
104,4209.45
105,4143.60
106,4204.27
107,4187.18
108,4199.59
109,4170.91
110,4199.39
111,4196.94
112,4133.67
113,4104.78
114,4170.53
115,4162.44
116,4220.18
117,4175.15
118,4216.90
119,4154.55
120,4194.15
121,4141.84
122,4171.92
123,4149.80
124,4170.91
125,4171.92
126,4258.92
127,4149.13
128,4202.93
129,4184.69
130,4197.77
131,4166.67
132,4147.09
133,4189.66
134,4185.34
135,4237.46
136,4137.76
137,4174.27
138,4204.06
139,4175.15
140,4130.21
141,4195.52
142,4196.54
143,4201.43
144,4230.93
145,4147.09
146,4182.83
147,4166.67
148,4203.46
149,4183.30
150,4165.48
151,4214.29
152,4104.99
153,4150.83
154,4206.45
155,4125.89
156,4179.41
157,4166.67
158,4216.90
159,4233.13
160,4154.55
161,4125.00
162,4134.07
163,4171.92
164,4174.13
165,4175.15
166,4211.60
167,4116.47
168,4167.35
169,4130.84
170,4199.80
171,4215.89
172,4159.55
173,4147.51
174,4247.45
175,4177.07
176,4116.21
177,4161.42
178,4167.68
179,4175.15
180,4170.91
181,4184.69
182,4252.29
183,4200.82
184,4187.95
185,4163.73
186,4195.54
187,4170.91
188,4166.67
189,4166.67
190,4171.92
191,4200.82
192,4194.15
193,4129.20
194,4191.30
195,4211.60
196,4150.71
197,4203.87
198,4221.20
199,4200.82
200,4175.15
201,4176.72
202,4138.21
203,4197.56
204,4160.73
205,4184.32
206,4177.85
207,4189.16
208,4181.08
209,4184.84
210,4185.98
211,4175.15
212,4194.73
213,4125.89
214,4221.20
215,4201.84
216,4219.16
217,4130.84
218,4210.47
219,4183.67
220,4170.91
221,4134.42
222,4229.83
223,4228.80
224,4101.02
225,4161.42
226,4182.83
227,4162.44
228,4175.15
229,4175.15
230,4208.33
231,4200.82
232,4180.98
233,4179.46
234,4204.06
235,4183.67
236,4166.84
237,4179.23
238,4131.10
239,4238.73
240,4175.15
241,4130.84
242,4244.67
243,4153.30
244,4139.37
245,4175.15
246,4212.61
247,4224.49
248,4167.53
249,4160.41
250,4185.30
251,4165.99
252,4180.06
253,4131.23
254,4256.62
255,4151.02
256,4173.65
257,4106.17
258,4179.80
259,4181.26
260,4179.41
261,4138.63
262,4238.82
263,4148.83
264,4212.46
265,4184.65
266,4163.45
267,4175.15
268,4158.22
269,4193.09
270,4213.27
271,4189.80
272,4186.99
273,4117.89
274,4192.07
275,4174.31
276,4162.93
277,4183.30
278,4204.48
279,4211.60
280,4133.96
281,4207.14
282,4185.67
283,4158.05
284,4179.78
285,4155.80
286,4171.75
287,4183.86
288,4211.90
289,4121.46
290,4216.90
291,4162.44
292,4170.91
293,4215.89
294,4204.06
295,4177.73
296,4137.61
297,4152.28
298,4157.42
299,4224.49
300,4170.91
301,4152.91
302,4210.79
303,4214.72
304,4193.88
305,4168.05
306,4208.38
307,4159.39
308,4150.41
309,4175.15
310,4216.90
311,4211.60
312,4150.00
313,4205.61
314,4213.63
315,4170.91
316,4142.86
317,4179.41
318,4219.51
319,4174.13
320,4165.99
321,4167.01
322,4244.67
323,4130.21
324,4203.05
325,4144.90
326,4251.27
327,4149.13
328,4177.37
329,4207.47
330,4140.26
331,4175.15
332,4179.41
333,4171.92
334,4230.06
335,4159.64
336,4151.33
337,4159.42
338,4199.80
339,4220.18
340,4167.01
341,4183.30
342,4219.39
343,4144.75
344,4218.30
345,4168.87
346,4180.99
347,4146.79
348,4211.96
