Time (s),Bitrate (Bps)
0,171346.94
1,132809.92
2,135186.79
3,134537.75
4,111921.16
5,85744.02
6,96688.80
7,97258.99
8,96723.60
9,93950.52
10,51827.48
11,55637.97
12,49831.44
13,33484.50
14,95705.70
15,28421.81
16,21449.84
17,14085.92
18,14074.38
19,13526.53
20,14098.55
21,13919.09
22,14385.89
23,14060.82
24,13761.41
25,13883.82
26,13440.17
27,14511.94
28,13465.36
29,15332.99
30,13513.43
31,13010.27
32,13040.46
33,12842.98
34,13235.23
35,13495.35
36,12603.52
37,11554.29
38,13919.09
39,12826.13
40,13604.72
41,15659.77
42,14695.34
43,13296.07
44,12756.22
45,13566.25
46,18081.61
47,68090.91
48,94811.73
49,110951.19
50,31217.75
51,31795.85
52,47418.65
53,27207.43
54,45882.84
55,53042.31
56,51655.31
57,65397.73
58,57887.40
59,87489.14
60,108023.86
61,92912.77
62,109463.21
63,98505.15
64,22885.77
65,40827.30
66,38559.34
67,61191.91
68,132942.29
69,135881.25
70,155193.55
71,188590.16
72,184766.29
73,180013.47
74,124476.59
75,109832.82
76,92993.78
77,45447.92
78,26876.03
79,9699.69
80,11664.25
81,12234.50
82,7012.42
83,13205.24
84,9281.41
85,11908.06
86,8010.35
87,8509.26
88,11433.57
89,12803.74
90,13177.75
91,10521.69
92,11117.53
93,14215.46
94,9615.63
95,19004.10
96,13413.58
97,14426.50
98,12268.32
99,17513.03
100,14767.63
101,14855.37
102,14727.84
103,13456.88
104,13405.63
105,15456.79
106,16017.62
107,14741.20
108,12038.38
109,69979.10
110,89679.09
111,66938.27
112,141123.06
113,179413.47
114,110041.58
115,108904.27
116,86284.83
117,80573.07
118,44616.80
119,41578.24
120,55886.13
121,87548.55
122,61466.39
123,40783.06
124,44251.57
125,63870.06
126,55655.93
127,71202.87
128,67675.95
129,80295.03
130,64324.35
131,60082.82
132,80065.15
133,83284.97
134,85881.13
135,57892.56
136,102361.57
137,105116.86
138,48249.74
139,40747.14
140,41177.20
141,29297.21
142,19297.94
143,60703.40
144,66028.99
145,85666.32
146,91905.06
147,116174.09
148,58118.13
149,59924.84
150,43448.45
151,25570.84
152,38827.30
153,42850.93
154,62882.78
155,84187.37
156,71193.58
157,85415.63
158,73983.56
159,77340.91
160,35739.18
161,37994.83
162,71773.29
163,93169.97
164,43365.52
165,39299.48
166,41155.03
167,48516.53
168,51704.66
169,69597.11
170,124747.41
171,101698.56
172,65592.90
173,65926.20
174,92393.41
175,110820.14
176,111486.63
177,110381.84
178,124034.02
179,55137.21
180,130898.23
181,143663.53
182,106174.82
183,48139.77
184,18397.72
185,23358.63
186,137137.97
187,117674.64
188,98244.03
189,132088.08
190,123081.70
191,37619.05
192,67577.92
193,47052.69
194,63507.25
195,82297.10
196,49345.40
197,45304.03
198,40263.37
199,36246.90
200,115423.99
201,71988.61
202,76128.23
203,154743.01
204,152432.12
205,162174.27
206,187228.31
207,174377.07
208,66226.47
209,63830.40
210,68287.63
211,75261.63
212,91901.03
213,71228.54
214,38379.92
215,30486.57
216,19064.25
217,36926.73
218,25540.54
219,58417.27
220,106191.91
221,45620.19
222,9025.75
223,15071.13
224,10870.20
225,9881.99
226,13773.06
227,11438.47
228,11252.85
229,10762.15
230,7519.63
231,10941.97
232,7026.92
233,9775.36
234,8240.17
235,17336.10
236,20722.92
237,17865.42
238,19295.69
239,12250.78
240,17545.83
241,16627.19
242,16089.88
243,13371.37
244,14127.35
245,12477.72
246,16034.13
247,15444.67
248,13321.28
249,12497.41
250,9072.69
251,57189.83
252,79149.33
253,71984.34
254,73591.90
255,70820.25
256,60209.16
257,80777.89
258,38770.58
259,57972.97
260,64803.11
261,51748.19
262,42747.42
263,50896.66
264,106798.96
265,137592.55
266,136020.68
267,120706.00
268,68348.86
269,47504.69
270,79321.21
271,87429.90
272,108832.30
273,94037.27
274,92562.11
275,36560.17
276,63945.08
277,55309.20
278,61755.67
279,24629.78
280,24540.37
281,28826.09
282,35765.32
283,36317.81
284,24443.75
285,27781.48
286,72489.19
287,138082.65
288,123959.38
289,117215.99
290,46024.90
291,102670.81
292,109303.63
293,30738.86
294,72827.12
295,67468.88
296,73593.40
297,95624.62
298,95302.37
299,58980.15
300,54946.71
301,64034.20
302,14292.36
303,11229.81
304,12795.45
305,14110.65
306,17160.62
307,14484.38
308,10848.55
309,13417.18
310,11931.75
311,15751.55
312,13156.31
313,11274.04
314,19905.89
315,17291.19
316,12868.39
317,15634.77
318,14415.46
319,17561.08
320,15164.26
321,14484.47
322,12034.09
323,14335.42
324,13899.17
325,14769.95
326,13185.83
327,12223.71
328,11849.33
329,11533.75
330,12679.42
331,19804.75
332,28598.55
333,35896.80
334,49503.62
335,40379.67
336,55936.85
337,185484.44
338,183062.24
339,190708.81
340,189592.94
341,138665.98
342,148125.64
343,161242.86
344,180194.01
345,164912.01
346,106261.36
347,117539.34
348,41255.14
349,178285.06
