Chunk Index,Relative Timestamp Difference (μs)
0,681412
1,651412
2,621412
3,591412
4,561412
5,531412
6,501412
7,471412
8,441413
9,411412
10,381412
11,351412
12,321412
13,291412
14,261412
15,231412
16,201412
17,171412
18,141412
19,111412
20,81412
21,51412
22,21412
23,60013
24,30013
25,13
26,39996
27,9996
28,52288
29,22288
30,59975
31,29974
32,69998
33,39998
34,9998
35,51016
36,21016
37,59981
38,29981
39,69994
40,39994
41,9994
42,49973
43,19973
44,59994
45,29994
46,70000
47,40000
48,10000
49,49966
50,19966
51,59970
52,29970
53,70012
54,40013
55,10013
56,49969
57,19969
58,60999
59,30999
60,999
61,39982
62,9982
63,49999
64,19999
65,61963
66,31963
67,1963
68,39996
69,9996
70,49975
71,19975
72,1295
73,3315
74,3294
75,3301
76,3281
77,4682
78,4256
79,4015
80,4723
81,3244
82,3241
83,3227
84,30
85,3232
86,803
87,1756
88,394
89,3260
90,3237
91,3237
92,3241
93,4621
94,5847
95,3934
96,4634
97,3235
98,3238
99,3236
100,3237
101,3255
102,702
103,1406
104,253
105,3217
106,3231
107,3237
108,3195
109,3768
110,4758
111,3619
112,3144
113,3194
114,3191
115,3170
116,3176
117,3178
118,646
119,1736
120,582
121,3175
122,3151
123,3171
124,3252
125,3856
126,4584
127,3618
128,3861
129,3149
130,3132
131,3136
132,3123
133,3133
134,536
135,1368
136,3118
137,3134
138,3115
139,3129
140,3100
141,3501
142,3709
143,4373
144,4377
145,3096
146,3085
147,3107
148,3080
149,3071
150,176
151,2290
152,3063
153,3069
154,3054
155,3115
156,3066
157,4330
158,5049
159,3041
160,4006
161,3065
162,3032
163,3022
164,3030
165,3014
166,535
167,2048
168,120
169,3017
170,3004
171,3017
172,3009
173,3321
174,3191
175,2986
176,3338
177,2999
178,2978
179,2978
180,3008
181,2976
182,799
183,1334
184,1018
185,2951
186,2975
187,2943
188,2982
189,3026
190,4758
191,2981
192,5355
193,2932
194,2957
195,2939
196,2928
197,2933
198,840
199,13
200,2919
201,2928
202,2917
203,2909
204,2915
205,3424
206,3206
207,3929
208,2893
209,2902
210,2889
211,2880
212,2887
213,2887
214,549
215,1358
216,32875
217,2875
218,2880
219,2856
220,2849
221,2847
222,3436
223,3958
224,4488
225,4272
226,2858
227,2837
228,2857
229,2833
230,2839
231,2830
232,2826
233,2819
234,2849
235,2818
236,2822
237,2801
238,3211
239,3181
240,2824
241,2789
242,2798
243,2773
244,2787
245,2795
246,2774
247,260
248,2756
249,2777
250,2759
251,2779
252,2769
253,2751
254,3373
255,5502
256,3955
257,2742
258,2742
259,2747
260,2760
261,2746
262,2751
263,419
264,1241
265,2727
266,2717
267,2743
268,2742
269,2726
270,3062
271,3230
272,3381
273,2728
274,2706
275,2679
276,2694
277,2685
278,2698
279,2707
280,1057
281,2689
282,2676
283,2668
284,2704
285,2684
286,3065
287,13141
288,3281
289,2804
290,2649
291,2661
292,2638
293,2667
294,1586
295,2635
296,1630
297,2612
298,2623
299,2640
300,2616
301,2632
302,3050
303,4251
304,2587
305,3877
306,2592
307,2588
308,2622
309,2603
310,2596
311,2602
312,1795
313,2582
314,2596
315,2616
316,2578
317,2557
318,2584
319,5170
320,3249
321,2564
322,2538
323,2568
324,2535
325,2558
326,2563
327,2547
328,93
329,2533
330,2543
331,2537
332,2535
333,2533
334,2535
335,4023
336,3684
337,9794
338,2509
339,2522
340,2512
341,2528
342,2512
343,2503
344,288
345,2503
346,2523
347,2518
348,2487
349,2490
350,2479
351,4280
352,2462
353,4604
354,2459
355,2457
356,2458
357,2455
358,2446
359,2444
360,2462
361,124
362,2435
363,2446
364,2446
365,2439
366,2442
367,3079
368,4508
369,2409
370,2413
371,2392
372,2420
373,2409
374,2413
375,2407
376,1680
377,2394
378,2407
379,2392
380,2389
381,2401
382,2389
383,3028
384,2350
385,3125
386,2356
387,2367
388,2360
389,2354
390,2358
391,2351
392,1648
393,2355
394,2345
395,2346
396,2337
397,2327
398,2354
399,3930
400,4494
401,2362
402,2310
403,2317
404,2318
405,2322
406,2307
407,2317
408,1321
409,2321
410,2299
411,2302
412,2299
413,2302
414,2303
415,3926
416,2599
417,3780
418,2238
419,2236
420,2235
421,2236
422,2232
423,2244
424,1684
425,9071
426,298
427,2247
428,2254
429,2228
430,2241
431,2236
432,3139
433,3601
434,3001
435,2221
436,2230
437,2230
438,2226
439,2219
440,2230
441,2225
442,2216
443,2235
444,2208
445,2235
446,2191
447,2208
448,2872
449,2858
450,2208
451,2176
452,2163
453,2178
454,2157
455,2164
456,2169
457,77
458,2936
459,2171
460,2166
461,2152
462,2162
463,2123
464,3822
465,2123
466,2118
467,2139
468,2121
469,2114
470,2134
471,2116
472,2123
473,2102
474,172
475,2120
476,2115
477,2077
478,2110
479,2104
480,3648
481,2248
482,2619
483,2069
484,2081
485,2086
486,2066
487,2064
488,2056
489,2085
490,2080
491,2060
492,2074
493,2066
494,2047
495,2047
496,3829
497,2023
498,2787
499,5798
500,2014
501,2033
502,2017
503,2016
504,2017
505,1069
506,2012
507,2006
508,2015
509,2016
510,2016
511,2000
512,3750
513,2901
514,1982
515,1979
516,1992
517,1976
518,1975
519,1987
520,1965
521,1987
522,1956
523,1962
524,1952
525,1952
526,1956
527,1950
528,3614
529,2631
530,2255
531,1926
532,1907
533,1923
534,1931
535,1941
536,1933
537,1920
538,90
539,1887
540,1904
541,1905
542,1907
543,1912
544,2094
545,2774
546,3314
547,1884
548,1893
549,1848
550,1895
551,1880
552,1885
553,1885
554,1879
555,1896
556,1850
557,1886
558,1860
559,1864
560,2072
561,1833
562,2972
563,1843
564,1830
565,1835
566,1833
567,1828
568,1816
569,1839
570,1823
571,1827
572,1816
573,1824
574,1819
575,1824
576,1823
577,2994
578,1980
579,1748
580,1790
581,1771
582,1776
583,1785
584,1792
585,1782
586,1785
587,1815
588,1749
589,1779
590,1764
591,1775
592,2746
593,1743
594,1675
595,1727
596,1775
597,1737
598,1726
599,1746
600,1717
601,1729
602,1731
603,1736
604,1733
605,1729
606,1708
607,1721
608,2009
609,2367
610,2746
611,1816
612,1708
613,1699
614,1702
615,1688
616,1685
617,1687
618,498
619,1690
620,1686
621,1660
622,1666
623,1686
624,1668
625,3246
626,2023
627,1647
628,1639
629,1655
630,1645
631,1646
632,1662
633,1636
634,1638
635,1641
636,1636
637,1618
638,1615
639,1637
640,1766
641,3540
642,2312
643,1598
644,1607
645,1590
646,1599
647,1591
648,1598
649,1590
650,1614
651,1578
652,1573
653,1571
654,1573
655,1564
656,1826
657,1692
658,3020
659,1549
660,1547
661,2385
662,1542
663,1549
664,1530
665,1550
666,1546
667,1638
668,1539
669,1540
670,1544
671,1523
672,1854
673,2218
674,1457
675,1506
676,1510
677,1499
678,1509
679,1490
680,1497
681,1499
682,1500
683,1496
684,2853
685,1496
686,1480
687,1475
688,1994
689,2050
690,4455
691,1440
692,1468
693,3358
694,1448
695,1451
696,1443
697,1445
698,1455
699,1781
700,1427
701,1434
702,1460
703,1417
704,1816
705,2430
706,1395
707,1412
708,1413
709,1409
710,1397
711,1400
712,1399
713,1399
714,1408
715,1404
716,1399
717,1385
718,1403
719,1381
720,1618
721,2249
722,1817
723,1350
