Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,7898837252400,12068066,7898825184334,8588
1,7898837252400,12099981,7898825184334,8588
2,7898837372400,12166667,7898825205733,29987
3,7898837372400,12199983,7898825205733,29987
4,7898837462400,12266650,7898825195750,20004
5,7898837462400,12300002,7898825195750,20004
6,7898837552400,12368942,7898825183458,7712
7,7898837552400,12399996,7898825183458,7712
8,7898837642400,12466628,7898825175772,26
9,7898837642400,12499986,7898825175772,26
10,7898837762400,12566652,7898825195748,20002
11,7898837762400,12601234,7898825195748,20002
12,7898837852400,12667670,7898825184730,8984
13,7898837852400,12699984,7898825184730,8984
14,7898837942400,12766635,7898825175765,19
15,7898837942400,12799976,7898825175765,19
16,7898838062400,12866648,7898825195752,20006
17,7898838062400,12900464,7898825195752,20006
18,7898838152400,12966627,7898825185773,10027
19,7898838152400,12999948,7898825185773,10027
20,7898838242400,13066648,7898825175752,6
21,7898838242400,13099963,7898825175752,6
22,7898838362400,13166654,7898825195746,20000
23,7898838362400,13199969,7898825195746,20000
24,7898838452400,13266620,7898825185780,10034
25,7898838452400,13299969,7898825185780,10034
26,7898838542400,13366624,7898825175776,30
27,7898838542400,13400000,7898825175776,30
28,7898838662400,13466666,7898825195734,19988
29,7898838662400,13499948,7898825195734,19988
30,7898838752400,13566623,7898825185777,10031
31,7898838752400,13599963,7898825185777,10031
32,7898838872400,13667653,7898825204747,29001
33,7898838872400,13699976,7898825204747,29001
34,7898838962400,13766636,7898825195764,20018
35,7898838962400,13799964,7898825195764,20018
36,7898839052400,13866653,7898825185747,10001
37,7898839052400,13899992,7898825185747,10001
38,7898839172400,13968617,7898825203783,28037
39,7898839172400,13999988,7898825203783,28037
40,7898839262400,14066650,7898825195750,20004
41,7898839262400,14099973,7898825195750,20004
42,7898882612400,57400002,7898825212398,36652
43,7898882612400,57432867,7898825212398,36652
44,7898944802400,119568338,7898825234062,58316
45,7898944802400,119598903,7898825234062,58316
