Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,7898836542400,0,1,63
1,7898836552400,10000,1,63
2,7898836562400,10000,1,63
3,7898836572400,10000,1,63
4,7898836582400,10000,1,63
5,7898836592400,10000,1,63
6,7898836602400,10000,1,63
7,7898836612400,10000,1,63
8,7898836622400,10000,1,64
9,7898836632400,10000,1,63
10,7898836642400,10000,1,62
11,7898836652400,10000,1,64
12,7898836662400,10000,1,63
13,7898836672400,10000,1,64
14,7898836682400,10000,1,81
15,7898836692400,10000,1,66
16,7898836702400,10000,1,64
17,7898836712400,10000,1,66
18,7898836722400,10000,1,76
19,7898836732400,10000,1,63
20,7898836742400,10000,1,63
21,7898836752400,10000,1,63
22,7898836762400,10000,1,62
23,7898836772400,10000,1,62
24,7898836782400,10000,1,63
25,7898836792400,10000,1,65
26,7898836802400,10000,1,63
27,7898836812400,10000,1,63
28,7898836822400,10000,1,63
29,7898836832400,10000,1,63
30,7898836842400,10000,1,63
31,7898836852400,10000,1,63
32,7898836862400,10000,1,63
33,7898836872400,10000,1,63
34,7898836882400,10000,1,63
35,7898836892400,10000,1,63
36,7898836902400,10000,1,63
37,7898836912400,10000,1,63
38,7898836922400,10000,1,63
39,7898836932400,10000,1,63
40,7898836942400,10000,1,63
41,7898836952400,10000,1,63
42,7898836962400,10000,1,63
43,7898836972400,10000,1,63
44,7898836982400,10000,1,63
45,7898836992400,10000,1,63
46,7898837002400,10000,1,63
47,7898837012400,10000,1,63
48,7898837022400,10000,1,63
49,7898837032400,10000,1,63
50,7898837042400,10000,1,63
51,7898837052400,10000,1,63
52,7898837062400,10000,1,63
53,7898837072400,10000,1,63
54,7898837082400,10000,1,63
55,7898837092400,10000,1,63
56,7898837102400,10000,1,63
57,7898837112400,10000,1,63
58,7898837122400,10000,1,63
59,7898837132400,10000,1,63
60,7898837142400,10000,1,63
61,7898837152400,10000,1,63
62,7898837162400,10000,1,63
63,7898837172400,10000,1,63
64,7898837182400,10000,1,63
65,7898837192400,10000,1,62
66,7898837202400,10000,1,64
67,7898837212400,10000,1,63
68,7898837222400,10000,1,63
69,7898837232400,10000,1,63
70,7898837242400,10000,1,63
71,7898837252400,10000,1,63
72,7898837262400,10000,1,63
73,7898837272400,10000,1,63
74,7898837282400,10000,1,63
75,7898837292400,10000,1,63
76,7898837302400,10000,1,63
77,7898837312400,10000,1,63
78,7898837322400,10000,1,63
79,7898837332400,10000,1,63
80,7898837342400,10000,1,63
81,7898837352400,10000,1,63
82,7898837362400,10000,1,63
83,7898837372400,10000,1,63
84,7898837382400,10000,1,63
85,7898837392400,10000,1,62
86,7898837402400,10000,1,64
87,7898837412400,10000,1,63
88,7898837422400,10000,1,61
89,7898837432400,10000,1,63
90,7898837442400,10000,1,63
91,7898837452400,10000,1,61
92,7898837462400,10000,1,62
93,7898837472400,10000,1,63
94,7898837482400,10000,1,61
95,7898837492400,10000,1,61
96,7898837502400,10000,1,62
97,7898837512400,10000,1,59
98,7898837522400,10000,1,61
99,7898837532400,10000,1,60
100,7898837542400,10000,1,60
101,7898837552400,10000,1,59
102,7898837562400,10000,1,61
103,7898837572400,10000,1,60
104,7898837582400,10000,1,59
105,7898837592400,10000,1,60
106,7898837602400,10000,1,62
107,7898837612400,10000,1,62
108,7898837622400,10000,1,63
109,7898837632400,10000,1,63
110,7898837642400,10000,1,63
111,7898837652400,10000,1,63
112,7898837662400,10000,1,63
113,7898837672400,10000,1,63
114,7898837682400,10000,1,63
115,7898837692400,10000,1,63
116,7898837702400,10000,1,63
117,7898837712400,10000,1,63
118,7898837722400,10000,1,63
