Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,11366654,0,0,4351
1,11399985,33331,0,3601
2,11433330,33345,0,4639
3,11466662,33332,0,4257
4,11499985,33323,0,4139
5,11535106,35121,0,4549
6,11566649,31543,0,4158
7,11600101,33452,0,4404
8,11633335,33234,0,3319
9,11666665,33330,0,4134
10,11699986,33321,0,4288
11,11733318,33332,0,3630
12,11766650,33332,0,4291
13,11799986,33336,0,4222
14,11835696,35710,0,4109
15,11866683,30987,0,4336
16,11899990,33307,0,3613
17,11933309,33319,0,4002
18,11966649,33340,0,4243
19,11999993,33344,0,4071
20,12033303,33310,0,3756
21,12068066,34763,1,3882
22,12099981,31915,0,6672
23,12133310,33329,0,4610
24,12166667,33357,0,4727
25,12199983,33316,0,4825
26,12233314,33331,0,4543
27,12266650,33336,0,4833
28,12300002,33352,0,4699
29,12333336,33334,0,4588
30,12368942,35606,0,4331
31,12399996,31054,0,4226
32,12433304,33308,0,3397
33,12466628,33324,0,4383
34,12499986,33358,0,4314
35,12533321,33335,0,4162
36,12566652,33331,0,3806
37,12601234,34582,0,4157
38,12633320,32086,0,4303
39,12667670,34350,0,3546
40,12699984,32314,0,4161
41,12733297,33313,0,4452
42,12766635,33338,0,4381
43,12799976,33341,0,4042
44,12833339,33363,0,3898
45,12866648,33309,0,4275
46,12900464,33816,0,4137
47,12933306,32842,0,3768
48,12966627,33321,0,4320
49,12999948,33321,0,4248
50,13033292,33344,0,4328
51,13066648,33356,1,4130
52,13099963,33315,0,6965
53,13133937,33974,0,4548
54,13166654,32717,0,4425
55,13199969,33315,0,4617
56,13233297,33328,0,4911
57,13266620,33323,0,4438
58,13299969,33349,0,4406
59,13333311,33342,0,4421
60,13366624,33313,0,4527
61,13400000,33376,0,4545
62,13436452,36452,0,4816
63,13466666,30214,0,4369
64,13499948,33282,0,3826
65,13533288,33340,0,4302
66,13566623,33335,0,4504
67,13599963,33340,0,4448
68,13633298,33335,0,4482
69,13667653,34355,0,4450
70,13699976,32323,0,4053
71,13733700,33724,0,3808
72,13766636,32936,0,4066
73,13799964,33328,0,4391
74,13833291,33327,0,4518
75,13866653,33362,0,4420
76,13899992,33339,0,4477
77,13933302,33310,0,4686
78,13968617,35315,0,4098
79,13999988,31371,0,4027
80,14033295,33307,0,3795
81,14066650,33355,1,4503
82,14099973,33323,0,7140
83,14133305,33332,0,4404
84,14166629,33324,0,4312
