Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1722
3,0,40960,1765
4,0,40960,1798
5,422,40960,76
6,422,40960,318
7,422,40960,242
8,396,40960,0
9,396,40960,203
10,429,40960,0
11,429,40960,1366
12,429,40960,0
13,429,40960,46
14,456,40960,0
15,456,40960,1409
16,2188,40960,0
17,2188,40960,1430
18,1931,40960,0
19,1931,40960,40
20,1931,40960,67
21,1717,40960,0
22,1717,40960,1441
23,1520,40960,0
24,1520,40960,32
25,1520,40960,810
26,1357,40960,0
27,1357,40960,32
28,1205,40960,0
29,1205,40960,32
30,1205,40960,127
31,1076,40960,0
32,1076,40960,94
33,1076,40960,125
34,1076,40960,1566
35,1076,40960,3007
36,1076,40960,4448
37,1076,40960,4473
38,1029,40960,4348
39,1008,40960,2907
40,998,40960,1466
41,989,40960,25
42,982,40960,0
43,982,40960,95
44,982,40960,207
45,891,40960,0
46,891,40960,97
47,891,40960,192
48,801,40960,0
49,801,40960,31
50,801,40960,1472
51,801,40960,2913
52,801,40960,4238
53,742,40960,2766
54,697,40960,0
55,697,40960,97
56,697,40960,204
57,653,40960,0
58,653,40960,31
59,653,40960,1472
60,653,40960,2913
61,653,40960,4354
62,653,40960,4671
63,653,40960,4694
64,648,40960,3222
65,651,40960,340
66,660,40960,0
67,660,40960,94
68,660,40960,188
69,597,40960,0
70,597,40960,95
71,597,40960,189
72,546,40960,0
73,546,40960,32
74,546,40960,1473
75,546,40960,2914
76,546,40960,4261
77,546,40960,4285
78,548,40960,2812
79,561,40960,24
80,561,40960,118
81,517,40960,0
82,517,40960,95
83,517,40960,192
84,486,40960,0
85,486,40960,102
86,486,40960,197
87,455,40960,0
88,455,40960,33
89,455,40960,1474
90,455,40960,2915
91,455,40960,4356
92,455,40960,4532
93,485,40960,3058
94,522,40960,176
95,522,40960,271
96,489,40960,0
97,489,40960,95
98,489,40960,128
99,489,40960,1569
100,489,40960,3010
101,489,40960,3518
102,461,40960,3390
103,502,40960,508
104,502,40960,603
105,475,40960,0
106,475,40960,95
107,475,40960,190
108,450,40960,0
109,450,40960,95
110,450,40960,128
111,450,40960,1569
112,450,40960,3010
113,450,40960,4333
114,424,40960,4205
115,461,40960,1323
116,461,40960,1418
117,461,40960,1513
118,438,40960,95
119,438,40960,128
120,438,40960,1569
121,438,40960,3010
122,438,40960,4451
123,438,40960,4511
124,438,40960,4535
125,501,40960,4407
126,621,40960,1525
127,615,40960,0
128,615,40960,95
129,615,40960,190
130,561,40960,0
131,561,40960,95
132,561,40960,190
133,524,40960,0
134,524,40960,33
135,524,40960,1474
136,524,40960,2915
137,524,40960,3734
138,524,40960,3758
139,541,40960,0
140,541,40960,96
141,541,40960,192
142,509,40960,0
143,509,40960,96
144,471,40960,0
145,471,40960,33
146,471,40960,1474
147,471,40960,2915
148,471,40960,4356
149,471,40960,4419
150,471,40960,4443
