Time (s),Upload (Bps),Download (Bps)
0,89309,3724
1,143647,2613
2,148616,2465
3,136552,2499
4,101261,2618
5,103211,2465
6,107672,2441
7,106524,2500
8,108818,2586
9,78891,2540
10,56019,2522
11,72742,2491
12,41682,2586
13,88016,2537
14,67288,2497
15,35159,2466
16,83114,2499
17,111501,2454
18,112414,2482
19,111746,2579
20,112665,2548
21,110671,2477
22,111719,2474
23,113324,2566
24,114640,2449
25,115647,2566
26,120773,2363
27,120008,2511
28,125770,2468
29,108911,2417
30,104590,2562
31,100427,2511
32,96047,2522
33,87029,2417
34,79160,2359
35,74095,2448
36,62166,2481
37,80372,2531
38,99239,2446
39,99886,2416
40,77798,2473
41,130998,2385
42,194275,2521
43,147651,2492
44,72676,2631
45,80207,2444
46,79420,2534
47,92767,2505
48,119240,2560
49,66779,2511
50,36432,2438
51,57000,2507
52,44759,2433
53,38909,2478
54,74396,2420
55,58623,2303
56,71347,2477
57,71315,2460
58,95094,2387
59,115085,2307
60,110967,2448
61,97726,2410
62,146874,2426
63,33045,2568
64,50147,2448
65,47515,2421
66,59195,2449
67,119698,2469
68,158028,2415
69,149374,2423
70,197165,2405
71,194128,2421
72,195532,2515
73,142147,2370
74,133557,2543
75,106381,2489
76,62963,2557
77,43017,2669
78,30277,2534
79,58296,2592
80,65801,2581
81,36952,2469
82,44098,2661
83,62264,2621
84,53741,2554
85,40719,2544
86,41798,2778
87,39846,2675
88,60162,2653
89,73715,2595
90,50227,2646
91,39474,2714
92,47170,2706
93,50408,2677
94,63211,2590
95,75166,2542
96,47342,2680
97,72813,2564
98,89391,2573
99,89038,2524
100,73833,2656
101,85746,2652
102,66439,2619
103,76916,2677
104,85276,2660
105,103096,2822
106,85625,2611
107,65715,2598
108,77301,2586
109,100580,2714
110,83350,2640
111,137572,2685
112,191013,2555
113,118288,2556
114,125058,2598
115,97248,2697
116,97131,2775
117,56064,2585
118,52440,2527
119,52570,2580
120,108163,2622
121,75389,2606
122,53247,2492
123,52307,2676
124,72662,2518
125,68316,2684
126,82173,2648
127,76058,2500
128,91941,2808
129,79391,2591
130,69352,2683
131,90799,2628
132,93572,2681
133,97587,2617
134,68550,2569
135,111708,2650
136,116924,2529
137,59416,2653
138,52788,2594
139,51723,2611
140,40619,2634
141,30310,2564
142,71452,2616
143,76967,2699
144,96581,2596
145,102867,2644
146,126500,2725
147,68797,2561
148,70225,2661
149,54219,2587
150,36399,2590
151,49492,2559
152,53648,2572
153,73485,2663
154,95160,2601
155,84647,2637
156,96065,2567
157,84887,2598
158,87201,2655
159,45375,2542
160,49527,2532
161,83917,2647
162,101330,2691
163,54061,2620
164,48873,2529
165,53739,2774
166,58958,2535
167,65394,2567
168,82965,2683
169,136909,2627
170,108231,2615
171,75440,2556
172,78728,2572
173,105307,2626
174,121910,2627
175,122263,2597
176,121949,2529
177,134450,2627
178,65492,2675
179,142993,2680
180,156085,2598
181,107866,2558
182,56162,2592
183,29215,2502
184,34156,2534
185,158831,2691
186,124733,2626
187,106225,2620
188,157153,2625
189,120410,2598
190,40019,2666
191,84023,2620
192,58763,2557
193,71687,2742
194,92412,2654
195,60547,2719
196,54110,2557
197,51788,2491
198,60669,2532
199,120339,2623
200,72619,2683
201,102582,2753
202,164108,2599
203,168247,2696
204,172369,2657
205,205415,2544
206,154913,2662
207,78253,2743
208,77113,2505
209,81884,2533
210,91020,2657
211,99842,2692
212,74406,2616
213,47957,2536
214,39386,2624
215,30379,2649
216,48626,2568
217,36112,2552
218,83738,2602
219,112988,2659
220,96859,2651
221,49158,2727
222,99598,2690
223,34857,2586
224,39522,2624
225,89528,2592
226,69360,2557
227,48534,2565
228,61092,2562
229,48872,2653
230,46117,2689
231,38422,2586
232,50470,2569
233,46254,2561
234,96744,2595
235,115975,2661
236,134377,2629
237,152716,2549
238,110804,2660
239,126921,2560
240,137654,2528
241,127272,2686
242,93184,2751
243,56858,2554
244,87885,2527
245,138349,2527
246,106874,2700
247,71373,2562
248,60138,2594
249,63350,2682
250,89569,2574
251,97152,2577
252,76731,2635
253,104827,2555
254,65210,2626
255,74024,2692
256,80399,2618
257,56309,2563
258,64037,2677
259,81780,2513
260,53009,2620
261,59584,2532
262,50803,2567
263,147202,2597
264,147646,2467
265,147110,2560
266,110242,2574
267,83084,2665
268,69696,2506
269,95372,2500
270,99706,2627
271,106334,2594
272,96399,2620
273,91235,2594
274,61628,2648
275,65028,2513
276,73904,2715
277,58120,2691
278,35948,2565
279,36381,2745
280,42690,2791
281,48735,2476
282,43618,2539
283,32129,2591
284,51138,2596
285,93703,2622
286,173506,2699
287,137384,2591
288,90444,2477
289,60584,2596
290,136435,2634
291,104685,2629
292,24283,2536
293,95673,2599
294,76457,2555
295,94621,2588
296,113942,2540
297,97406,2687
298,55531,2478
299,76091,2534
300,153052,2560
301,61788,2600
302,55598,2563
303,101541,2633
304,98295,2679
305,152910,2509
306,164353,2530
307,126381,2565
308,126733,2535
309,116351,2695
310,125574,2503
311,139995,2575
312,114258,2619
313,187161,2623
314,154879,2606
315,58614,2555
316,137308,2624
317,101676,2585
318,97167,2721
319,131283,2501
320,233037,2597
321,115853,2544
322,112374,2595
323,104515,2503
324,109663,2524
325,106635,2559
326,94398,2565
327,80785,2568
328,79080,2630
329,108729,2598
330,50758,2563
331,28904,2626
332,63612,2536
333,54953,2723
334,47245,2631
335,150390,2648
336,195510,2567
337,202197,2518
338,206452,2607
339,163571,2631
340,149647,2598
341,168853,2513
342,185454,2570
343,195244,2583
344,114765,2627
345,162008,2636
346,58380,2565
347,109612,2382
348,272,38
349,44,0
