Method 1: time: 1.012331191, rttSecondDerivative: 3.3251318529411466e+06, cwndSecondDerivative: 0
Method 1: time: 1.003916832, rttSecondDerivative: 3.490857446153922e+06, cwndSecondDerivative: 0
Method 1: time: 1.000056213, rttSecondDerivative: 3.636424133832964e+06, cwndSecondDerivative: 0
Method 1: time: 1.00007922, rttSecondDerivative: 3.7799261411670013e+06, cwndSecondDerivative: 0
Method 1: time: 1.009435025, rttSecondDerivative: 3.907629181817962e+06, cwndSecondDerivative: 0
Method 1: time: 1.002197693, rttSecondDerivative: 4.0117248720679893e+06, cwndSecondDerivative: 0
Method 1: time: 1.002851401, rttSecondDerivative: 4.126407983569501e+06, cwndSecondDerivative: 0
Method 1: time: 1.002944262, rttSecondDerivative: 4.266936855657354e+06, cwndSecondDerivative: 0
Method 1: time: 1.002905489, rttSecondDerivative: 4.336032843561589e+06, cwndSecondDerivative: 0
Method 1: time: 1.002712681, rttSecondDerivative: 4.508828575483387e+06, cwndSecondDerivative: 0
Method 1: time: 1.002841332, rttSecondDerivative: 4.571975827452087e+06, cwndSecondDerivative: 0
Method 1: time: 1.004303845, rttSecondDerivative: 4.721626406845572e+06, cwndSecondDerivative: 0
Method 1: time: 1.00536692, rttSecondDerivative: 4.967549587334253e+06, cwndSecondDerivative: 0
Method 1: time: 1.000315112, rttSecondDerivative: 5.16925884907006e+06, cwndSecondDerivative: 0
Method 1: time: 1.00059467, rttSecondDerivative: 5.333404834318245e+06, cwndSecondDerivative: 0
Method 1: time: 1.0030533, rttSecondDerivative: 5.518675113803568e+06, cwndSecondDerivative: 0
Method 1: time: 1.002771232, rttSecondDerivative: 5.615698759126778e+06, cwndSecondDerivative: 0
Method 1: time: 1.003020784, rttSecondDerivative: 5.681704896024067e+06, cwndSecondDerivative: 0
Method 1: time: 1.002341665, rttSecondDerivative: 5.803287309129385e+06, cwndSecondDerivative: 0
Method 1: time: 1.002781069, rttSecondDerivative: 5.966367070605299e+06, cwndSecondDerivative: 0
Method 1: time: 1.002836142, rttSecondDerivative: 6.085011532733796e+06, cwndSecondDerivative: 0
Method 1: time: 1.003399381, rttSecondDerivative: 6.457696878719509e+06, cwndSecondDerivative: 0
Method 1: time: 1.002223905, rttSecondDerivative: 6.615906182649702e+06, cwndSecondDerivative: 0
Method 1: time: 1.003472932, rttSecondDerivative: 6.78721182034791e+06, cwndSecondDerivative: 0
