Method 2: time: 1.012367179, rttEMAVariance: 1.0142247437724108, cwndEMAVariance: 0
Method 2: time: 1.003970494, rttEMAVariance: 1.0132108916114664, cwndEMAVariance: 0
Method 2: time: 1.000213789, rttEMAVariance: 0.03609027725667711, cwndEMAVariance: 0
Method 2: time: 1.00012748, rttEMAVariance: 8.99099102477551e-05, cwndEMAVariance: 0
Method 2: time: 1.009475366, rttEMAVariance: 0.14256003375556475, cwndEMAVariance: 0
Method 2: time: 1.002265053, rttEMAVariance: 0.035640064576542875, cwndEMAVariance: 0
Method 2: time: 1.0028817, rttEMAVariance: 8.562509858804495, cwndEMAVariance: 0
Method 2: time: 1.003022745, rttEMAVariance: 0.2534400096564879, cwndEMAVariance: 0
Method 2: time: 1.002965876, rttEMAVariance: 4.824719099859008, cwndEMAVariance: 0
Method 2: time: 1.002803378, rttEMAVariance: 16.470759217806993, cwndEMAVariance: 0
Method 2: time: 1.002868943, rttEMAVariance: 0.47907688057848596, cwndEMAVariance: 0
Method 2: time: 1.004407928, rttEMAVariance: 0.003968947655190578, cwndEMAVariance: 0
Method 2: time: 1.00540569, rttEMAVariance: 1.6668447785920502, cwndEMAVariance: 0
Method 2: time: 1.000361747, rttEMAVariance: 12.991167936020341, cwndEMAVariance: 0
Method 2: time: 1.000687587, rttEMAVariance: 0.4365896197223639, cwndEMAVariance: 0
Method 2: time: 1.003100769, rttEMAVariance: 2.376989902425589, cwndEMAVariance: 0
Method 2: time: 1.002813516, rttEMAVariance: 1.1444400026664852, cwndEMAVariance: 0
Method 2: time: 1.003067305, rttEMAVariance: 0.19403999995520504, cwndEMAVariance: 0
Method 2: time: 1.002388611, rttEMAVariance: 0.357390001993521, cwndEMAVariance: 0
Method 2: time: 1.00283273, rttEMAVariance: 0.35739000087820877, cwndEMAVariance: 0
Method 2: time: 1.002881954, rttEMAVariance: 0.12879000000033392, cwndEMAVariance: 0
Method 2: time: 1.003449479, rttEMAVariance: 29.160207350921077, cwndEMAVariance: 0
Method 2: time: 1.002273776, rttEMAVariance: 0.09915479965439547, cwndEMAVariance: 0
Method 2: time: 1.003580121, rttEMAVariance: 0.43391138068770246, cwndEMAVariance: 0
Method 2: time: 1.00341354, rttEMAVariance: 0.3571530393605421, cwndEMAVariance: 0
Method 2: time: 1.00129342, rttEMAVariance: 0.7771321580432715, cwndEMAVariance: 0
Method 2: time: 1.001549191, rttEMAVariance: 2.0249984240197336, cwndEMAVariance: 0
Method 2: time: 1.005107897, rttEMAVariance: 0.47915953337511247, cwndEMAVariance: 0
Method 2: time: 1.002776333, rttEMAVariance: 15.717232852198002, cwndEMAVariance: 0
Method 2: time: 1.003469342, rttEMAVariance: 0.03563996899249036, cwndEMAVariance: 0
Method 2: time: 1.002329225, rttEMAVariance: 0.11979083489869238, cwndEMAVariance: 0
Method 2: time: 1.003607481, rttEMAVariance: 0.00396000783270621, cwndEMAVariance: 0
Method 2: time: 1.003581094, rttEMAVariance: 0.1547492416854798, cwndEMAVariance: 0
Method 2: time: 1.003448145, rttEMAVariance: 1.28342152202668, cwndEMAVariance: 0
Method 2: time: 1.002673712, rttEMAVariance: 1.7533883109508976, cwndEMAVariance: 0
Method 2: time: 1.002899802, rttEMAVariance: 0.4361913026036033, cwndEMAVariance: 0
Method 2: time: 1.005849961, rttEMAVariance: 0.1941669695940435, cwndEMAVariance: 0
Method 2: time: 1.005536174, rttEMAVariance: 0.5702344047645751, cwndEMAVariance: 0
Method 2: time: 1.000950493, rttEMAVariance: 0.32709186766281456, cwndEMAVariance: 0
Method 2: time: 1.000509656, rttEMAVariance: 20.62887743677709, cwndEMAVariance: 0
Method 2: time: 1.002849505, rttEMAVariance: 0.9856774353748042, cwndEMAVariance: 0
Method 2: time: 1.002906379, rttEMAVariance: 0.0009901089403730626, cwndEMAVariance: 0
Method 2: time: 1.003306378, rttEMAVariance: 1.5839998476342976, cwndEMAVariance: 0
Method 2: time: 1.004144339, rttEMAVariance: 0.19403959244238267, cwndEMAVariance: 0
Method 2: time: 1.002688595, rttEMAVariance: 0.08025828118225084, cwndEMAVariance: 0
Method 2: time: 1.002458383, rttEMAVariance: 12.863882031282671, cwndEMAVariance: 0
