Method 3: time: 1.01237321, rttCustomWeightedVariance: 399526.10308703035, cwndCustomWeightedVariance: 0
Method 3: time: 1.003978243, rttCustomWeightedVariance: 42514.95290789301, cwndCustomWeightedVariance: 0
Method 3: time: 1.000239062, rttCustomWeightedVariance: 107601.78025850293, cwndCustomWeightedVariance: 0
Method 3: time: 1.000152026, rttCustomWeightedVariance: 18888.135289308542, cwndCustomWeightedVariance: 0
Method 3: time: 1.009498576, rttCustomWeightedVariance: 16333.308224162545, cwndCustomWeightedVariance: 0
Method 3: time: 1.002301016, rttCustomWeightedVariance: 19412.13002612892, cwndCustomWeightedVariance: 0
Method 3: time: 1.002895832, rttCustomWeightedVariance: 40947.8606070292, cwndCustomWeightedVariance: 0
Method 3: time: 1.003067338, rttCustomWeightedVariance: 3916.633280445413, cwndCustomWeightedVariance: 0
Method 3: time: 1.003002622, rttCustomWeightedVariance: 38735.011600827944, cwndCustomWeightedVariance: 0
Method 3: time: 1.002874391, rttCustomWeightedVariance: 159648.32571947007, cwndCustomWeightedVariance: 0
Method 3: time: 1.002884469, rttCustomWeightedVariance: 67400.12160243589, cwndCustomWeightedVariance: 0
Method 3: time: 1.004470297, rttCustomWeightedVariance: 208545.08173303667, cwndCustomWeightedVariance: 0
Method 3: time: 1.005426776, rttCustomWeightedVariance: 347412.8390780644, cwndCustomWeightedVariance: 0
Method 3: time: 1.000390776, rttCustomWeightedVariance: 7519.46531615995, cwndCustomWeightedVariance: 0
Method 3: time: 1.000740159, rttCustomWeightedVariance: 15827.266555072221, cwndCustomWeightedVariance: 0
Method 3: time: 1.003125216, rttCustomWeightedVariance: 57696.60240444772, cwndCustomWeightedVariance: 0
Method 3: time: 1.002837928, rttCustomWeightedVariance: 54582.86807246622, cwndCustomWeightedVariance: 0
Method 3: time: 1.003093389, rttCustomWeightedVariance: 31055.495000566643, cwndCustomWeightedVariance: 0
Method 3: time: 1.002418584, rttCustomWeightedVariance: 17287.990709037505, cwndCustomWeightedVariance: 0
Method 3: time: 1.002868633, rttCustomWeightedVariance: 133507.18833736514, cwndCustomWeightedVariance: 0
Method 3: time: 1.002919153, rttCustomWeightedVariance: 110780.35612592717, cwndCustomWeightedVariance: 0
Method 3: time: 1.003484701, rttCustomWeightedVariance: 410915.1058602865, cwndCustomWeightedVariance: 0
Method 3: time: 1.002332438, rttCustomWeightedVariance: 79516.18836646785, cwndCustomWeightedVariance: 0
Method 3: time: 1.003714557, rttCustomWeightedVariance: 8107.491184161288, cwndCustomWeightedVariance: 0
Method 3: time: 1.003581172, rttCustomWeightedVariance: 110149.32008713593, cwndCustomWeightedVariance: 0
Method 3: time: 1.001525019, rttCustomWeightedVariance: 17868.025876782624, cwndCustomWeightedVariance: 0
Method 3: time: 1.001886717, rttCustomWeightedVariance: 13752.451822558465, cwndCustomWeightedVariance: 0
Method 3: time: 1.005485832, rttCustomWeightedVariance: 97181.67100255124, cwndCustomWeightedVariance: 0
Method 3: time: 1.00324082, rttCustomWeightedVariance: 121155.85175878202, cwndCustomWeightedVariance: 0
Method 3: time: 1.004854493, rttCustomWeightedVariance: 176134.7611337803, cwndCustomWeightedVariance: 0
Method 3: time: 1.002837805, rttCustomWeightedVariance: 97678.46006102327, cwndCustomWeightedVariance: 0
Method 3: time: 1.004179441, rttCustomWeightedVariance: 77956.50745648168, cwndCustomWeightedVariance: 0
Method 3: time: 1.005528841, rttCustomWeightedVariance: 15519.995373986181, cwndCustomWeightedVariance: 0
Method 3: time: 1.004170686, rttCustomWeightedVariance: 8076.775627819196, cwndCustomWeightedVariance: 0
Method 3: time: 1.003599524, rttCustomWeightedVariance: 405548.0872447604, cwndCustomWeightedVariance: 0
Method 3: time: 1.004633158, rttCustomWeightedVariance: 105256.56827437441, cwndCustomWeightedVariance: 0
Method 3: time: 1.007715629, rttCustomWeightedVariance: 10915.762445431055, cwndCustomWeightedVariance: 0
Method 3: time: 1.008275651, rttCustomWeightedVariance: 6746.601036414214, cwndCustomWeightedVariance: 0
Method 3: time: 1.001788213, rttCustomWeightedVariance: 15633.313611639318, cwndCustomWeightedVariance: 0
Method 3: time: 1.001428345, rttCustomWeightedVariance: 152081.2587264441, cwndCustomWeightedVariance: 0
Method 3: time: 1.003855205, rttCustomWeightedVariance: 95997.57474226945, cwndCustomWeightedVariance: 0
Method 3: time: 1.004092968, rttCustomWeightedVariance: 5121.565293709649, cwndCustomWeightedVariance: 0
Method 3: time: 1.006429251, rttCustomWeightedVariance: 47383.17199039724, cwndCustomWeightedVariance: 0
Method 3: time: 1.007397078, rttCustomWeightedVariance: 165222.2248558354, cwndCustomWeightedVariance: 0
Method 3: time: 1.003841266, rttCustomWeightedVariance: 197743.2038093347, cwndCustomWeightedVariance: 0
Method 3: time: 1.004931316, rttCustomWeightedVariance: 223485.46914560386, cwndCustomWeightedVariance: 0
Method 3: time: 1.00860204, rttCustomWeightedVariance: 482291.60631512245, cwndCustomWeightedVariance: 0
Method 3: time: 1.00872333, rttCustomWeightedVariance: 19035.31094691217, cwndCustomWeightedVariance: 0
Method 3: time: 1.008642078, rttCustomWeightedVariance: 21337.396380496088, cwndCustomWeightedVariance: 0
Method 3: time: 1.007113365, rttCustomWeightedVariance: 136885.61982798966, cwndCustomWeightedVariance: 0
Method 3: time: 1.005336328, rttCustomWeightedVariance: 804403.0281979562, cwndCustomWeightedVariance: 0
Method 3: time: 1.005613908, rttCustomWeightedVariance: 23775.726362825986, cwndCustomWeightedVariance: 0
Method 3: time: 1.008465207, rttCustomWeightedVariance: 235869.94256593895, cwndCustomWeightedVariance: 0
Method 3: time: 1.008048456, rttCustomWeightedVariance: 91268.18405007132, cwndCustomWeightedVariance: 0
Method 3: time: 1.004928595, rttCustomWeightedVariance: 12743.382937182701, cwndCustomWeightedVariance: 0
Method 3: time: 1.003907949, rttCustomWeightedVariance: 117829.68492342075, cwndCustomWeightedVariance: 0
Method 3: time: 1.005425651, rttCustomWeightedVariance: 30003.418620242293, cwndCustomWeightedVariance: 0
Method 3: time: 1.006802491, rttCustomWeightedVariance: 21780.453436738106, cwndCustomWeightedVariance: 0
Method 3: time: 1.006711418, rttCustomWeightedVariance: 621341.2802903507, cwndCustomWeightedVariance: 0
Method 3: time: 1.004393605, rttCustomWeightedVariance: 71714.26219731831, cwndCustomWeightedVariance: 0
Method 3: time: 1.004855417, rttCustomWeightedVariance: 131440.07271853613, cwndCustomWeightedVariance: 0
Method 3: time: 1.005584295, rttCustomWeightedVariance: 15080.025916330143, cwndCustomWeightedVariance: 0
Method 3: time: 1.012256877, rttCustomWeightedVariance: 103365.76356329225, cwndCustomWeightedVariance: 0
Method 3: time: 1.004606596, rttCustomWeightedVariance: 14822.750263852457, cwndCustomWeightedVariance: 0
Method 3: time: 1.00449305, rttCustomWeightedVariance: 86723.36471359033, cwndCustomWeightedVariance: 0
Method 3: time: 1.005264185, rttCustomWeightedVariance: 123067.0420795737, cwndCustomWeightedVariance: 0
Method 3: time: 1.005018427, rttCustomWeightedVariance: 116735.86763543279, cwndCustomWeightedVariance: 0
