Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1716
3,0,40960,1759
4,0,40960,1792
5,1222,40960,76
6,1222,40960,318
7,1222,40960,242
8,1109,40960,0
9,1109,40960,203
10,1108,40960,0
11,1108,40960,40
12,1108,40960,73
13,989,40960,0
14,989,40960,1366
15,989,40960,0
16,989,40960,45
17,989,40960,72
18,897,40960,0
19,897,40960,1409
20,897,40960,1441
21,897,40960,2219
22,811,40960,778
23,748,40960,0
24,748,40960,1430
25,748,40960,0
26,748,40960,27
27,1221,40960,0
28,1221,40960,1441
29,1221,40960,1468
30,1086,40960,0
31,1086,40960,94
32,1086,40960,188
33,986,40960,0
34,986,40960,94
35,986,40960,188
36,886,40960,0
37,886,40960,252
38,886,40960,346
39,812,40960,0
40,812,40960,94
41,812,40960,188
42,736,40960,0
43,736,40960,447
44,736,40960,541
45,685,40960,0
46,685,40960,94
47,685,40960,188
48,626,40960,0
49,626,40960,94
50,626,40960,412
51,583,40960,0
52,583,40960,95
53,583,40960,190
54,534,40960,0
55,534,40960,448
56,534,40960,543
57,485,40960,0
58,485,40960,95
59,485,40960,190
60,460,40960,0
61,460,40960,95
62,460,40960,391
63,435,40960,0
64,435,40960,95
65,435,40960,190
66,399,40960,0
67,399,40960,95
68,399,40960,190
69,376,40960,0
70,376,40960,95
71,376,40960,960
72,366,40960,0
73,366,40960,95
74,366,40960,190
75,343,40960,0
76,343,40960,286
77,343,40960,381
78,326,40960,0
79,326,40960,96
80,326,40960,191
81,314,40960,0
82,314,40960,94
83,314,40960,332
84,308,40960,0
85,308,40960,95
86,308,40960,191
87,292,40960,0
88,292,40960,321
89,292,40960,417
90,288,40960,0
91,288,40960,94
92,288,40960,189
93,277,40960,0
94,277,40960,95
95,277,40960,361
96,270,40960,0
97,270,40960,94
98,270,40960,189
99,261,40960,0
100,261,40960,495
101,261,40960,590
102,262,40960,0
103,262,40960,95
104,260,40960,0
105,260,40960,102
106,260,40960,197
107,263,40960,0
108,263,40960,95
109,263,40960,537
110,253,40960,0
111,253,40960,95
112,253,40960,190
113,258,40960,0
114,258,40960,437
115,258,40960,533
116,260,40960,0
117,260,40960,96
118,260,40960,191
119,259,40960,0
120,259,40960,94
121,259,40960,563
122,246,40960,0
123,246,40960,96
124,246,40960,189
125,248,40960,0
126,248,40960,95
127,248,40960,191
128,257,40960,0
129,257,40960,821
130,252,40960,0
131,252,40960,94
132,252,40960,189
133,261,40960,0
134,261,40960,95
135,252,40960,0
136,252,40960,418
137,261,40960,0
138,261,40960,95
139,261,40960,190
140,263,40960,0
141,263,40960,95
142,263,40960,203
143,267,40960,0
144,267,40960,320
145,256,40960,0
146,256,40960,95
147,256,40960,189
148,256,40960,0
149,256,40960,401
150,241,40960,0
151,241,40960,95
152,241,40960,190
153,240,40960,0
154,240,40960,94
155,240,40960,191
156,238,40960,0
