Time (s),Upload (Bps),Download (Bps)
0,21333,3067
1,24235,2551
2,24833,2520
3,25990,2527
4,23703,2439
5,23847,2553
6,30853,2643
7,23868,2570
8,25974,2562
9,23366,2494
10,24610,2624
11,21907,2528
12,26532,2527
13,21093,2617
14,23926,2531
15,24642,2418
16,20432,2522
17,24274,2621
18,21224,2473
19,24323,2654
20,24581,2471
21,25005,2468
22,24765,2471
23,24283,2487
24,25044,2568
25,24548,2633
26,24406,2497
27,24074,2503
28,24827,2693
29,24302,2364
30,26793,2578
31,23570,2532
32,24149,2469
33,24204,2440
34,23714,2529
35,24298,2507
36,24075,2386
37,23154,2478
38,23406,2555
39,24207,2474
40,24477,2399
41,23648,2379
42,28653,2426
43,24733,2434
44,24043,2470
45,23461,2570
46,24427,2485
47,26168,2567
48,23901,2405
49,24518,2481
50,22948,2423
51,17457,2504
52,21374,2522
53,21786,2426
54,18618,2394
55,26129,2456
56,23398,2449
57,23813,2580
58,28093,2370
59,25591,2415
60,26566,2504
61,23775,2451
62,24335,2565
63,26824,2535
64,17068,2382
65,22456,2527
66,23031,2562
67,20823,2431
68,29170,2424
69,28593,2503
70,24688,2390
71,24735,2399
72,23533,2335
73,26465,2423
74,23482,2339
75,24363,2535
76,23985,2425
77,22543,2388
78,20355,2478
79,17721,2505
80,22084,2363
81,23311,2562
82,21516,2417
83,19409,2415
84,22624,2358
85,21211,2489
86,22603,2420
87,20453,2456
88,20657,2449
89,23123,2418
90,24328,2425
91,23558,2528
92,20630,2421
93,20951,2422
94,25320,2482
95,21894,2567
96,31937,2505
97,22801,2446
98,27365,2451
99,24699,2352
100,29443,2393
101,23726,2418
102,25799,2500
103,25611,2396
104,25578,2514
105,26413,2501
106,25483,2424
107,26711,2369
108,23785,2425
109,24140,2509
110,24575,2482
111,23076,2590
112,29389,2393
113,27093,2462
114,24133,2478
115,28275,2474
116,23256,2421
117,25332,2337
118,20088,2386
119,21640,2432
120,23313,2496
121,27434,2601
122,23631,2648
123,22205,2649
124,22987,2522
125,24646,2591
126,23756,2516
127,25883,2591
128,25556,2729
129,22822,2629
130,26784,2591
131,22540,2462
132,27160,2628
133,23805,2571
134,24181,2620
135,22685,2570
136,27043,2592
137,25409,2601
138,21282,2620
139,22851,2653
140,23572,2680
141,18551,2625
142,18769,2598
143,26143,2567
144,24498,2654
145,25450,2533
146,24846,2681
147,26666,2564
148,24563,2593
149,24535,2658
150,23795,2627
151,20841,2569
152,21881,2584
153,22282,2560
154,23516,2592
155,28508,2699
156,23128,2589
157,28516,2810
158,25489,2620
159,24535,2662
160,23061,2711
161,19319,2878
162,26412,2687
163,25807,2523
164,20867,2578
165,22462,2675
166,19542,2674
167,23270,2689
168,21336,2594
169,25710,2584
170,34336,2629
171,24054,2692
172,22090,2564
173,24223,2689
174,27150,2649
175,25641,2617
176,24965,2676
177,24136,2647
178,24986,2632
179,23638,2566
180,28673,2653
181,25091,2789
182,26210,2587
183,23621,2593
184,16872,2618
185,18724,2555
186,30461,2614
187,24957,2567
188,25370,2564
189,23168,2659
190,30990,2651
191,19810,2642
192,21289,2649
193,20877,2568
194,25713,2660
195,27000,2661
196,22103,2785
197,22452,2661
198,21848,2611
199,20842,2692
200,29530,2627
201,21795,2770
202,23776,2620
203,35342,2477
204,25822,2652
205,26686,2574
206,24144,2720
207,24311,2691
208,23307,2682
209,24864,2563
210,24959,2692
211,22180,2507
212,27148,2633
213,23793,2524
214,18481,2604
215,21393,2524
216,16875,2532
217,19781,2656
218,24925,2563
219,24507,2555
220,25828,2528
221,25227,2480
222,20522,2523
223,25200,2667
224,23208,2586
225,21047,2659
226,23203,2621
227,24008,2696
228,22781,2557
229,21525,2652
230,18835,2635
231,22402,2599
232,18216,2622
233,20619,2597
234,19837,2581
235,27797,2477
236,31201,2630
237,28903,2755
238,30990,2653
239,23002,2565
240,28115,2560
241,27891,2692
242,27107,2594
243,24466,2541
244,25752,2565
245,23112,2653
246,27088,2599
247,26418,2746
248,24605,2629
249,24088,2558
250,20307,2590
251,28145,2526
252,23953,2552
253,24314,2664
254,24934,2596
255,21092,2564
256,23951,2634
257,23931,2562
258,20072,2605
259,25906,2481
260,25093,2595
261,20249,2491
262,21562,2619
263,21399,2534
264,31999,2563
265,25658,2633
266,24691,2689
267,23663,2725
268,23987,2529
269,21845,2560
270,25882,2599
271,26898,2533
272,28289,2474
273,23288,2656
274,26242,2570
275,19701,2729
276,21691,2589
277,19485,2681
278,22566,2572
279,19256,2708
280,17912,2745
281,21760,2588
282,20841,2657
283,20064,2537
284,20387,2563
285,18777,2661
286,28240,2754
287,38451,2458
288,24402,2571
289,29776,2539
290,20609,2563
291,33385,2729
292,22820,2564
293,14598,2559
294,26026,2629
295,23906,2565
296,24340,2567
297,25365,2727
298,24671,2465
299,25093,2497
300,24052,2565
301,26806,2531
302,25300,2586
303,21696,2492
304,24364,2529
305,24824,2528
306,29043,2617
307,25130,2567
308,22445,2529
309,24238,2510
310,22754,2590
311,27255,2526
312,25269,2593
313,22078,2535
314,30565,2567
315,28147,2570
