Method 1: time: 1.000359225, rttSecondDerivative: 331999.1733333336, cwndSecondDerivative: 0
Method 1: time: 1.000558114, rttSecondDerivative: 496452.78048780217, cwndSecondDerivative: 0
Method 1: time: 1.002980506, rttSecondDerivative: 618447.0628183314, cwndSecondDerivative: 0
Method 1: time: 1.003840443, rttSecondDerivative: 758180.6041923597, cwndSecondDerivative: 0
Method 1: time: 1.000505748, rttSecondDerivative: 777775.5019455266, cwndSecondDerivative: 0
Method 1: time: 1.007421163, rttSecondDerivative: 903629.4752000147, cwndSecondDerivative: 0
Method 1: time: 1.00036101, rttSecondDerivative: 1.1292652484848483e+06, cwndSecondDerivative: 0
Method 1: time: 1.000366191, rttSecondDerivative: 1.2542324015240124e+06, cwndSecondDerivative: 0
Method 1: time: 1.003101565, rttSecondDerivative: 1.4760228575867394e+06, cwndSecondDerivative: 0
Method 1: time: 1.004272407, rttSecondDerivative: 1.6009627395543419e+06, cwndSecondDerivative: 0
Method 1: time: 1.002044047, rttSecondDerivative: 1.7108761460343818e+06, cwndSecondDerivative: 0
Method 1: time: 1.002727652, rttSecondDerivative: 1.8090614223673842e+06, cwndSecondDerivative: 0
Method 1: time: 1.00285965, rttSecondDerivative: 1.9309744952178816e+06, cwndSecondDerivative: 0
Method 1: time: 1.004015334, rttSecondDerivative: 2.1334933196722083e+06, cwndSecondDerivative: 0
Method 1: time: 1.001456025, rttSecondDerivative: 2.322065418881749e+06, cwndSecondDerivative: 0
Method 1: time: 1.003268401, rttSecondDerivative: 2.383058555555699e+06, cwndSecondDerivative: 0
Method 1: time: 1.002560084, rttSecondDerivative: 2.660718182700205e+06, cwndSecondDerivative: 0
Method 1: time: 1.001207515, rttSecondDerivative: 2.848378867766556e+06, cwndSecondDerivative: 0
Method 1: time: 1.000320981, rttSecondDerivative: 3.017630843990354e+06, cwndSecondDerivative: 0
Method 1: time: 1.006983218, rttSecondDerivative: 3.476259977189642e+06, cwndSecondDerivative: 0
Method 1: time: 1.002147159, rttSecondDerivative: 3.666697410206153e+06, cwndSecondDerivative: 0
Method 1: time: 1.002659281, rttSecondDerivative: 3.7382084715145477e+06, cwndSecondDerivative: 0
Method 1: time: 1.003539645, rttSecondDerivative: 3.8334669677035003e+06, cwndSecondDerivative: 0
Method 1: time: 1.002508278, rttSecondDerivative: 4.020232177777883e+06, cwndSecondDerivative: 0
Method 1: time: 1.003487477, rttSecondDerivative: 4.212207036969734e+06, cwndSecondDerivative: 0
Method 1: time: 1.002712893, rttSecondDerivative: 4.464087899283067e+06, cwndSecondDerivative: 0
Method 1: time: 1.003147205, rttSecondDerivative: 4.670124916315954e+06, cwndSecondDerivative: 0
Method 1: time: 1.002835308, rttSecondDerivative: 4.81436494381297e+06, cwndSecondDerivative: 0
Method 1: time: 1.001070073, rttSecondDerivative: 5.018892744360853e+06, cwndSecondDerivative: 0
Method 1: time: 1.001032473, rttSecondDerivative: 5.297026325909388e+06, cwndSecondDerivative: 0
Method 1: time: 1.000407029, rttSecondDerivative: 5.659702625256656e+06, cwndSecondDerivative: 0
Method 1: time: 1.004867144, rttSecondDerivative: 5.769415859920455e+06, cwndSecondDerivative: 0
Method 1: time: 1.006341516, rttSecondDerivative: 5.871280889210492e+06, cwndSecondDerivative: 0
Method 1: time: 1.003300592, rttSecondDerivative: 6.006071434718561e+06, cwndSecondDerivative: 0
Method 1: time: 1.002767167, rttSecondDerivative: 6.260274203530932e+06, cwndSecondDerivative: 0
Method 1: time: 1.003925585, rttSecondDerivative: 6.533734836804681e+06, cwndSecondDerivative: 0
Method 1: time: 1.002674421, rttSecondDerivative: 6.76312343629498e+06, cwndSecondDerivative: 0
Method 1: time: 1.003029024, rttSecondDerivative: 7.058864923923954e+06, cwndSecondDerivative: 0
Method 1: time: 1.002798087, rttSecondDerivative: 7.282076703648077e+06, cwndSecondDerivative: 0
Method 1: time: 1.002924463, rttSecondDerivative: 7.573380900364497e+06, cwndSecondDerivative: 0
Method 1: time: 1.005071771, rttSecondDerivative: 7.8940436316669015e+06, cwndSecondDerivative: 0
Method 1: time: 1.00206035, rttSecondDerivative: 8.205323499241613e+06, cwndSecondDerivative: 0
Method 1: time: 1.000753843, rttSecondDerivative: 8.445647612685807e+06, cwndSecondDerivative: 0
Method 1: time: 1.003579966, rttSecondDerivative: 8.641714079966003e+06, cwndSecondDerivative: 0
Method 1: time: 1.003581688, rttSecondDerivative: 8.897006813233253e+06, cwndSecondDerivative: 0
Method 1: time: 1.003150585, rttSecondDerivative: 9.273868896758888e+06, cwndSecondDerivative: 0
Method 1: time: 1.00205372, rttSecondDerivative: 9.660940567810822e+06, cwndSecondDerivative: 0
Method 1: time: 1.003894375, rttSecondDerivative: 9.906764924247691e+06, cwndSecondDerivative: 0
Method 1: time: 1.003022512, rttSecondDerivative: 1.0270413626296494e+07, cwndSecondDerivative: 0
Method 1: time: 1.002415885, rttSecondDerivative: 1.0601272542533997e+07, cwndSecondDerivative: 0
Method 1: time: 1.004492418, rttSecondDerivative: 1.086996198717926e+07, cwndSecondDerivative: 0
Method 1: time: 1.002390391, rttSecondDerivative: 1.1169548690426433e+07, cwndSecondDerivative: 0
Method 1: time: 1.002836787, rttSecondDerivative: 1.1289384633175297e+07, cwndSecondDerivative: 0
Method 1: time: 1.00150592, rttSecondDerivative: 1.1457741999664294e+07, cwndSecondDerivative: 0
Method 1: time: 1.001613362, rttSecondDerivative: 1.1751437129535513e+07, cwndSecondDerivative: 0
Method 1: time: 1.001294006, rttSecondDerivative: 1.2005821752780389e+07, cwndSecondDerivative: 0
Method 1: time: 1.004904055, rttSecondDerivative: 1.2339967639893856e+07, cwndSecondDerivative: 0
Method 1: time: 1.005487452, rttSecondDerivative: 1.2636180530095749e+07, cwndSecondDerivative: 0
Method 1: time: 1.003517483, rttSecondDerivative: 1.2872838843587853e+07, cwndSecondDerivative: 0
Method 1: time: 1.003086279, rttSecondDerivative: 1.3116529869528351e+07, cwndSecondDerivative: 0
Method 1: time: 1.003456139, rttSecondDerivative: 1.3617058339660939e+07, cwndSecondDerivative: 0
Method 1: time: 1.002177975, rttSecondDerivative: 1.384486522323823e+07, cwndSecondDerivative: 0
Method 1: time: 1.004857683, rttSecondDerivative: 1.4107994734047784e+07, cwndSecondDerivative: 0
