Method 2: time: 1.000392562, rttEMAVariance: 0.00012539744847679207, cwndEMAVariance: 0
Method 2: time: 1.000606611, rttEMAVariance: 0.5696993956671729, cwndEMAVariance: 0
Method 2: time: 1.003028246, rttEMAVariance: 0.2010455605126261, cwndEMAVariance: 0
Method 2: time: 1.003886769, rttEMAVariance: 0.16742967461934444, cwndEMAVariance: 0
Method 2: time: 1.000560184, rttEMAVariance: 0.3707113394942464, cwndEMAVariance: 0
Method 2: time: 1.00746259, rttEMAVariance: 0.12006927038588573, cwndEMAVariance: 0
Method 2: time: 1.000383516, rttEMAVariance: 0.028982696860005017, cwndEMAVariance: 0
Method 2: time: 1.000419428, rttEMAVariance: 0.06467514367992272, cwndEMAVariance: 0
Method 2: time: 1.003172352, rttEMAVariance: 37.97583285115592, cwndEMAVariance: 0
Method 2: time: 1.004325572, rttEMAVariance: 0.008862974059636, cwndEMAVariance: 0
Method 2: time: 1.002078596, rttEMAVariance: 1.1019048515011438, cwndEMAVariance: 0
Method 2: time: 1.002756529, rttEMAVariance: 19.943158229466505, cwndEMAVariance: 0
Method 2: time: 1.00289384, rttEMAVariance: 0.004156087629360529, cwndEMAVariance: 0
Method 2: time: 1.004080994, rttEMAVariance: 0.1682313683061282, cwndEMAVariance: 0
Method 2: time: 1.001549864, rttEMAVariance: 0.11967263920187393, cwndEMAVariance: 0
Method 2: time: 1.003304032, rttEMAVariance: 0.0009900813446707469, cwndEMAVariance: 0
Method 2: time: 1.00269426, rttEMAVariance: 0.5713430680477215, cwndEMAVariance: 0
Method 2: time: 1.001243408, rttEMAVariance: 3.335015868632029, cwndEMAVariance: 0
Method 2: time: 1.000364791, rttEMAVariance: 21.42122399431239, cwndEMAVariance: 0
Method 2: time: 1.007137751, rttEMAVariance: 4.809057214940695, cwndEMAVariance: 0
Method 2: time: 1.002189603, rttEMAVariance: 1.1699624219024831, cwndEMAVariance: 0
Method 2: time: 1.002761381, rttEMAVariance: 0.000990479071175883, cwndEMAVariance: 0
Method 2: time: 1.00358298, rttEMAVariance: 0.0643023424152534, cwndEMAVariance: 0
Method 2: time: 1.002582758, rttEMAVariance: 0.19832195489706655, cwndEMAVariance: 0
Method 2: time: 1.00361052, rttEMAVariance: 3.002552807715906, cwndEMAVariance: 0
Method 2: time: 1.002759954, rttEMAVariance: 0.6716324875584679, cwndEMAVariance: 0
Method 2: time: 1.003273611, rttEMAVariance: 0.22413403394076525, cwndEMAVariance: 0
Method 2: time: 1.002875628, rttEMAVariance: 0.35887342059987404, cwndEMAVariance: 0
Method 2: time: 1.001175116, rttEMAVariance: 0.669783136743642, cwndEMAVariance: 0
Method 2: time: 1.001170624, rttEMAVariance: 0.2565747840918258, cwndEMAVariance: 0
Method 2: time: 1.000477397, rttEMAVariance: 0.28061355903242313, cwndEMAVariance: 0
Method 2: time: 1.005024567, rttEMAVariance: 0.003956242613218314, cwndEMAVariance: 0
Method 2: time: 1.00640518, rttEMAVariance: 27.559394816932006, cwndEMAVariance: 0
Method 2: time: 1.003352377, rttEMAVariance: 24.13699128177977, cwndEMAVariance: 0
Method 2: time: 1.002872411, rttEMAVariance: 0.9520418764774033, cwndEMAVariance: 0
Method 2: time: 1.00398526, rttEMAVariance: 0.16961547256689122, cwndEMAVariance: 0
Method 2: time: 1.002721342, rttEMAVariance: 0.04882867261503632, cwndEMAVariance: 0
Method 2: time: 1.003117333, rttEMAVariance: 0.7850486039759603, cwndEMAVariance: 0
Method 2: time: 1.003309985, rttEMAVariance: 0.32051956428393386, cwndEMAVariance: 0
Method 2: time: 1.003042737, rttEMAVariance: 0.08270693302173444, cwndEMAVariance: 0
Method 2: time: 1.005178798, rttEMAVariance: 2.191436994425736, cwndEMAVariance: 0
Method 2: time: 1.002213202, rttEMAVariance: 0.06392801206710196, cwndEMAVariance: 0
Method 2: time: 1.000810197, rttEMAVariance: 1.6524122570732644, cwndEMAVariance: 0
Method 2: time: 1.00364891, rttEMAVariance: 0.09867694289811528, cwndEMAVariance: 0
Method 2: time: 1.00375451, rttEMAVariance: 0.9458543041125944, cwndEMAVariance: 0
Method 2: time: 1.003212978, rttEMAVariance: 0.22847147424710193, cwndEMAVariance: 0
Method 2: time: 1.002125099, rttEMAVariance: 0.8554234590665074, cwndEMAVariance: 0
Method 2: time: 1.004025208, rttEMAVariance: 0.6427589400515232, cwndEMAVariance: 0
Method 2: time: 1.003126606, rttEMAVariance: 1.4287070477632864, cwndEMAVariance: 0
Method 2: time: 1.00248477, rttEMAVariance: 0.7167329390750578, cwndEMAVariance: 0
Method 2: time: 1.004563628, rttEMAVariance: 0.0002862033479229071, cwndEMAVariance: 0
Method 2: time: 1.002556097, rttEMAVariance: 12.840313235324071, cwndEMAVariance: 0
Method 2: time: 1.002911299, rttEMAVariance: 0.01002349245153358, cwndEMAVariance: 0
Method 2: time: 1.001720089, rttEMAVariance: 0.6182188690018465, cwndEMAVariance: 0
Method 2: time: 1.001688792, rttEMAVariance: 0.7349967989620019, cwndEMAVariance: 0
Method 2: time: 1.0014435, rttEMAVariance: 16.21566170206023, cwndEMAVariance: 0
Method 2: time: 1.005112251, rttEMAVariance: 0.004038000241292479, cwndEMAVariance: 0
Method 2: time: 1.005563403, rttEMAVariance: 0.9280895440483499, cwndEMAVariance: 0
Method 2: time: 1.003710956, rttEMAVariance: 0.1710705881912073, cwndEMAVariance: 0
Method 2: time: 1.003287718, rttEMAVariance: 1.5422757831825997, cwndEMAVariance: 0
Method 2: time: 1.003691175, rttEMAVariance: 0.3351029332413893, cwndEMAVariance: 0
Method 2: time: 1.002419164, rttEMAVariance: 0.1953177677712774, cwndEMAVariance: 0
Method 2: time: 1.005089717, rttEMAVariance: 11.895933307240826, cwndEMAVariance: 0
Method 2: time: 1.002784383, rttEMAVariance: 1.0806480555969553, cwndEMAVariance: 0
Method 2: time: 1.00290202, rttEMAVariance: 0.43767121859015323, cwndEMAVariance: 0
Method 2: time: 1.003457351, rttEMAVariance: 0.7778636756484771, cwndEMAVariance: 0
Method 2: time: 1.003250979, rttEMAVariance: 1.9234070693451575, cwndEMAVariance: 0
Method 2: time: 1.00095058, rttEMAVariance: 3.9559430797456328, cwndEMAVariance: 0
Method 2: time: 1.002386972, rttEMAVariance: 0.08147003131892053, cwndEMAVariance: 0
Method 2: time: 1.008223341, rttEMAVariance: 1.8244189630247916, cwndEMAVariance: 0
Method 2: time: 1.002544597, rttEMAVariance: 1.959443502090436, cwndEMAVariance: 0
Method 2: time: 1.004241317, rttEMAVariance: 2.260423233619903, cwndEMAVariance: 0
Method 2: time: 1.002642643, rttEMAVariance: 0.8521027327213079, cwndEMAVariance: 0
Method 2: time: 1.003739738, rttEMAVariance: 1.0821888970203235, cwndEMAVariance: 0
Method 2: time: 1.003447539, rttEMAVariance: 13.084034104107623, cwndEMAVariance: 0
Method 2: time: 1.002555722, rttEMAVariance: 3.5639100425250274, cwndEMAVariance: 0
Method 2: time: 1.003135592, rttEMAVariance: 5.173293091090938, cwndEMAVariance: 0
Method 2: time: 1.004748083, rttEMAVariance: 1.5591330679044455, cwndEMAVariance: 0
Method 2: time: 1.003320628, rttEMAVariance: 0.6687017051763866, cwndEMAVariance: 0
Method 2: time: 1.003249443, rttEMAVariance: 3.8922211959462163, cwndEMAVariance: 0
Method 2: time: 1.003006004, rttEMAVariance: 3.4191373238002, cwndEMAVariance: 0
Method 2: time: 1.003230545, rttEMAVariance: 12.331302826769157, cwndEMAVariance: 0
Method 2: time: 1.004178075, rttEMAVariance: 1.7032990821780163, cwndEMAVariance: 0
Method 2: time: 1.002558077, rttEMAVariance: 0.7831135765173118, cwndEMAVariance: 0
Method 2: time: 1.004311932, rttEMAVariance: 2.4523920253819878, cwndEMAVariance: 0
Method 2: time: 1.003717158, rttEMAVariance: 0.2101217618608768, cwndEMAVariance: 0
Method 2: time: 1.002643746, rttEMAVariance: 7.659429267795944, cwndEMAVariance: 0
Method 2: time: 1.003198877, rttEMAVariance: 26.61580656074367, cwndEMAVariance: 0
Method 2: time: 1.002727571, rttEMAVariance: 0.22236324160163481, cwndEMAVariance: 0
Method 2: time: 1.004481659, rttEMAVariance: 0.02619185553629075, cwndEMAVariance: 0
Method 2: time: 1.005600126, rttEMAVariance: 0.14343397581957043, cwndEMAVariance: 0
Method 2: time: 1.00503483, rttEMAVariance: 18.04410596999403, cwndEMAVariance: 0
Method 2: time: 1.001647375, rttEMAVariance: 0.12487207294861928, cwndEMAVariance: 0
Method 2: time: 1.001303355, rttEMAVariance: 25.06710120032135, cwndEMAVariance: 0
Method 2: time: 1.003015877, rttEMAVariance: 30.53829001435813, cwndEMAVariance: 0
Method 2: time: 1.004567947, rttEMAVariance: 1.2588649469515265, cwndEMAVariance: 0
Method 2: time: 1.003447808, rttEMAVariance: 11.150324550799251, cwndEMAVariance: 0
Method 2: time: 1.004337, rttEMAVariance: 0.5715619810033431, cwndEMAVariance: 0
Method 2: time: 1.003816453, rttEMAVariance: 48.21563466903887, cwndEMAVariance: 0
Method 2: time: 1.002831511, rttEMAVariance: 2.5738359981267513, cwndEMAVariance: 0
Method 2: time: 1.003801349, rttEMAVariance: 0.2705691331228629, cwndEMAVariance: 0
Method 2: time: 1.003758145, rttEMAVariance: 0.6468539336534779, cwndEMAVariance: 0
Method 2: time: 1.003423526, rttEMAVariance: 0.015923160610442025, cwndEMAVariance: 0
Method 2: time: 1.001358209, rttEMAVariance: 1.4467305365549268, cwndEMAVariance: 0
Method 2: time: 1.001370245, rttEMAVariance: 33.398065057384066, cwndEMAVariance: 0
Method 2: time: 1.000867605, rttEMAVariance: 218.18537800011418, cwndEMAVariance: 0
Method 2: time: 1.003743109, rttEMAVariance: 1.0857620797636134, cwndEMAVariance: 0
Method 2: time: 1.001490884, rttEMAVariance: 6.51706419431422, cwndEMAVariance: 0
Method 2: time: 1.012250394, rttEMAVariance: 0.455087530112932, cwndEMAVariance: 0
