Method 3: time: 1.000401968, rttCustomWeightedVariance: 622853.3230349859, cwndCustomWeightedVariance: 0
Method 3: time: 1.000620301, rttCustomWeightedVariance: 23829.21802584687, cwndCustomWeightedVariance: 0
Method 3: time: 1.003047882, rttCustomWeightedVariance: 26255.17228646371, cwndCustomWeightedVariance: 0
Method 3: time: 1.003904112, rttCustomWeightedVariance: 124115.89941330467, cwndCustomWeightedVariance: 0
Method 3: time: 1.000580001, rttCustomWeightedVariance: 73357.68178177887, cwndCustomWeightedVariance: 0
Method 3: time: 1.007483816, rttCustomWeightedVariance: 27396.47025299284, cwndCustomWeightedVariance: 0
Method 3: time: 1.000392117, rttCustomWeightedVariance: 12178.15614779908, cwndCustomWeightedVariance: 0
Method 3: time: 1.000446814, rttCustomWeightedVariance: 22831.49666448068, cwndCustomWeightedVariance: 0
Method 3: time: 1.003208845, rttCustomWeightedVariance: 123284.27091854153, cwndCustomWeightedVariance: 0
Method 3: time: 1.004342093, rttCustomWeightedVariance: 82734.07900161944, cwndCustomWeightedVariance: 0
Method 3: time: 1.002094051, rttCustomWeightedVariance: 58644.36251904211, cwndCustomWeightedVariance: 0
Method 3: time: 1.002771995, rttCustomWeightedVariance: 46075.910626595534, cwndCustomWeightedVariance: 0
Method 3: time: 1.002912672, rttCustomWeightedVariance: 28008.96365465016, cwndCustomWeightedVariance: 0
Method 3: time: 1.004124424, rttCustomWeightedVariance: 36317.00115549299, cwndCustomWeightedVariance: 0
Method 3: time: 1.001606114, rttCustomWeightedVariance: 42928.99311589177, cwndCustomWeightedVariance: 0
Method 3: time: 1.003324338, rttCustomWeightedVariance: 66582.80675580665, cwndCustomWeightedVariance: 0
Method 3: time: 1.00277202, rttCustomWeightedVariance: 21553.059892375208, cwndCustomWeightedVariance: 0
Method 3: time: 1.001269371, rttCustomWeightedVariance: 329297.2446437217, cwndCustomWeightedVariance: 0
Method 3: time: 1.000388584, rttCustomWeightedVariance: 201840.6709423185, cwndCustomWeightedVariance: 0
Method 3: time: 1.007170962, rttCustomWeightedVariance: 771605.1581530117, cwndCustomWeightedVariance: 0
Method 3: time: 1.002214402, rttCustomWeightedVariance: 257982.88074561738, cwndCustomWeightedVariance: 0
Method 3: time: 1.002819961, rttCustomWeightedVariance: 57358.81834110388, cwndCustomWeightedVariance: 0
Method 3: time: 1.003610063, rttCustomWeightedVariance: 80030.87552855002, cwndCustomWeightedVariance: 0
Method 3: time: 1.00265307, rttCustomWeightedVariance: 22467.739098841346, cwndCustomWeightedVariance: 0
Method 3: time: 1.003692243, rttCustomWeightedVariance: 885390.9166700209, cwndCustomWeightedVariance: 0
Method 3: time: 1.002788757, rttCustomWeightedVariance: 39625.3837711855, cwndCustomWeightedVariance: 0
Method 3: time: 1.003363341, rttCustomWeightedVariance: 32837.38038095238, cwndCustomWeightedVariance: 0
Method 3: time: 1.002905597, rttCustomWeightedVariance: 29035.280658208187, cwndCustomWeightedVariance: 0
Method 3: time: 1.001243612, rttCustomWeightedVariance: 83335.04495979926, cwndCustomWeightedVariance: 0
Method 3: time: 1.001202501, rttCustomWeightedVariance: 179195.02248807612, cwndCustomWeightedVariance: 0
Method 3: time: 1.000555102, rttCustomWeightedVariance: 186198.11211085462, cwndCustomWeightedVariance: 0
Method 3: time: 1.005305526, rttCustomWeightedVariance: 112160.84934350562, cwndCustomWeightedVariance: 0
Method 3: time: 1.006804069, rttCustomWeightedVariance: 70394.1440410924, cwndCustomWeightedVariance: 0
Method 3: time: 1.003514898, rttCustomWeightedVariance: 113827.43681748808, cwndCustomWeightedVariance: 0
Method 3: time: 1.003292561, rttCustomWeightedVariance: 48608.62016847707, cwndCustomWeightedVariance: 0
Method 3: time: 1.004221626, rttCustomWeightedVariance: 21559.522162115452, cwndCustomWeightedVariance: 0
Method 3: time: 1.00296374, rttCustomWeightedVariance: 45556.14725136303, cwndCustomWeightedVariance: 0
Method 3: time: 1.003608326, rttCustomWeightedVariance: 654385.4060036542, cwndCustomWeightedVariance: 0
Method 3: time: 1.004216155, rttCustomWeightedVariance: 133300.7458660512, cwndCustomWeightedVariance: 0
Method 3: time: 1.003699461, rttCustomWeightedVariance: 567848.0965088384, cwndCustomWeightedVariance: 0
Method 3: time: 1.005975943, rttCustomWeightedVariance: 421462.57970475144, cwndCustomWeightedVariance: 0
Method 3: time: 1.003648534, rttCustomWeightedVariance: 21518.355763232936, cwndCustomWeightedVariance: 0
Method 3: time: 1.001317089, rttCustomWeightedVariance: 693936.971834707, cwndCustomWeightedVariance: 0
Method 3: time: 1.004236382, rttCustomWeightedVariance: 81094.66945504383, cwndCustomWeightedVariance: 0
Method 3: time: 1.005024394, rttCustomWeightedVariance: 20166.247568300245, cwndCustomWeightedVariance: 0
Method 3: time: 1.003832813, rttCustomWeightedVariance: 72310.9572239563, cwndCustomWeightedVariance: 0
Method 3: time: 1.002773381, rttCustomWeightedVariance: 137716.71267610943, cwndCustomWeightedVariance: 0
Method 3: time: 1.005062392, rttCustomWeightedVariance: 45282.5775678848, cwndCustomWeightedVariance: 0
Method 3: time: 1.004248767, rttCustomWeightedVariance: 57405.62914395279, cwndCustomWeightedVariance: 0
Method 3: time: 1.003279626, rttCustomWeightedVariance: 64959.93861314523, cwndCustomWeightedVariance: 0
Method 3: time: 1.005352684, rttCustomWeightedVariance: 74429.34162175939, cwndCustomWeightedVariance: 0
Method 3: time: 1.005152594, rttCustomWeightedVariance: 51873.129453226444, cwndCustomWeightedVariance: 0
Method 3: time: 1.003796974, rttCustomWeightedVariance: 189108.25398024867, cwndCustomWeightedVariance: 0
Method 3: time: 1.004625569, rttCustomWeightedVariance: 57478.799063478415, cwndCustomWeightedVariance: 0
Method 3: time: 1.002670019, rttCustomWeightedVariance: 105795.84691265848, cwndCustomWeightedVariance: 0
Method 3: time: 1.005675353, rttCustomWeightedVariance: 144479.33231276416, cwndCustomWeightedVariance: 0
Method 3: time: 1.008093001, rttCustomWeightedVariance: 76333.87919127347, cwndCustomWeightedVariance: 0
Method 3: time: 1.006787965, rttCustomWeightedVariance: 135300.307555923, cwndCustomWeightedVariance: 0
Method 3: time: 1.006756675, rttCustomWeightedVariance: 116145.42158719536, cwndCustomWeightedVariance: 0
Method 3: time: 1.006441437, rttCustomWeightedVariance: 277588.3614760561, cwndCustomWeightedVariance: 0
Method 3: time: 1.00688536, rttCustomWeightedVariance: 133330.3436612166, cwndCustomWeightedVariance: 0
Method 3: time: 1.005833222, rttCustomWeightedVariance: 60406.55654567205, cwndCustomWeightedVariance: 0
Method 3: time: 1.008690158, rttCustomWeightedVariance: 441698.38343628467, cwndCustomWeightedVariance: 0
Method 3: time: 1.006888582, rttCustomWeightedVariance: 57465.592551527145, cwndCustomWeightedVariance: 0
Method 3: time: 1.004201982, rttCustomWeightedVariance: 42132.42417562804, cwndCustomWeightedVariance: 0
Method 3: time: 1.008313917, rttCustomWeightedVariance: 30353.409080679936, cwndCustomWeightedVariance: 0
Method 3: time: 1.007510434, rttCustomWeightedVariance: 741287.6918290362, cwndCustomWeightedVariance: 0
Method 3: time: 1.002326498, rttCustomWeightedVariance: 84912.10085991563, cwndCustomWeightedVariance: 0
Method 3: time: 1.005126897, rttCustomWeightedVariance: 322500.0396945954, cwndCustomWeightedVariance: 0
Method 3: time: 1.012429656, rttCustomWeightedVariance: 457116.80183880654, cwndCustomWeightedVariance: 0
Method 3: time: 1.006721139, rttCustomWeightedVariance: 141807.05145597644, cwndCustomWeightedVariance: 0
Method 3: time: 1.006452333, rttCustomWeightedVariance: 571038.3339027013, cwndCustomWeightedVariance: 0
Method 3: time: 1.005718058, rttCustomWeightedVariance: 40521.10503884826, cwndCustomWeightedVariance: 0
Method 3: time: 1.007253069, rttCustomWeightedVariance: 156331.06728421524, cwndCustomWeightedVariance: 0
Method 3: time: 1.006252213, rttCustomWeightedVariance: 153863.2138010916, cwndCustomWeightedVariance: 0
Method 3: time: 1.004650996, rttCustomWeightedVariance: 141873.9667087194, cwndCustomWeightedVariance: 0
Method 3: time: 1.006303207, rttCustomWeightedVariance: 367967.69964315573, cwndCustomWeightedVariance: 0
Method 3: time: 1.010204413, rttCustomWeightedVariance: 205574.30032758162, cwndCustomWeightedVariance: 0
Method 3: time: 1.005991214, rttCustomWeightedVariance: 19225.487783132947, cwndCustomWeightedVariance: 0
Method 3: time: 1.005797877, rttCustomWeightedVariance: 243476.67776931686, cwndCustomWeightedVariance: 0
Method 3: time: 1.004990029, rttCustomWeightedVariance: 185691.12461199434, cwndCustomWeightedVariance: 0
Method 3: time: 1.005076229, rttCustomWeightedVariance: 640515.1824323277, cwndCustomWeightedVariance: 0
Method 3: time: 1.009092323, rttCustomWeightedVariance: 190193.03185045655, cwndCustomWeightedVariance: 0
Method 3: time: 1.004524886, rttCustomWeightedVariance: 39210.6416081472, cwndCustomWeightedVariance: 0
Method 3: time: 1.010253811, rttCustomWeightedVariance: 139388.04389619743, cwndCustomWeightedVariance: 0
Method 3: time: 1.005820803, rttCustomWeightedVariance: 47137.35062096363, cwndCustomWeightedVariance: 0
Method 3: time: 1.004963044, rttCustomWeightedVariance: 784641.9017412163, cwndCustomWeightedVariance: 0
Method 3: time: 1.005366864, rttCustomWeightedVariance: 120712.26790958567, cwndCustomWeightedVariance: 0
Method 3: time: 1.004915894, rttCustomWeightedVariance: 56211.91146622874, cwndCustomWeightedVariance: 0
Method 3: time: 1.007317048, rttCustomWeightedVariance: 872006.7516698253, cwndCustomWeightedVariance: 0
Method 3: time: 1.011400509, rttCustomWeightedVariance: 29173.980043240972, cwndCustomWeightedVariance: 0
Method 3: time: 1.00761523, rttCustomWeightedVariance: 157371.70359540218, cwndCustomWeightedVariance: 0
Method 3: time: 1.004505552, rttCustomWeightedVariance: 45885.904034072366, cwndCustomWeightedVariance: 0
Method 3: time: 1.004256288, rttCustomWeightedVariance: 90034.28694895371, cwndCustomWeightedVariance: 0
Method 3: time: 1.005258754, rttCustomWeightedVariance: 234791.96230488233, cwndCustomWeightedVariance: 0
Method 3: time: 1.007464705, rttCustomWeightedVariance: 44541.015745961806, cwndCustomWeightedVariance: 0
Method 3: time: 1.005967735, rttCustomWeightedVariance: 388804.2347991268, cwndCustomWeightedVariance: 0
Method 3: time: 1.007256021, rttCustomWeightedVariance: 99348.52471145292, cwndCustomWeightedVariance: 0
Method 3: time: 1.007583537, rttCustomWeightedVariance: 109818.54734822246, cwndCustomWeightedVariance: 0
Method 3: time: 1.007024171, rttCustomWeightedVariance: 126473.69877857158, cwndCustomWeightedVariance: 0
Method 3: time: 1.006753809, rttCustomWeightedVariance: 453988.7929914068, cwndCustomWeightedVariance: 0
Method 3: time: 1.006413986, rttCustomWeightedVariance: 163072.34694002356, cwndCustomWeightedVariance: 0
Method 3: time: 1.006123908, rttCustomWeightedVariance: 314245.1194053433, cwndCustomWeightedVariance: 0
Method 3: time: 1.004612706, rttCustomWeightedVariance: 95738.28956418355, cwndCustomWeightedVariance: 0
Method 3: time: 1.004227164, rttCustomWeightedVariance: 341257.1860422864, cwndCustomWeightedVariance: 0
Method 3: time: 1.00378537, rttCustomWeightedVariance: 40531.83110651926, cwndCustomWeightedVariance: 0
Method 3: time: 1.009804893, rttCustomWeightedVariance: 61306.27201480955, cwndCustomWeightedVariance: 0
Method 3: time: 1.004413655, rttCustomWeightedVariance: 40017.9357298213, cwndCustomWeightedVariance: 0
Method 3: time: 1.016440264, rttCustomWeightedVariance: 80396.01175467305, cwndCustomWeightedVariance: 0
Method 3: time: 1.005959497, rttCustomWeightedVariance: 22335.2089183398, cwndCustomWeightedVariance: 0
Method 3: time: 1.008963449, rttCustomWeightedVariance: 119723.43930464215, cwndCustomWeightedVariance: 0
Method 3: time: 1.005734778, rttCustomWeightedVariance: 398093.67288432, cwndCustomWeightedVariance: 0
Method 3: time: 1.00854897, rttCustomWeightedVariance: 79653.97144327228, cwndCustomWeightedVariance: 0
Method 3: time: 1.007025428, rttCustomWeightedVariance: 68151.85988813442, cwndCustomWeightedVariance: 0
Method 3: time: 1.009215882, rttCustomWeightedVariance: 173495.82161139464, cwndCustomWeightedVariance: 0
Method 3: time: 1.011310286, rttCustomWeightedVariance: 99978.33417518972, cwndCustomWeightedVariance: 0
Method 3: time: 1.004782366, rttCustomWeightedVariance: 123593.34503297464, cwndCustomWeightedVariance: 0
Method 3: time: 1.010710712, rttCustomWeightedVariance: 195275.51237294887, cwndCustomWeightedVariance: 0
Method 3: time: 1.008279855, rttCustomWeightedVariance: 124735.80169830243, cwndCustomWeightedVariance: 0
Method 3: time: 1.011271203, rttCustomWeightedVariance: 73671.6567291792, cwndCustomWeightedVariance: 0
Method 3: time: 1.014896678, rttCustomWeightedVariance: 231366.15224838446, cwndCustomWeightedVariance: 0
Method 3: time: 1.010741603, rttCustomWeightedVariance: 468128.3814204667, cwndCustomWeightedVariance: 0
Method 3: time: 1.013519732, rttCustomWeightedVariance: 166784.53580064507, cwndCustomWeightedVariance: 0
Method 3: time: 1.008172308, rttCustomWeightedVariance: 39582.62148204776, cwndCustomWeightedVariance: 0
Method 3: time: 1.015030753, rttCustomWeightedVariance: 34552.67954069316, cwndCustomWeightedVariance: 0
Method 3: time: 1.006981482, rttCustomWeightedVariance: 44236.46217008406, cwndCustomWeightedVariance: 0
Method 3: time: 1.011853203, rttCustomWeightedVariance: 71105.71268083339, cwndCustomWeightedVariance: 0
Method 3: time: 1.008158308, rttCustomWeightedVariance: 85866.2261667912, cwndCustomWeightedVariance: 0
Method 3: time: 1.013441357, rttCustomWeightedVariance: 266610.6147642312, cwndCustomWeightedVariance: 0
Method 3: time: 1.007923189, rttCustomWeightedVariance: 40170.04600267402, cwndCustomWeightedVariance: 0
Method 3: time: 1.006410337, rttCustomWeightedVariance: 1.0996083579002323e+06, cwndCustomWeightedVariance: 0
Method 3: time: 1.013992268, rttCustomWeightedVariance: 320079.5087826999, cwndCustomWeightedVariance: 0
Method 3: time: 1.007211226, rttCustomWeightedVariance: 64852.15375593659, cwndCustomWeightedVariance: 0
Method 3: time: 1.005757877, rttCustomWeightedVariance: 435059.7903437597, cwndCustomWeightedVariance: 0
Method 3: time: 1.01674359, rttCustomWeightedVariance: 60701.335741634066, cwndCustomWeightedVariance: 0
Method 3: time: 1.016286989, rttCustomWeightedVariance: 454447.0798604195, cwndCustomWeightedVariance: 0
Method 3: time: 1.006257309, rttCustomWeightedVariance: 147648.32387036696, cwndCustomWeightedVariance: 0
Method 3: time: 1.011670802, rttCustomWeightedVariance: 96005.63121862574, cwndCustomWeightedVariance: 0
Method 3: time: 1.009370236, rttCustomWeightedVariance: 496991.1458169368, cwndCustomWeightedVariance: 0
Method 3: time: 1.01014969, rttCustomWeightedVariance: 49662.86173584598, cwndCustomWeightedVariance: 0
Method 3: time: 1.008164979, rttCustomWeightedVariance: 97456.43059565885, cwndCustomWeightedVariance: 0
Method 3: time: 1.006919968, rttCustomWeightedVariance: 49818.10300478866, cwndCustomWeightedVariance: 0
Method 3: time: 1.008904421, rttCustomWeightedVariance: 179207.44083047324, cwndCustomWeightedVariance: 0
Method 3: time: 1.007715249, rttCustomWeightedVariance: 221740.49776881258, cwndCustomWeightedVariance: 0
Method 3: time: 1.011878349, rttCustomWeightedVariance: 26487.894380056794, cwndCustomWeightedVariance: 0
Method 3: time: 1.006013713, rttCustomWeightedVariance: 704133.2129203482, cwndCustomWeightedVariance: 0
Method 3: time: 1.016496362, rttCustomWeightedVariance: 181923.28154681792, cwndCustomWeightedVariance: 0
Method 3: time: 1.010289693, rttCustomWeightedVariance: 43018.656546782484, cwndCustomWeightedVariance: 0
Method 3: time: 1.007250281, rttCustomWeightedVariance: 29839.32444744879, cwndCustomWeightedVariance: 0
Method 3: time: 1.009186608, rttCustomWeightedVariance: 77774.8412795661, cwndCustomWeightedVariance: 0
Method 3: time: 1.011239095, rttCustomWeightedVariance: 457332.9241291538, cwndCustomWeightedVariance: 0
Method 3: time: 1.008461028, rttCustomWeightedVariance: 250094.6901494251, cwndCustomWeightedVariance: 0
Method 3: time: 1.011099608, rttCustomWeightedVariance: 26813.451065570047, cwndCustomWeightedVariance: 0
Method 3: time: 1.009304811, rttCustomWeightedVariance: 349414.5562347948, cwndCustomWeightedVariance: 0
Method 3: time: 1.009056285, rttCustomWeightedVariance: 258095.27347595763, cwndCustomWeightedVariance: 0
Method 3: time: 1.009253028, rttCustomWeightedVariance: 25414.25897172505, cwndCustomWeightedVariance: 0
Method 3: time: 1.016885515, rttCustomWeightedVariance: 285027.43782110955, cwndCustomWeightedVariance: 0
Method 3: time: 1.008728578, rttCustomWeightedVariance: 191119.2882520651, cwndCustomWeightedVariance: 0
Method 3: time: 1.009595657, rttCustomWeightedVariance: 74412.63471852051, cwndCustomWeightedVariance: 0
Method 3: time: 1.010534766, rttCustomWeightedVariance: 82122.55371821017, cwndCustomWeightedVariance: 0
Method 3: time: 1.008284822, rttCustomWeightedVariance: 151394.55825518596, cwndCustomWeightedVariance: 0
Method 3: time: 1.01576616, rttCustomWeightedVariance: 250155.1953527196, cwndCustomWeightedVariance: 0
Method 3: time: 1.010139919, rttCustomWeightedVariance: 159249.36457969778, cwndCustomWeightedVariance: 0
Method 3: time: 1.008577389, rttCustomWeightedVariance: 351169.756295842, cwndCustomWeightedVariance: 0
Method 3: time: 1.009257755, rttCustomWeightedVariance: 108909.78909317529, cwndCustomWeightedVariance: 0
Method 3: time: 1.018199438, rttCustomWeightedVariance: 165910.37259529563, cwndCustomWeightedVariance: 0
Method 3: time: 1.018046987, rttCustomWeightedVariance: 369090.3828526961, cwndCustomWeightedVariance: 0
Method 3: time: 1.028281003, rttCustomWeightedVariance: 68095.9817091953, cwndCustomWeightedVariance: 0
Method 3: time: 1.013692636, rttCustomWeightedVariance: 80514.16894991242, cwndCustomWeightedVariance: 0
Method 3: time: 1.015430161, rttCustomWeightedVariance: 42223.88125231718, cwndCustomWeightedVariance: 0
Method 3: time: 1.02701476, rttCustomWeightedVariance: 95782.2956245088, cwndCustomWeightedVariance: 0
Method 3: time: 1.021951159, rttCustomWeightedVariance: 365512.58123737364, cwndCustomWeightedVariance: 0
Method 3: time: 1.010922685, rttCustomWeightedVariance: 14896.666988087376, cwndCustomWeightedVariance: 0
Method 3: time: 1.014711628, rttCustomWeightedVariance: 45407.07205889889, cwndCustomWeightedVariance: 0
Method 3: time: 1.010959882, rttCustomWeightedVariance: 59643.50305094076, cwndCustomWeightedVariance: 0
Method 3: time: 1.011374249, rttCustomWeightedVariance: 154643.70976469293, cwndCustomWeightedVariance: 0
Method 3: time: 1.01642162, rttCustomWeightedVariance: 171892.93302453987, cwndCustomWeightedVariance: 0
Method 3: time: 1.01025973, rttCustomWeightedVariance: 115930.1034644694, cwndCustomWeightedVariance: 0
Method 3: time: 1.008178649, rttCustomWeightedVariance: 267472.24306929833, cwndCustomWeightedVariance: 0
Method 3: time: 1.012674548, rttCustomWeightedVariance: 54254.796483014565, cwndCustomWeightedVariance: 0
