Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1724
3,0,40960,1767
4,0,40960,1800
5,0,40960,2949
6,0,40960,2949
7,200895,40960,76
8,200895,40960,315
9,200899,40960,239
10,200899,40960,442
11,200859,40960,0
12,200859,40960,46
13,200831,40960,0
14,200831,40960,45
15,200831,40960,72
16,200772,40960,0
17,200772,40960,778
18,200772,40960,805
19,200721,40960,0
20,200721,40960,1366
21,200721,40960,1393
22,200721,40960,1487
23,200721,40960,1581
24,200721,40960,1675
25,200721,40960,1769
26,200721,40960,1863
27,200721,40960,1957
28,200721,40960,2052
29,200721,40960,2147
30,200721,40960,2242
31,200721,40960,2337
32,200721,40960,2432
33,200721,40960,2527
34,200721,40960,2622
35,200721,40960,2718
36,200721,40960,2814
37,200721,40960,2910
38,200721,40960,3006
39,200721,40960,3102
40,200721,40960,3198
41,200721,40960,3294
42,200656,40960,1901
43,200656,40960,1997
44,200656,40960,2029
45,200611,40960,1841
46,200611,40960,1874
47,200611,40960,3240
48,200611,40960,4606
49,200611,40960,5558
50,200611,40960,5654
51,200611,40960,5750
52,200611,40960,5846
53,200575,40960,5658
54,200575,40960,5754
55,200575,40960,5850
56,200538,40960,5662
57,200538,40960,5695
58,200538,40960,7061
59,200538,40960,8427
60,200538,40960,9768
61,200538,40960,9792
62,200538,40960,9888
63,200538,40960,9984
64,200502,40960,9794
65,200502,40960,9890
66,200502,40960,9986
67,200502,40960,10019
68,200502,40960,11385
69,200502,40960,12751
70,200502,40960,14117
71,200502,40960,14357
72,200502,40960,14381
73,200471,40960,14191
74,200471,40960,14287
75,200471,40960,14382
76,200441,40960,14192
77,200441,40960,14225
78,200441,40960,15591
79,200441,40960,16957
80,200441,40960,18323
81,200441,40960,18391
82,200441,40960,18415
83,200441,40960,18512
84,200441,40960,18608
85,200423,40960,18417
86,200423,40960,18513
87,200423,40960,18609
88,200423,40960,18642
89,200423,40960,20008
90,200423,40960,21374
91,200423,40960,22469
92,200423,40960,22493
93,200401,43692,22301
94,200401,43692,22397
95,200401,43692,22493
96,200390,45058,22301
97,200390,45058,22333
98,200390,45058,23699
99,200390,45058,25065
100,200390,45058,26286
101,200390,45058,26382
102,200390,45058,26478
103,200390,45058,26574
104,200414,47790,26382
105,200391,50522,26254
106,200391,50522,26350
107,200391,50522,26446
108,200391,50522,26478
109,200391,50522,27844
110,200391,50522,29210
111,200391,50522,30576
112,200391,50522,31942
113,200391,50522,33269
114,200581,53254,31870
115,200755,55986,29552
116,200688,58718,29360
117,200688,58718,29455
118,200688,58718,29550
119,200636,60084,29358
120,200636,60084,29390
121,200636,60084,30756
122,200636,60084,32122
123,200636,60084,33488
124,200636,60084,34095
125,200636,60084,34119
126,200636,60084,34214
127,200636,60084,34309
128,200599,62816,34180
129,200572,65548,31448
130,200542,65548,30083
131,200515,65548,29891
132,200515,65548,29986
