Time (s),Upload (Bps),Download (Bps)
0,1774,1193
1,86505,1762
2,146516,1044
3,145770,963
4,127235,1039
5,74272,958
6,24070,1070
7,24717,990
8,24478,911
9,24744,914
10,22603,961
11,23884,881
12,23201,912
13,22815,971
14,26550,1019
15,20660,889
16,18350,909
17,25840,941
18,23973,915
19,24595,909
20,24269,910
21,24463,910
22,24983,914
23,24734,884
24,24588,941
25,24485,917
26,24393,901
27,25396,912
28,23645,911
29,26626,912
30,23685,908
31,23672,910
32,23710,908
33,24242,910
34,23744,935
35,24156,905
36,23643,944
37,22642,942
38,24571,912
39,24385,939
40,24511,882
41,29546,936
42,23371,885
43,24779,914
44,22919,881
45,24662,946
46,26319,911
47,22516,913
48,25935,939
49,22926,913
50,17615,940
51,21062,910
52,22499,884
53,18778,939
54,25548,914
55,22729,912
56,23471,992
57,29314,941
58,24339,883
59,26435,913
60,23833,939
61,23163,914
62,27495,939
63,19489,914
64,17821,909
65,27311,972
66,21133,915
67,26498,910
68,30072,883
69,24356,880
70,24650,944
71,23690,915
72,25264,884
73,24977,911
74,23593,885
75,23648,939
76,23548,882
77,21138,910
78,18378,941
79,21028,913
80,22868,908
81,22039,910
82,19441,911
83,23131,967
84,21259,914
85,22922,933
86,20343,945
87,20158,912
88,22426,941
89,24411,906
90,23431,905
91,21299,938
92,21347,882
93,25094,973
94,21708,884
95,31058,945
96,23591,909
97,25713,886
98,24597,960
99,30294,881
100,23586,939
101,25544,987
102,25750,913
103,25891,940
104,24651,910
105,26470,970
106,27290,883
107,23590,941
108,24360,913
109,23982,911
110,23959,939
111,26932,914
112,29001,941
113,23853,914
114,27993,910
115,24185,914
116,24178,910
117,21698,934
118,20097,919
119,22709,944
120,29029,971
121,23580,971
122,21845,1008
123,22828,972
124,25623,942
125,23781,1035
126,23994,946
127,24687,1012
128,25223,948
129,24120,977
130,23019,977
131,25998,982
132,24029,1072
133,24473,949
134,23341,978
135,25521,976
136,26793,978
137,22075,1007
138,23362,951
139,19525,976
140,21136,980
141,19842,1007
142,23149,946
143,23379,949
144,27502,976
145,24937,1012
146,27334,945
147,23084,1015
148,25579,944
149,24777,1043
150,20611,981
151,22910,1135
152,50745,946
153,67605,985
154,79765,1016
155,95072,1027
156,83753,986
157,103174,1055
158,69680,993
159,81075,957
160,45454,1041
161,59717,1017
162,99354,1053
163,81978,955
164,48832,988
165,40353,979
166,58946,987
167,61086,988
168,71088,987
169,113402,1046
170,127020,1053
171,90316,1024
172,76076,1021
173,84359,994
174,118316,1025
175,126259,957
176,117772,1016
177,120592,985
178,108345,1024
179,100238,981
180,157116,1020
181,147675,1005
182,80504,1056
183,29992,987
184,32949,981
185,79641,976
186,165450,1042
187,108699,997
188,110648,988
189,171464,1116
190,69443,985
191,47832,984
192,81924,1020
193,75754,984
194,85392,1024
195,61713,956
196,65214,1015
197,56901,944
198,45708,985
199,93798,1011
200,116574,1028
201,56720,1049
202,151184,981
203,159069,1108
204,183403,1050
205,167588,1052
206,212969,1140
207,102093,1019
208,64737,1021
209,73102,955
210,91514,1024
211,105902,1010
212,87437,994
213,56485,982
214,55327,1048
215,30078,946
216,30288,981
217,52260,1043
218,48983,949
219,106404,1034
220,106575,1020
221,71377,989
222,82128,1015
223,62870,1025
224,32801,1010
225,50253,948
226,91297,1043
227,71715,1021
228,51623,985
229,45315,1016
230,55726,986
231,38626,980
232,41581,981
233,49731,1001
234,81827,981
235,86920,1051
236,124324,959
237,159842,1090
238,132911,1014
239,122909,1016
240,107931,1023
241,161710,1043
242,103899,1020
243,67252,993
244,67346,1013
245,105832,955
246,136607,995
247,93565,1018
248,65582,1019
249,43390,1010
250,89021,1052
251,89609,957
252,90330,1171
253,72645,1018
254,88025,990
255,69333,988
256,98343,981
257,56212,1049
258,65063,951
259,57940,989
260,81189,954
261,50453,989
262,65749,1019
263,92223,1009
264,147460,991
265,149663,953
266,141257,1023
267,79380,1020
268,70983,993
269,86627,1047
270,89061,990
271,117724,1026
272,114748,959
273,94387,1025
274,54601,1039
275,74934,1023
276,61305,953
277,85020,1026
278,35676,1015
279,33749,1011
280,37728,949
281,49051,949
282,44974,1015
283,37818,948
284,38448,1011
285,72032,980
286,129887,995
287,149663,1107
288,133566,1072
289,64391,1026
290,91801,980
291,129992,1054
292,55698,989
293,72968,983
294,82087,1055
295,83803,995
296,102684,1056
297,109778,984
298,72863,994
299,62169,1011
300,91428,993
301,137549,1084
302,59508,983
303,67812,979
304,112666,1025
305,108908,1021
306,167153,1050
307,146499,1049
308,128792,993
309,120928,994
310,122144,1021
311,135658,1062
312,102630,1022
313,171869,1076
314,178371,1006
315,111982,987
316,67755,1050
317,121850,1047
318,123384,1043
319,101400,1021
320,185011,1055
321,194086,1161
322,96094,1019
323,105964,994
324,112707,1044
325,109060,995
326,94389,990
327,87443,962
328,86254,987
329,67667,1028
330,106189,1022
331,39826,979
332,46008,980
333,59710,1011
334,51237,985
335,61618,976
336,193203,1081
337,192032,1099
338,198723,1109
339,195142,1041
340,145876,985
341,158320,1011
342,170392,983
343,191028,1046
344,181962,1129
345,117144,991
346,125896,983
347,52170,1009
348,76293,728
