Realtime bandwidth: upload: 1774 Bytes/s; download: 1193 Bytes/s
Realtime bandwidth: upload: 86505 Bytes/s; download: 1762 Bytes/s
Realtime bandwidth: upload: 146516 Bytes/s; download: 1044 Bytes/s
Realtime bandwidth: upload: 145770 Bytes/s; download: 963 Bytes/s
Realtime bandwidth: upload: 127235 Bytes/s; download: 1039 Bytes/s
Realtime bandwidth: upload: 74272 Bytes/s; download: 958 Bytes/s
Realtime bandwidth: upload: 24070 Bytes/s; download: 1070 Bytes/s
Realtime bandwidth: upload: 24717 Bytes/s; download: 990 Bytes/s
Realtime bandwidth: upload: 24478 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 24744 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 22603 Bytes/s; download: 961 Bytes/s
Realtime bandwidth: upload: 23884 Bytes/s; download: 881 Bytes/s
Realtime bandwidth: upload: 23201 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 22815 Bytes/s; download: 971 Bytes/s
Realtime bandwidth: upload: 26550 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 20660 Bytes/s; download: 889 Bytes/s
Realtime bandwidth: upload: 18350 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 25840 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 23973 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 24595 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 24269 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 24463 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 24983 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 24734 Bytes/s; download: 884 Bytes/s
Realtime bandwidth: upload: 24588 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 24485 Bytes/s; download: 917 Bytes/s
Realtime bandwidth: upload: 24393 Bytes/s; download: 901 Bytes/s
Realtime bandwidth: upload: 25396 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 23645 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 26626 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 23685 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 23672 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 23710 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 24242 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 23744 Bytes/s; download: 935 Bytes/s
Realtime bandwidth: upload: 24156 Bytes/s; download: 905 Bytes/s
Realtime bandwidth: upload: 23643 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 22642 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 24571 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 24385 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 24511 Bytes/s; download: 882 Bytes/s
Realtime bandwidth: upload: 29546 Bytes/s; download: 936 Bytes/s
Realtime bandwidth: upload: 23371 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 24779 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 22919 Bytes/s; download: 881 Bytes/s
Realtime bandwidth: upload: 24662 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 26319 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 22516 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 25935 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 22926 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 17615 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 21062 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 22499 Bytes/s; download: 884 Bytes/s
Realtime bandwidth: upload: 18778 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 25548 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 22729 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 23471 Bytes/s; download: 992 Bytes/s
Realtime bandwidth: upload: 29314 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 24339 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 26435 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 23833 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 23163 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 27495 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 19489 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 17821 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 27311 Bytes/s; download: 972 Bytes/s
Realtime bandwidth: upload: 21133 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 26498 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 30072 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 24356 Bytes/s; download: 880 Bytes/s
Realtime bandwidth: upload: 24650 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 23690 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 25264 Bytes/s; download: 884 Bytes/s
Realtime bandwidth: upload: 24977 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 23593 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 23648 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 23548 Bytes/s; download: 882 Bytes/s
Realtime bandwidth: upload: 21138 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 18378 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 21028 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 22868 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 22039 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 19441 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 23131 Bytes/s; download: 967 Bytes/s
Realtime bandwidth: upload: 21259 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 22922 Bytes/s; download: 933 Bytes/s
Realtime bandwidth: upload: 20343 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 20158 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 22426 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 24411 Bytes/s; download: 906 Bytes/s
Realtime bandwidth: upload: 23431 Bytes/s; download: 905 Bytes/s
Realtime bandwidth: upload: 21299 Bytes/s; download: 938 Bytes/s
Realtime bandwidth: upload: 21347 Bytes/s; download: 882 Bytes/s
Realtime bandwidth: upload: 25094 Bytes/s; download: 973 Bytes/s
Realtime bandwidth: upload: 21708 Bytes/s; download: 884 Bytes/s
Realtime bandwidth: upload: 31058 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 23591 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 25713 Bytes/s; download: 886 Bytes/s
Realtime bandwidth: upload: 24597 Bytes/s; download: 960 Bytes/s
Realtime bandwidth: upload: 30294 Bytes/s; download: 881 Bytes/s
Realtime bandwidth: upload: 23586 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 25544 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 25750 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 25891 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 24651 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 26470 Bytes/s; download: 970 Bytes/s
Realtime bandwidth: upload: 27290 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 23590 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 24360 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 23982 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 23959 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 26932 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 29001 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 23853 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 27993 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 24185 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 24178 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 21698 Bytes/s; download: 934 Bytes/s
Realtime bandwidth: upload: 20097 Bytes/s; download: 919 Bytes/s
Realtime bandwidth: upload: 22709 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 29029 Bytes/s; download: 971 Bytes/s
Realtime bandwidth: upload: 23580 Bytes/s; download: 971 Bytes/s
Realtime bandwidth: upload: 21845 Bytes/s; download: 1008 Bytes/s
Realtime bandwidth: upload: 22828 Bytes/s; download: 972 Bytes/s
Realtime bandwidth: upload: 25623 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 23781 Bytes/s; download: 1035 Bytes/s
Realtime bandwidth: upload: 23994 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 24687 Bytes/s; download: 1012 Bytes/s
Realtime bandwidth: upload: 25223 Bytes/s; download: 948 Bytes/s
Realtime bandwidth: upload: 24120 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 23019 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 25998 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 24029 Bytes/s; download: 1072 Bytes/s
Realtime bandwidth: upload: 24473 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 23341 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 25521 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 26793 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 22075 Bytes/s; download: 1007 Bytes/s
Realtime bandwidth: upload: 23362 Bytes/s; download: 951 Bytes/s
Realtime bandwidth: upload: 19525 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 21136 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 19842 Bytes/s; download: 1007 Bytes/s
Realtime bandwidth: upload: 23149 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 23379 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 27502 Bytes/s; download: 976 Bytes/s
Realtime bandwidth: upload: 24937 Bytes/s; download: 1012 Bytes/s
Realtime bandwidth: upload: 27334 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 23084 Bytes/s; download: 1015 Bytes/s
Realtime bandwidth: upload: 25579 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 24777 Bytes/s; download: 1043 Bytes/s
Realtime bandwidth: upload: 20611 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 22910 Bytes/s; download: 1135 Bytes/s
Realtime bandwidth: upload: 50745 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 67605 Bytes/s; download: 985 Bytes/s
Realtime bandwidth: upload: 79765 Bytes/s; download: 1016 Bytes/s
Realtime bandwidth: upload: 95072 Bytes/s; download: 1027 Bytes/s
Realtime bandwidth: upload: 83753 Bytes/s; download: 986 Bytes/s
Realtime bandwidth: upload: 103174 Bytes/s; download: 1055 Bytes/s
Realtime bandwidth: upload: 69680 Bytes/s; download: 993 Bytes/s
Realtime bandwidth: upload: 81075 Bytes/s; download: 957 Bytes/s
Realtime bandwidth: upload: 45454 Bytes/s; download: 1041 Bytes/s
Realtime bandwidth: upload: 59717 Bytes/s; download: 1017 Bytes/s
Realtime bandwidth: upload: 99354 Bytes/s; download: 1053 Bytes/s
Realtime bandwidth: upload: 81978 Bytes/s; download: 955 Bytes/s
Realtime bandwidth: upload: 48832 Bytes/s; download: 988 Bytes/s
Realtime bandwidth: upload: 40353 Bytes/s; download: 979 Bytes/s
Realtime bandwidth: upload: 58946 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 61086 Bytes/s; download: 988 Bytes/s
Realtime bandwidth: upload: 71088 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 113402 Bytes/s; download: 1046 Bytes/s
Realtime bandwidth: upload: 127020 Bytes/s; download: 1053 Bytes/s
Realtime bandwidth: upload: 90316 Bytes/s; download: 1024 Bytes/s
Realtime bandwidth: upload: 76076 Bytes/s; download: 1021 Bytes/s
Realtime bandwidth: upload: 84359 Bytes/s; download: 994 Bytes/s
Realtime bandwidth: upload: 118316 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 126259 Bytes/s; download: 957 Bytes/s
Realtime bandwidth: upload: 117772 Bytes/s; download: 1016 Bytes/s
Realtime bandwidth: upload: 120592 Bytes/s; download: 985 Bytes/s
