Method 1: time: 1.167568693, rttSecondDerivative: 4368.1, cwndSecondDerivative: 0
Method 1: time: 1.00164108, rttSecondDerivative: 4.9219348392857155e+06, cwndSecondDerivative: 1.1396063743722968e+08
Method 1: time: 1.000178698, rttSecondDerivative: 2.0314547875e+07, cwndSecondDerivative: 1.170276616925974e+08
Method 1: time: 1.001989318, rttSecondDerivative: 2.6752810576355264e+07, cwndSecondDerivative: 1.178810298412651e+08
Method 1: time: 1.003772624, rttSecondDerivative: 3.539930032541104e+07, cwndSecondDerivative: 1.1827551074296717e+08
Method 1: time: 1.022189857, rttSecondDerivative: 4.356574988965441e+07, cwndSecondDerivative: 1.184597615487886e+08
Method 1: time: 1.002779622, rttSecondDerivative: 5.053095483676319e+07, cwndSecondDerivative: 1.1856016949077986e+08
Method 1: time: 1.014846969, rttSecondDerivative: 7.379445548892812e+07, cwndSecondDerivative: 1.1864874906061988e+08
Method 1: time: 1.003028863, rttSecondDerivative: 8.595074155901827e+07, cwndSecondDerivative: 1.1872157986467539e+08
Method 1: time: 1.002914333, rttSecondDerivative: 9.399498127698684e+07, cwndSecondDerivative: 1.187812112673735e+08
Method 1: time: 1.003274457, rttSecondDerivative: 1.0914737938187188e+08, cwndSecondDerivative: 1.1883064736328207e+08
Method 1: time: 1.002036139, rttSecondDerivative: 1.2521349371067196e+08, cwndSecondDerivative: 1.18873231673328e+08
Method 1: time: 1.002669451, rttSecondDerivative: 1.3366997454205702e+08, cwndSecondDerivative: 1.1891008746191138e+08
Method 1: time: 1.002739493, rttSecondDerivative: 1.4660464515024462e+08, cwndSecondDerivative: 1.1894266114110738e+08
Method 1: time: 1.002280986, rttSecondDerivative: 1.6255262176491392e+08, cwndSecondDerivative: 1.1897165219100614e+08
Method 1: time: 1.003227673, rttSecondDerivative: 1.678467402066189e+08, cwndSecondDerivative: 1.1899633177500866e+08
Method 1: time: 1.002433422, rttSecondDerivative: 1.7924077733291095e+08, cwndSecondDerivative: 1.1901831390864576e+08
Method 1: time: 1.003877577, rttSecondDerivative: 1.9752081455825555e+08, cwndSecondDerivative: 1.1903929291432787e+08
Method 1: time: 1.001842891, rttSecondDerivative: 2.1490746730028215e+08, cwndSecondDerivative: 1.1905735756333224e+08
Method 1: time: 1.002302455, rttSecondDerivative: 2.213253727444115e+08, cwndSecondDerivative: 1.190740771601588e+08
Method 1: time: 1.00298043, rttSecondDerivative: 2.4089350384646916e+08, cwndSecondDerivative: 1.1908906544920836e+08
Method 1: time: 1.002514267, rttSecondDerivative: 2.6046630816945565e+08, cwndSecondDerivative: 1.191032141850037e+08
