Method 2: time: 1.167587266, rttEMAVariance: 3.4503299804327856, cwndEMAVariance: 0
Method 2: time: 1.001690694, rttEMAVariance: 4778.540909946556, cwndEMAVariance: 1.8659560000626467e-36
Method 2: time: 1.000232788, rttEMAVariance: 0.34592540399825905, cwndEMAVariance: 0
Method 2: time: 1.002013185, rttEMAVariance: 0.008280917483430201, cwndEMAVariance: 0
Method 2: time: 1.003831091, rttEMAVariance: 125.3159999997529, cwndEMAVariance: 0
Method 2: time: 1.022246221, rttEMAVariance: 431.72323133500635, cwndEMAVariance: 0
Method 2: time: 1.002817244, rttEMAVariance: 57.024215613288504, cwndEMAVariance: 0
Method 2: time: 1.014908652, rttEMAVariance: 0.04042848328215539, cwndEMAVariance: 0
Method 2: time: 1.003056113, rttEMAVariance: 0.02102337621727804, cwndEMAVariance: 0
Method 2: time: 1.002987499, rttEMAVariance: 0.05274078285566913, cwndEMAVariance: 0
Method 2: time: 1.003343697, rttEMAVariance: 19.079118504053223, cwndEMAVariance: 0
Method 2: time: 1.002060375, rttEMAVariance: 0.0665633571930852, cwndEMAVariance: 0
Method 2: time: 1.002695533, rttEMAVariance: 0.8826058324547529, cwndEMAVariance: 0
Method 2: time: 1.002801481, rttEMAVariance: 103.5005533613606, cwndEMAVariance: 0
Method 2: time: 1.002398114, rttEMAVariance: 201.3771076819315, cwndEMAVariance: 0
Method 2: time: 1.003257455, rttEMAVariance: 0.7048966513631689, cwndEMAVariance: 0
Method 2: time: 1.002486886, rttEMAVariance: 3.5308628155007984, cwndEMAVariance: 0
Method 2: time: 1.003915847, rttEMAVariance: 321.16336591635337, cwndEMAVariance: 0
Method 2: time: 1.001879114, rttEMAVariance: 328.0060597342996, cwndEMAVariance: 0
Method 2: time: 1.002334765, rttEMAVariance: 0.03241064882772583, cwndEMAVariance: 0
Method 2: time: 1.003010984, rttEMAVariance: 0.05906820942415293, cwndEMAVariance: 0
Method 2: time: 1.002550793, rttEMAVariance: 0.007225031473166853, cwndEMAVariance: 0
Method 2: time: 1.002759774, rttEMAVariance: 0.15762377716254436, cwndEMAVariance: 0
Method 2: time: 1.003135731, rttEMAVariance: 0.7482173141725632, cwndEMAVariance: 0
Method 2: time: 1.003683042, rttEMAVariance: 105.89777312906014, cwndEMAVariance: 0
Method 2: time: 1.002029932, rttEMAVariance: 36.1174734273382, cwndEMAVariance: 0
Method 2: time: 1.001825245, rttEMAVariance: 40.01143353744171, cwndEMAVariance: 0
Method 2: time: 1.003971808, rttEMAVariance: 17.51217543009456, cwndEMAVariance: 0
Method 2: time: 1.004102516, rttEMAVariance: 0.36858694165558015, cwndEMAVariance: 0
Method 2: time: 1.001423189, rttEMAVariance: 12.167924200620833, cwndEMAVariance: 0
Method 2: time: 1.003094506, rttEMAVariance: 0.03348867736619854, cwndEMAVariance: 0
Method 2: time: 1.002526001, rttEMAVariance: 1.05985056555505, cwndEMAVariance: 0
Method 2: time: 1.003242631, rttEMAVariance: 0.06762248479967561, cwndEMAVariance: 0
Method 2: time: 1.002931399, rttEMAVariance: 0.16564609912610564, cwndEMAVariance: 0
Method 2: time: 1.002829226, rttEMAVariance: 0.016134515773179293, cwndEMAVariance: 0
Method 2: time: 1.00350761, rttEMAVariance: 0.022200788216357716, cwndEMAVariance: 0
Method 2: time: 1.003234115, rttEMAVariance: 343.5527867316863, cwndEMAVariance: 0
Method 2: time: 1.003646737, rttEMAVariance: 3.0884018130223967, cwndEMAVariance: 0
Method 2: time: 1.002609979, rttEMAVariance: 785.8966336641038, cwndEMAVariance: 0
Method 2: time: 1.004037988, rttEMAVariance: 0.09995025877616134, cwndEMAVariance: 0
Method 2: time: 1.00226149, rttEMAVariance: 59.53879595303894, cwndEMAVariance: 0
Method 2: time: 1.005856442, rttEMAVariance: 327.2823896383719, cwndEMAVariance: 0
Method 2: time: 1.003157101, rttEMAVariance: 384.95138052904605, cwndEMAVariance: 0
Method 2: time: 1.002909109, rttEMAVariance: 1.1577243350875603, cwndEMAVariance: 0
Method 2: time: 1.002442136, rttEMAVariance: 0.00360622371177856, cwndEMAVariance: 0
Method 2: time: 1.004117108, rttEMAVariance: 0.027253030017496703, cwndEMAVariance: 0
Method 2: time: 1.00334433, rttEMAVariance: 0.0005821489696888885, cwndEMAVariance: 0
Method 2: time: 1.003095252, rttEMAVariance: 0.02250016206261593, cwndEMAVariance: 0
Method 2: time: 1.003343471, rttEMAVariance: 1.429639357109331, cwndEMAVariance: 0
Method 2: time: 1.001551029, rttEMAVariance: 23.25316110097785, cwndEMAVariance: 0
Method 2: time: 1.004128261, rttEMAVariance: 140.75845848504179, cwndEMAVariance: 0
Method 2: time: 1.005525451, rttEMAVariance: 49.75829219928103, cwndEMAVariance: 0
Method 2: time: 1.000450871, rttEMAVariance: 0.48950996075684655, cwndEMAVariance: 0
Method 2: time: 1.000778466, rttEMAVariance: 486.48887663086873, cwndEMAVariance: 0
Method 2: time: 1.005786267, rttEMAVariance: 55.14975304608195, cwndEMAVariance: 0
Method 2: time: 1.002265205, rttEMAVariance: 400.4511714779942, cwndEMAVariance: 0
Method 2: time: 1.003171615, rttEMAVariance: 0.15947282965856013, cwndEMAVariance: 0
Method 2: time: 1.003282276, rttEMAVariance: 1.1685492970817348, cwndEMAVariance: 0
Method 2: time: 1.002968764, rttEMAVariance: 0.007668097036526362, cwndEMAVariance: 0
Method 2: time: 1.003551719, rttEMAVariance: 1.5129158746851333e-06, cwndEMAVariance: 0
Method 2: time: 1.003446935, rttEMAVariance: 102.63720240474044, cwndEMAVariance: 0
Method 2: time: 1.003249149, rttEMAVariance: 471.5394238167893, cwndEMAVariance: 0
Method 2: time: 1.003333131, rttEMAVariance: 921.8348504426491, cwndEMAVariance: 0
Method 2: time: 1.006011776, rttEMAVariance: 111.84383927969301, cwndEMAVariance: 0
Method 2: time: 1.021104728, rttEMAVariance: 0.0027041013601429133, cwndEMAVariance: 0
Method 2: time: 1.003301097, rttEMAVariance: 161.58641918916751, cwndEMAVariance: 0
Method 2: time: 1.002760102, rttEMAVariance: 185.62949455276458, cwndEMAVariance: 0
Method 2: time: 1.004432042, rttEMAVariance: 2.516292964439894, cwndEMAVariance: 0
Method 2: time: 1.000484298, rttEMAVariance: 0.19404005943411168, cwndEMAVariance: 0
Method 2: time: 1.004314512, rttEMAVariance: 47.7005765723453, cwndEMAVariance: 0
Method 2: time: 1.002989157, rttEMAVariance: 11.616480319197684, cwndEMAVariance: 0
Method 2: time: 1.001931832, rttEMAVariance: 358.960533840769, cwndEMAVariance: 0
Method 2: time: 1.003754874, rttEMAVariance: 203.4292665301536, cwndEMAVariance: 0
