Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1724
3,0,40960,1767
4,0,40960,1800
5,0,40960,2949
6,0,40960,2949
7,200921,40960,76
8,200921,40960,315
9,200927,40960,239
10,200927,40960,442
11,200892,40960,0
12,200892,40960,46
13,200925,40960,0
14,200925,40960,32
15,200925,40960,72
16,200885,40960,0
17,200885,40960,778
18,200885,40960,805
19,200865,40960,0
20,200865,40960,1366
21,200865,40960,1399
22,200865,40960,1493
23,200865,40960,1587
24,200865,40960,1681
25,200865,40960,1775
26,200865,40960,1869
27,200865,40960,1963
28,200865,40960,2057
29,200865,40960,2151
30,200865,40960,2245
31,200865,40960,2339
32,200865,40960,2433
33,200865,40960,2527
34,200865,40960,2621
35,200865,40960,2716
36,200865,40960,2811
37,200865,40960,2906
38,200865,40960,3001
39,200865,40960,3096
40,200865,40960,3191
41,200783,40960,1792
42,200783,40960,1819
43,200783,40960,1914
44,200783,40960,2009
45,200783,40960,2042
46,200783,40960,3408
47,200783,40960,4774
48,200783,40960,6094
49,200783,40960,6118
50,200725,40960,5930
51,200725,40960,6025
52,200725,40960,6120
53,200699,40960,5932
54,200699,40960,5965
55,200699,40960,7331
56,200699,40960,8697
57,200699,40960,10063
58,200699,40960,10449
59,200699,40960,10473
60,200699,40960,10568
61,200699,40960,10663
62,200638,40960,10475
63,200638,40960,10570
64,200638,40960,10665
65,200638,40960,10760
66,200638,40960,10793
67,200638,40960,12159
68,200638,40960,13525
69,200638,40960,14891
70,200638,40960,15320
71,200638,40960,15344
72,200605,40960,15156
73,200605,40960,15251
74,200605,40960,15346
75,200596,40960,15158
76,200596,40960,15191
77,200596,40960,16557
78,200596,40960,17923
79,200596,40960,19289
80,200596,40960,19666
81,200596,40960,19761
82,200596,40960,19856
83,200552,40960,19668
84,200552,40960,19763
85,200552,40960,19858
86,200552,40960,19891
87,200552,40960,21257
88,200552,40960,22623
89,200552,40960,23989
90,200552,40960,24463
91,200518,43692,24274
92,200518,43692,24369
93,200518,43692,24464
94,200484,46424,24274
95,200484,46424,24307
96,200484,46424,25673
97,200484,46424,27039
98,200484,46424,28405
99,200484,46424,28561
100,200484,46424,28656
101,200484,46424,28751
102,200455,49156,28561
103,200424,51888,28439
104,200424,51888,28534
105,200424,51888,28629
106,200437,54620,28439
107,200437,54620,28472
108,200437,54620,29838
109,200437,54620,31204
110,200437,54620,32558
111,200437,54620,32582
112,200475,57352,31183
113,200522,60084,28497
114,200522,60084,28592
115,200522,60084,28687
116,200483,60084,28568
117,200483,60084,28663
118,200483,60084,28758
119,200483,60084,28853
120,200483,60084,28886
121,200483,60084,30252
122,200483,60084,31618
123,200483,60084,32811
124,200483,60084,32835
125,200456,62816,32707
126,200469,65548,29975
127,200480,65548,28223
128,200491,65548,28104
129,200491,65548,28199
130,200491,65548,28294
131,200456,65548,28104
132,200431,65548,27914
