Time (s),Upload (Bps),Download (Bps)
0,1750,1156
1,83573,1757
2,136637,1097
3,103397,902
4,101699,892
5,98144,1026
6,106394,981
7,99407,953
8,83134,982
9,49315,918
10,73785,924
11,35724,911
12,30631,1045
13,20286,914
14,19797,913
15,23810,906
16,25868,912
17,23923,1019
18,25077,939
19,23935,912
20,25491,914
21,23815,909
22,24952,944
23,23614,909
24,26603,912
25,23258,908
26,25763,883
27,27714,940
28,22422,883
29,24996,1037
30,22117,932
31,24993,885
32,22847,971
33,24582,852
34,22850,937
35,22465,910
36,24975,883
37,25315,910
38,22364,912
39,25051,937
40,29150,915
41,25643,909
42,22597,883
43,24703,941
44,22217,883
45,26328,941
46,22572,910
47,25817,912
48,19703,881
49,18339,881
50,22056,910
51,21091,912
52,17039,910
53,28047,913
54,20324,913
55,25884,909
56,26683,918
57,28733,912
58,23724,883
59,23589,909
60,22819,940
61,28248,911
62,15118,940
63,24767,883
64,18508,882
65,24875,908
66,28072,916
67,31031,852
68,22753,939
69,24509,884
70,23647,912
71,26455,941
72,22649,914
73,24653,908
74,24629,912
75,21889,911
76,18521,909
77,17096,910
78,21223,912
79,24905,907
80,17204,914
81,20984,1011
82,22009,911
83,22046,941
84,18243,911
85,20639,910
86,19071,933
87,24217,907
88,25750,911
89,23136,910
90,19996,911
91,19596,908
92,23875,915
93,24513,878
94,27722,913
95,24703,966
96,25620,913
97,27182,882
98,30788,935
99,27737,909
100,28619,939
101,24612,940
102,26193,907
103,27755,883
104,26519,938
105,26721,883
106,22485,913
107,25969,939
108,24582,942
109,24315,909
110,32061,914
111,28719,912
112,22210,885
113,31141,938
114,22159,882
115,23636,943
116,21264,908
117,23348,902
118,19025,1004
119,28547,940
120,21458,994
121,23845,975
122,18878,941
123,26670,973
124,21392,1005
125,26024,939
126,23411,1010
127,26871,977
128,21597,969
129,26479,1009
130,22773,950
131,27168,1010
132,22222,949
133,25382,1010
134,25382,944
135,24863,980
136,20519,1009
137,24666,949
138,19334,970
139,20522,947
140,14552,982
141,27033,1006
142,25693,982
143,26179,1008
144,22809,977
145,31072,979
146,21348,1010
147,26684,1009
148,20727,980
149,22520,1003
150,18399,948
151,24477,981
152,24480,980
153,28690,948
154,23151,979
155,29722,949
156,21675,978
157,29661,948
158,19361,979
159,20042,1037
160,28616,975
161,28859,977
162,21816,977
163,22531,976
164,20574,946
165,23153,947
166,23518,976
167,26064,980
168,28770,977
169,25863,980
170,21701,979
171,25209,933
172,28821,978
173,27089,977
174,22598,1009
175,25688,975
176,23468,949
177,23522,1011
178,30413,947
179,26336,976
180,21971,981
181,22960,978
182,14227,947
183,19124,1079
184,33452,1032
185,24217,1011
186,23162,1012
187,33101,947
188,24886,1010
189,17935,981
190,23975,948
191,22032,1008
192,22515,951
193,27185,1008
194,19998,981
195,22163,1009
196,20249,1010
197,24445,1010
198,25926,980
199,21973,1011
200,29082,947
201,32544,1013
202,24722,977
203,27199,948
204,23574,1009
205,24524,947
206,22370,1009
207,24890,979
208,23667,1012
209,25525,975
210,24042,982
211,24915,1046
212,20450,959
213,20947,980
214,14273,976
215,23717,981
216,15069,1008
217,27450,982
218,26090,978
219,26068,978
220,17571,1009
221,29483,984
222,17496,981
223,20677,979
224,28889,945
225,22127,977
226,19204,979
227,22643,1009
228,17516,978
229,21430,968
230,16210,982
231,22504,980
232,17684,972
233,34550,1009
234,28704,979
235,35002,976
236,28925,977
237,25197,982
238,27677,973
239,30031,982
240,24757,980
241,25749,1011
242,21750,946
243,28430,979
244,24845,980
245,26372,976
246,20727,1043
247,24378,979
248,24325,944
249,24805,1010
250,23123,948
251,25055,979
252,22605,944
253,22523,981
254,22238,974
255,26393,1015
256,23230,977
257,22953,950
258,25610,982
259,21150,977
260,18644,981
261,21209,945
262,33103,980
263,27381,1011
264,22484,947
265,23934,946
266,23643,975
267,25105,1013
268,27094,978
269,28208,983
270,23161,977
271,26084,982
272,23003,977
273,20716,978
274,20527,976
275,22657,1000
276,20580,979
277,18250,947
278,16367,1012
279,20755,974
280,19474,984
281,21183,1039
282,15500,947
283,24558,1011
284,24892,950
285,46991,983
286,25992,974
287,26675,984
288,21057,943
289,58187,1208
290,102786,951
291,16809,1014
292,94599,956
293,76365,1057
294,83879,976
295,115554,994
296,88637,1026
297,54574,987
298,64257,988
299,139152,978
300,64573,1018
301,55002,1014
302,84455,979
303,101671,1083
304,149362,1027
305,164329,1084
306,121168,1019
307,131522,1028
308,115390,993
309,123231,1025
310,138936,989
311,101411,1048
312,192771,1106
313,163250,1041
314,41886,1051
315,131317,1014
316,91745,1020
317,98370,1011
318,115591,997
319,228988,1169
320,122132,1025
321,109718,955
322,87156,996
323,115754,1025
324,95889,959
325,94377,1025
326,70313,1018
327,81159,1028
328,99919,1052
329,53772,946
330,17427,1010
331,61287,1014
332,43097,1002
333,47205,1014
334,125078,1012
335,197484,1135
336,192062,1039
337,205489,1128
338,180038,1311
339,149498,1020
340,165748,1005
341,189442,1023
342,187928,1101
343,126522,1073
344,154697,954
345,61904,1019
346,101339,1010
347,39,224
348,165,0
349,66,0
350,66,0
351,66,0
