Realtime bandwidth: upload: 1750 Bytes/s; download: 1156 Bytes/s
Realtime bandwidth: upload: 83573 Bytes/s; download: 1757 Bytes/s
Realtime bandwidth: upload: 136637 Bytes/s; download: 1097 Bytes/s
Realtime bandwidth: upload: 103397 Bytes/s; download: 902 Bytes/s
Realtime bandwidth: upload: 101699 Bytes/s; download: 892 Bytes/s
Realtime bandwidth: upload: 98144 Bytes/s; download: 1026 Bytes/s
Realtime bandwidth: upload: 106394 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 99407 Bytes/s; download: 953 Bytes/s
Realtime bandwidth: upload: 83134 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 49315 Bytes/s; download: 918 Bytes/s
Realtime bandwidth: upload: 73785 Bytes/s; download: 924 Bytes/s
Realtime bandwidth: upload: 35724 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 30631 Bytes/s; download: 1045 Bytes/s
Realtime bandwidth: upload: 20286 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 19797 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 23810 Bytes/s; download: 906 Bytes/s
Realtime bandwidth: upload: 25868 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 23923 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 25077 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 23935 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 25491 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 23815 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 24952 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 23614 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 26603 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 23258 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 25763 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 27714 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 22422 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 24996 Bytes/s; download: 1037 Bytes/s
Realtime bandwidth: upload: 22117 Bytes/s; download: 932 Bytes/s
Realtime bandwidth: upload: 24993 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 22847 Bytes/s; download: 971 Bytes/s
Realtime bandwidth: upload: 24582 Bytes/s; download: 852 Bytes/s
Realtime bandwidth: upload: 22850 Bytes/s; download: 937 Bytes/s
Realtime bandwidth: upload: 22465 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 24975 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 25315 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 22364 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 25051 Bytes/s; download: 937 Bytes/s
Realtime bandwidth: upload: 29150 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 25643 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 22597 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 24703 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 22217 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 26328 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 22572 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 25817 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 19703 Bytes/s; download: 881 Bytes/s
Realtime bandwidth: upload: 18339 Bytes/s; download: 881 Bytes/s
