Method 1: time: 1.180588404, rttSecondDerivative: 3820.4000000000005, cwndSecondDerivative: 0
Method 1: time: 1.002599978, rttSecondDerivative: 6.824317135135141e+06, cwndSecondDerivative: 6.764701620960708e+07
Method 1: time: 1.004035823, rttSecondDerivative: 3.1516002098837145e+07, cwndSecondDerivative: 9.461788359464787e+07
Method 1: time: 1.007268499, rttSecondDerivative: 5.080188260179303e+07, cwndSecondDerivative: 9.542896802030239e+07
Method 1: time: 1.002954384, rttSecondDerivative: 6.118756196453144e+07, cwndSecondDerivative: 9.579547887280218e+07
Method 1: time: 1.002894173, rttSecondDerivative: 7.569932760883318e+07, cwndSecondDerivative: 9.604038944628142e+07
Method 1: time: 1.002823455, rttSecondDerivative: 9.873563142454205e+07, cwndSecondDerivative: 9.620581503330673e+07
Method 1: time: 1.002262756, rttSecondDerivative: 1.3037749586315078e+08, cwndSecondDerivative: 9.632502694077052e+07
Method 1: time: 1.003079998, rttSecondDerivative: 1.4222047839801356e+08, cwndSecondDerivative: 9.640433458005713e+07
Method 1: time: 1.002766785, rttSecondDerivative: 1.5689889406019405e+08, cwndSecondDerivative: 9.645635461089987e+07
Method 1: time: 1.003474992, rttSecondDerivative: 1.745881878917902e+08, cwndSecondDerivative: 9.650826253493844e+07
Method 1: time: 1.002928522, rttSecondDerivative: 1.9660939743433958e+08, cwndSecondDerivative: 9.654099202479109e+07
Method 1: time: 1.001218961, rttSecondDerivative: 2.0023109095286268e+08, cwndSecondDerivative: 9.65664779728352e+07
Method 1: time: 1.002857911, rttSecondDerivative: 2.273891984188899e+08, cwndSecondDerivative: 9.659264122521982e+07
Method 1: time: 1.002284708, rttSecondDerivative: 2.510671816304117e+08, cwndSecondDerivative: 9.661627828777358e+07
Method 1: time: 1.000766198, rttSecondDerivative: 2.6605160627988297e+08, cwndSecondDerivative: 9.663785544330978e+07
Method 1: time: 1.004706981, rttSecondDerivative: 2.9105997067089224e+08, cwndSecondDerivative: 9.665751186543494e+07
Method 1: time: 1.002924745, rttSecondDerivative: 3.127093249631173e+08, cwndSecondDerivative: 9.66751908487716e+07
Method 1: time: 1.002867424, rttSecondDerivative: 3.36316418546125e+08, cwndSecondDerivative: 9.669099388611811e+07
Method 1: time: 1.003119655, rttSecondDerivative: 3.574875414693852e+08, cwndSecondDerivative: 9.67055315178774e+07
Method 1: time: 1.002937699, rttSecondDerivative: 3.697511516192345e+08, cwndSecondDerivative: 9.67191787020996e+07
Method 1: time: 1.002854082, rttSecondDerivative: 3.88223178537294e+08, cwndSecondDerivative: 9.673137087982264e+07
Method 1: time: 1.002046012, rttSecondDerivative: 4.1731490795691717e+08, cwndSecondDerivative: 9.674270716360018e+07
Method 1: time: 1.001319981, rttSecondDerivative: 4.370243667826328e+08, cwndSecondDerivative: 9.675315285593432e+07
Method 1: time: 1.002967895, rttSecondDerivative: 4.6530281088801455e+08, cwndSecondDerivative: 9.676309051279293e+07
Method 1: time: 1.00189618, rttSecondDerivative: 4.854664375430285e+08, cwndSecondDerivative: 9.677207591831279e+07
Method 1: time: 1.005110051, rttSecondDerivative: 5.101198949269862e+08, cwndSecondDerivative: 9.678052467168155e+07
Method 1: time: 1.002205421, rttSecondDerivative: 5.305717708524195e+08, cwndSecondDerivative: 9.67886213547611e+07
Method 1: time: 1.003651088, rttSecondDerivative: 5.388656992645442e+08, cwndSecondDerivative: 9.679599210824682e+07
Method 1: time: 1.002366035, rttSecondDerivative: 5.656415803569936e+08, cwndSecondDerivative: 9.68030478030312e+07
Method 1: time: 1.003146603, rttSecondDerivative: 5.876378843341082e+08, cwndSecondDerivative: 9.680945946710712e+07
Method 1: time: 1.002723455, rttSecondDerivative: 6.015016796499267e+08, cwndSecondDerivative: 9.681562743514003e+07
Method 1: time: 1.003459009, rttSecondDerivative: 6.318673172696785e+08, cwndSecondDerivative: 9.68213905704595e+07
Method 1: time: 1.003256781, rttSecondDerivative: 6.623789023920277e+08, cwndSecondDerivative: 9.682678628310142e+07
Method 1: time: 1.001855334, rttSecondDerivative: 6.8296458671384e+08, cwndSecondDerivative: 9.683194055815363e+07
Method 1: time: 1.003284963, rttSecondDerivative: 7.083367717791219e+08, cwndSecondDerivative: 9.683692791689947e+07
Method 1: time: 1.001536369, rttSecondDerivative: 7.29421734913279e+08, cwndSecondDerivative: 9.68417259707734e+07
Method 1: time: 1.000779103, rttSecondDerivative: 7.599908520621781e+08, cwndSecondDerivative: 9.684623763551356e+07
Method 1: time: 1.005412004, rttSecondDerivative: 7.846562483397714e+08, cwndSecondDerivative: 9.685046143071523e+07
Method 1: time: 1.00277171, rttSecondDerivative: 8.125568842818929e+08, cwndSecondDerivative: 9.685464104144748e+07
Method 1: time: 1.003035261, rttSecondDerivative: 8.385286012116174e+08, cwndSecondDerivative: 9.685872294540581e+07
Method 1: time: 1.002863754, rttSecondDerivative: 8.545684820175724e+08, cwndSecondDerivative: 9.686244157752669e+07
Method 1: time: 1.004023948, rttSecondDerivative: 8.809131331117854e+08, cwndSecondDerivative: 9.686602315282398e+07
Method 1: time: 1.00266875, rttSecondDerivative: 8.944930598389028e+08, cwndSecondDerivative: 9.68695359674754e+07
Method 1: time: 1.003367051, rttSecondDerivative: 9.143627517723808e+08, cwndSecondDerivative: 9.687278412543371e+07
Method 1: time: 1.003269699, rttSecondDerivative: 9.392295264445531e+08, cwndSecondDerivative: 9.68759968822591e+07
Method 1: time: 1.004613315, rttSecondDerivative: 9.551082066813341e+08, cwndSecondDerivative: 9.687902674661848e+07
Method 1: time: 1.002376011, rttSecondDerivative: 9.813721714587685e+08, cwndSecondDerivative: 9.68819740922396e+07
Method 1: time: 1.004190079, rttSecondDerivative: 1.0001696243563297e+09, cwndSecondDerivative: 9.688469173600179e+07
Method 1: time: 1.001684769, rttSecondDerivative: 1.0176073786737157e+09, cwndSecondDerivative: 9.688732727761741e+07
Method 1: time: 1.003837906, rttSecondDerivative: 1.041554198366644e+09, cwndSecondDerivative: 9.688988423636417e+07
Method 1: time: 1.002213113, rttSecondDerivative: 1.0640660599721725e+09, cwndSecondDerivative: 9.689238088885762e+07
Method 1: time: 1.003415892, rttSecondDerivative: 1.087816279444237e+09, cwndSecondDerivative: 9.689473219729619e+07
Method 1: time: 1.002978808, rttSecondDerivative: 1.115789748007513e+09, cwndSecondDerivative: 9.689715774868664e+07
Method 1: time: 1.002415577, rttSecondDerivative: 1.1346237054020839e+09, cwndSecondDerivative: 9.689937657363571e+07
Method 1: time: 1.002870714, rttSecondDerivative: 1.1589175137181547e+09, cwndSecondDerivative: 9.690156141016077e+07
Method 1: time: 1.004007838, rttSecondDerivative: 1.1815431479387836e+09, cwndSecondDerivative: 9.690371197443049e+07
Method 1: time: 1.003153241, rttSecondDerivative: 1.1950214841709228e+09, cwndSecondDerivative: 9.69057915503731e+07
Method 1: time: 1.001791772, rttSecondDerivative: 1.221944389862614e+09, cwndSecondDerivative: 9.690778002749749e+07
Method 1: time: 1.002245056, rttSecondDerivative: 1.2464005012753391e+09, cwndSecondDerivative: 9.690969427821872e+07
Method 1: time: 1.004924397, rttSecondDerivative: 1.274753630601642e+09, cwndSecondDerivative: 9.69115161364637e+07
Method 1: time: 1.003524486, rttSecondDerivative: 1.3009668865748684e+09, cwndSecondDerivative: 9.69133049996159e+07
Method 1: time: 1.002762742, rttSecondDerivative: 1.324892136545101e+09, cwndSecondDerivative: 9.691503009650707e+07
Method 1: time: 1.002894491, rttSecondDerivative: 1.3405692313751407e+09, cwndSecondDerivative: 9.691679585497732e+07
Method 1: time: 1.002778838, rttSecondDerivative: 1.3661447396672907e+09, cwndSecondDerivative: 9.691840993907411e+07
Method 1: time: 1.003182249, rttSecondDerivative: 1.3905037655920122e+09, cwndSecondDerivative: 9.692004531100711e+07
Method 1: time: 1.003902537, rttSecondDerivative: 1.409126598327676e+09, cwndSecondDerivative: 9.69216147975144e+07
Method 1: time: 1.00221793, rttSecondDerivative: 1.4254738583890042e+09, cwndSecondDerivative: 9.69231039661887e+07
Method 1: time: 1.005004054, rttSecondDerivative: 1.441881214336594e+09, cwndSecondDerivative: 9.692456142843623e+07
Method 1: time: 1.000921963, rttSecondDerivative: 1.46491959714704e+09, cwndSecondDerivative: 9.692597957755908e+07
Method 1: time: 1.004065124, rttSecondDerivative: 1.4964608197819164e+09, cwndSecondDerivative: 9.692736828751642e+07
Method 1: time: 1.002570656, rttSecondDerivative: 1.5245272971099298e+09, cwndSecondDerivative: 9.692875263898237e+07
Method 1: time: 1.002822944, rttSecondDerivative: 1.5502158106818979e+09, cwndSecondDerivative: 9.693006856399071e+07
Method 1: time: 1.006088517, rttSecondDerivative: 1.5694646877497787e+09, cwndSecondDerivative: 9.693133528373668e+07
Method 1: time: 1.00215468, rttSecondDerivative: 1.5748851159117002e+09, cwndSecondDerivative: 9.69325477528024e+07
Method 1: time: 1.00175453, rttSecondDerivative: 1.6030657671913285e+09, cwndSecondDerivative: 9.693376720218368e+07
Method 1: time: 1.002289351, rttSecondDerivative: 1.6255397270244193e+09, cwndSecondDerivative: 9.693493506280813e+07
Method 1: time: 1.003873356, rttSecondDerivative: 1.6494163872812884e+09, cwndSecondDerivative: 9.693608873449983e+07
Method 1: time: 1.002507993, rttSecondDerivative: 1.67216772014339e+09, cwndSecondDerivative: 9.693721465770403e+07
Method 1: time: 1.002484156, rttSecondDerivative: 1.7001701184471092e+09, cwndSecondDerivative: 9.693831382193272e+07
Method 1: time: 1.003845241, rttSecondDerivative: 1.728954646462474e+09, cwndSecondDerivative: 9.693939363712676e+07
Method 1: time: 1.003209333, rttSecondDerivative: 1.7576111063970163e+09, cwndSecondDerivative: 9.694047349583936e+07
Method 1: time: 1.00328884, rttSecondDerivative: 1.7802946497877395e+09, cwndSecondDerivative: 9.694150317082305e+07
Method 1: time: 1.00350296, rttSecondDerivative: 1.809026967797413e+09, cwndSecondDerivative: 9.694253346264884e+07
Method 1: time: 1.002701342, rttSecondDerivative: 1.8285908904844291e+09, cwndSecondDerivative: 9.694351052008283e+07
Method 1: time: 1.003630322, rttSecondDerivative: 1.851628306254611e+09, cwndSecondDerivative: 9.69444659193041e+07
Method 1: time: 1.005358549, rttSecondDerivative: 1.8739230714085538e+09, cwndSecondDerivative: 9.694541164197905e+07
Method 1: time: 1.00122782, rttSecondDerivative: 1.8960816326670887e+09, cwndSecondDerivative: 9.694633661120614e+07
Method 1: time: 1.001361756, rttSecondDerivative: 1.9246401533550396e+09, cwndSecondDerivative: 9.694722532361718e+07
Method 1: time: 1.003479139, rttSecondDerivative: 1.95145177218881e+09, cwndSecondDerivative: 9.694810057029152e+07
Method 1: time: 1.002212161, rttSecondDerivative: 1.9756397333792593e+09, cwndSecondDerivative: 9.694895226791188e+07
Method 1: time: 1.004278453, rttSecondDerivative: 2.0013834392343132e+09, cwndSecondDerivative: 9.694979649965486e+07
Method 1: time: 1.002569125, rttSecondDerivative: 2.0281231107717378e+09, cwndSecondDerivative: 9.695064309406592e+07
Method 1: time: 1.003639747, rttSecondDerivative: 2.0553097997841945e+09, cwndSecondDerivative: 9.695146223226008e+07
Method 1: time: 1.002398972, rttSecondDerivative: 2.077204315981544e+09, cwndSecondDerivative: 9.695225030407892e+07
Method 1: time: 1.004175117, rttSecondDerivative: 2.104042539576584e+09, cwndSecondDerivative: 9.6953064600406e+07
Method 1: time: 1.002861893, rttSecondDerivative: 2.1313395349581685e+09, cwndSecondDerivative: 9.695383001377068e+07
Method 1: time: 1.003276752, rttSecondDerivative: 2.1540490082082863e+09, cwndSecondDerivative: 9.695455343138008e+07
Method 1: time: 1.003919706, rttSecondDerivative: 2.17521479673637e+09, cwndSecondDerivative: 9.695528075801383e+07
Method 1: time: 1.00187296, rttSecondDerivative: 2.194888170213246e+09, cwndSecondDerivative: 9.695598983417346e+07
Method 1: time: 1.003081612, rttSecondDerivative: 2.2270243816878695e+09, cwndSecondDerivative: 9.695668975533791e+07
Method 1: time: 1.002995208, rttSecondDerivative: 2.2491322426023636e+09, cwndSecondDerivative: 9.695738065906206e+07
Method 1: time: 1.002714644, rttSecondDerivative: 2.2725322267200623e+09, cwndSecondDerivative: 9.695804639835942e+07
Method 1: time: 1.00352127, rttSecondDerivative: 2.2960293378732786e+09, cwndSecondDerivative: 9.695871598173548e+07
Method 1: time: 1.003599833, rttSecondDerivative: 2.31976070921495e+09, cwndSecondDerivative: 9.695937316913189e+07
Method 1: time: 1.003265612, rttSecondDerivative: 2.3419166996597304e+09, cwndSecondDerivative: 9.696001445014724e+07
Method 1: time: 1.003837316, rttSecondDerivative: 2.366588684305024e+09, cwndSecondDerivative: 9.696063279644324e+07
Method 1: time: 1.002973382, rttSecondDerivative: 2.392551511949141e+09, cwndSecondDerivative: 9.69612477003338e+07
Method 1: time: 1.00288144, rttSecondDerivative: 2.4199865015058e+09, cwndSecondDerivative: 9.69618554043167e+07
Method 1: time: 1.002322392, rttSecondDerivative: 2.4340926812843843e+09, cwndSecondDerivative: 9.69624488283367e+07
Method 1: time: 1.003487411, rttSecondDerivative: 2.458657058832319e+09, cwndSecondDerivative: 9.696304958278215e+07
Method 1: time: 1.003064121, rttSecondDerivative: 2.4798782902606306e+09, cwndSecondDerivative: 9.696363624012958e+07
Method 1: time: 1.003280417, rttSecondDerivative: 2.505045246234115e+09, cwndSecondDerivative: 9.696418884506866e+07
Method 1: time: 1.004137017, rttSecondDerivative: 2.53070003312121e+09, cwndSecondDerivative: 9.696477242738135e+07
Method 1: time: 1.001333767, rttSecondDerivative: 2.5580703578732986e+09, cwndSecondDerivative: 9.696530297954197e+07
Method 1: time: 1.003416064, rttSecondDerivative: 2.5864915676110306e+09, cwndSecondDerivative: 9.696585080841056e+07
Method 1: time: 1.003808163, rttSecondDerivative: 2.6079674715204496e+09, cwndSecondDerivative: 9.696637349848932e+07
Method 1: time: 1.002504957, rttSecondDerivative: 2.6244153880422397e+09, cwndSecondDerivative: 9.696690647029866e+07
Method 1: time: 1.002893602, rttSecondDerivative: 2.6588274123475e+09, cwndSecondDerivative: 9.696740593658769e+07
Method 1: time: 1.002232976, rttSecondDerivative: 2.681981804541045e+09, cwndSecondDerivative: 9.696792477210125e+07
Method 1: time: 1.002898347, rttSecondDerivative: 2.7014252635304966e+09, cwndSecondDerivative: 9.696840823573703e+07
Method 1: time: 1.003025257, rttSecondDerivative: 2.7274213468538833e+09, cwndSecondDerivative: 9.6968904718094e+07
Method 1: time: 1.003194788, rttSecondDerivative: 2.742635507522668e+09, cwndSecondDerivative: 9.696937879781398e+07
Method 1: time: 1.002010756, rttSecondDerivative: 2.768597496094632e+09, cwndSecondDerivative: 9.696985974594466e+07
