Method 2: time: 1.18075843, rttEMAVariance: 1.5824922129961894, cwndEMAVariance: 0
Method 2: time: 1.002641671, rttEMAVariance: 111.10275000181154, cwndEMAVariance: 1.8659560005602364e-25
Method 2: time: 1.00408781, rttEMAVariance: 235.76256009472243, cwndEMAVariance: 1.6793603999992677e-216
Method 2: time: 1.00728672, rttEMAVariance: 0.005382394637739126, cwndEMAVariance: 0
Method 2: time: 1.00301556, rttEMAVariance: 1.5876004061558685e-05, cwndEMAVariance: 0
Method 2: time: 1.002917661, rttEMAVariance: 3.92039997066741e-05, cwndEMAVariance: 0
Method 2: time: 1.002879165, rttEMAVariance: 0.00026243997406365325, cwndEMAVariance: 0
Method 2: time: 1.002334629, rttEMAVariance: 0.00016810000419036696, cwndEMAVariance: 0
Method 2: time: 1.003112776, rttEMAVariance: 6.708099227351725e-05, cwndEMAVariance: 0
Method 2: time: 1.002797819, rttEMAVariance: 47.48179301228171, cwndEMAVariance: 0
Method 2: time: 1.003505081, rttEMAVariance: 228.1515285046865, cwndEMAVariance: 0
Method 2: time: 1.002957431, rttEMAVariance: 417.04961496383567, cwndEMAVariance: 0
Method 2: time: 1.001248367, rttEMAVariance: 8.579238632348012, cwndEMAVariance: 0
Method 2: time: 1.00291559, rttEMAVariance: 34.18839969873483, cwndEMAVariance: 0
Method 2: time: 1.002325835, rttEMAVariance: 13.138078461955258, cwndEMAVariance: 0
Method 2: time: 1.000796338, rttEMAVariance: 56.07778472626281, cwndEMAVariance: 0
Method 2: time: 1.004765651, rttEMAVariance: 226.27624384792495, cwndEMAVariance: 0
Method 2: time: 1.002958049, rttEMAVariance: 0.3250106702717131, cwndEMAVariance: 0
Method 2: time: 1.002902843, rttEMAVariance: 0.6838920863817747, cwndEMAVariance: 0
Method 2: time: 1.003179674, rttEMAVariance: 0.35647816519335274, cwndEMAVariance: 0
Method 2: time: 1.00304063, rttEMAVariance: 0.009215906987213158, cwndEMAVariance: 0
Method 2: time: 1.002909207, rttEMAVariance: 103.32361645965086, cwndEMAVariance: 0
Method 2: time: 1.002082931, rttEMAVariance: 630.472544994149, cwndEMAVariance: 0
Method 2: time: 1.001385081, rttEMAVariance: 1896.8365108097985, cwndEMAVariance: 0
Method 2: time: 1.003008649, rttEMAVariance: 599.1778277386593, cwndEMAVariance: 0
Method 2: time: 1.0019443, rttEMAVariance: 381.7859435671828, cwndEMAVariance: 0
Method 2: time: 1.005152503, rttEMAVariance: 30.99399923470515, cwndEMAVariance: 0
Method 2: time: 1.00228886, rttEMAVariance: 0.42353597132009696, cwndEMAVariance: 0
Method 2: time: 1.003732428, rttEMAVariance: 0.12958576080802922, cwndEMAVariance: 0
Method 2: time: 1.00241699, rttEMAVariance: 99.42422189438489, cwndEMAVariance: 0
Method 2: time: 1.003243034, rttEMAVariance: 0.0713137621952808, cwndEMAVariance: 0
Method 2: time: 1.002776381, rttEMAVariance: 1.2184521983234711e-05, cwndEMAVariance: 0
Method 2: time: 1.003542325, rttEMAVariance: 136.31167432150394, cwndEMAVariance: 0
Method 2: time: 1.00338835, rttEMAVariance: 0.006068418873586073, cwndEMAVariance: 0
Method 2: time: 1.001904561, rttEMAVariance: 408.042792494545, cwndEMAVariance: 0
Method 2: time: 1.003376945, rttEMAVariance: 1064.6152140507334, cwndEMAVariance: 0
Method 2: time: 1.00160966, rttEMAVariance: 527.571560761221, cwndEMAVariance: 0
Method 2: time: 1.000828588, rttEMAVariance: 46.61811087750028, cwndEMAVariance: 0
Method 2: time: 1.005465526, rttEMAVariance: 329.45574429656415, cwndEMAVariance: 0
Method 2: time: 1.002820496, rttEMAVariance: 773.6376229639508, cwndEMAVariance: 0
Method 2: time: 1.003091587, rttEMAVariance: 0.015227471004188167, cwndEMAVariance: 0
Method 2: time: 1.002940011, rttEMAVariance: 211.31032771451027, cwndEMAVariance: 0
Method 2: time: 1.004106145, rttEMAVariance: 0.0005376903512914012, cwndEMAVariance: 0
Method 2: time: 1.002720004, rttEMAVariance: 13.552110000437239, cwndEMAVariance: 0
Method 2: time: 1.003425755, rttEMAVariance: 0.776083464358383, cwndEMAVariance: 0
Method 2: time: 1.003333677, rttEMAVariance: 0.003271839669982378, cwndEMAVariance: 0
Method 2: time: 1.004755094, rttEMAVariance: 14.740605887443657, cwndEMAVariance: 0
Method 2: time: 1.002431806, rttEMAVariance: 675.4169796038196, cwndEMAVariance: 0
Method 2: time: 1.004247397, rttEMAVariance: 528.9997456987769, cwndEMAVariance: 0
Method 2: time: 1.001747376, rttEMAVariance: 0.025593476451352168, cwndEMAVariance: 0
