Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1724
3,0,40960,1767
4,0,40960,1800
5,0,40960,2949
6,0,40960,2949
7,200972,40960,76
8,200972,40960,320
9,200972,40960,244
10,200972,40960,447
11,200933,40960,0
12,200933,40960,46
13,200980,40960,0
14,200980,40960,40
15,200980,40960,67
16,200920,40960,0
17,200920,40960,783
18,200920,40960,810
19,200868,40960,0
20,200868,40960,1366
21,200868,40960,1393
22,200868,40960,1487
23,200868,40960,1581
24,200868,40960,1675
25,200868,40960,1769
26,200868,40960,1863
27,200868,40960,1957
28,200868,40960,2051
29,200868,40960,2145
30,200868,40960,2239
31,200868,40960,2333
32,200868,40960,2427
33,200868,40960,2521
34,200868,40960,2615
35,200868,40960,2710
36,200868,40960,2805
37,200868,40960,2900
38,200868,40960,2995
39,200868,40960,3090
40,200868,40960,3185
41,200783,40960,1792
42,200783,40960,1825
43,200783,40960,1920
44,200783,40960,2014
45,200760,40960,1826
46,200760,40960,1858
47,200760,40960,3224
48,200760,40960,4590
49,200760,40960,5941
50,200760,40960,5965
51,200760,40960,6060
52,200760,40960,6153
53,200838,40960,5965
54,200838,40960,6060
55,200838,40960,6156
56,200838,40960,6250
57,200775,40960,6062
58,200775,40960,6094
59,200775,40960,7460
60,200775,40960,8826
61,200775,40960,10192
62,200775,40960,10401
63,200775,40960,10425
64,200775,40960,10518
65,200775,40960,10611
66,200746,40960,10423
67,200746,40960,10518
68,200746,40960,10550
69,200746,40960,11916
70,200746,40960,13282
71,200746,40960,14614
72,200746,40960,14638
73,200746,40960,14735
74,200733,40960,14547
75,200733,40960,14642
76,200733,40960,14737
77,200703,40960,14549
78,200703,40960,14581
79,200703,40960,15947
80,200703,40960,17313
81,200703,40960,18566
82,200703,40960,18590
83,200703,40960,18686
84,200703,40960,18785
85,200666,40960,18596
86,200666,40960,18691
87,200666,40960,18786
88,200666,40960,18818
89,200666,40960,20184
90,200666,40960,21550
91,200666,40960,22733
92,200666,40960,22757
93,200611,43692,22567
94,200611,43692,22662
95,200611,43692,22757
96,200566,46424,22567
97,200566,46424,22599
98,200566,46424,23965
99,200566,46424,25331
100,200566,46424,26373
101,200566,46424,26468
102,200566,46424,26563
103,200529,49156,26435
104,200495,51888,26246
105,200495,51888,26341
106,200495,51888,26436
107,200495,51888,26531
108,200495,51888,26564
109,200495,51888,27930
110,200495,51888,29296
111,200495,51888,30135
112,200495,51888,30159
113,200496,54620,28761
114,200505,57352,26044
115,200494,57352,25925
116,200494,57352,26020
117,200494,57352,26115
118,200482,57352,25927
119,200449,57352,25737
120,200449,57352,25770
121,200449,57352,27136
122,200449,57352,28502
123,200449,57352,29399
124,200449,57352,29423
125,200449,57352,29516
126,200449,57352,29611
127,200456,60084,28213
128,200468,60084,25481
129,200460,60084,25248
130,200436,60084,25062
131,200436,60084,25165
132,200436,60084,25259
