Time (s),Upload (Bps),Download (Bps)
0,1755,1194
1,74395,1758
2,101225,1158
3,100826,987
4,99472,917
5,106719,924
6,99255,957
7,86183,943
8,49294,923
9,73877,919
10,34965,1039
11,56441,1261
12,21170,734
13,19798,1025
14,23397,908
15,26110,913
16,23682,938
17,25078,884
18,23090,941
19,26768,908
20,19285,970
21,113198,1049
22,107938,957
23,115747,919
24,111472,928
25,119701,915
26,121828,956
27,112483,1071
28,102242,957
29,99051,925
30,92581,896
31,85124,923
32,75674,892
33,72077,1013
34,58322,895
35,74977,921
36,98582,893
37,95463,928
38,77705,985
39,125361,891
40,194370,1007
41,146605,915
42,75824,929
43,69543,919
44,78923,927
45,82013,952
46,117363,929
47,68532,951
48,34245,912
49,51130,885
50,46883,946
51,32335,886
52,72757,1067
53,50428,924
54,71967,920
55,59697,980
56,92007,953
57,105522,923
58,113388,956
59,92341,1019
60,151307,965
61,24395,914
62,50124,941
63,35794,914
64,56170,910
65,118101,975
66,160754,946
67,145526,957
68,196061,969
69,192238,941
70,192486,965
71,142718,972
72,131576,921
73,103444,925
74,67330,923
75,35124,945
76,28486,940
77,50456,917
78,64959,922
79,30403,942
80,43763,912
81,52469,944
82,54921,945
83,30995,912
84,41319,973
85,31192,980
86,58421,1005
87,67584,1016
88,50839,1012
89,30268,942
90,34846,1004
91,49239,978
92,57000,1002
93,66150,983
94,46863,1034
95,68299,983
96,88344,958
97,84689,1019
98,72349,954
99,83808,1018
100,65170,954
101,71269,984
102,82577,977
103,98616,990
104,86859,1016
105,57246,992
106,74732,1036
107,92797,979
108,88362,987
109,131443,1013
110,191776,1143
111,115698,916
112,123444,1079
113,87999,956
114,97588,1024
115,49053,979
116,51921,977
117,46593,979
118,102776,1010
119,68584,980
120,53989,940
121,41154,1014
122,70896,1010
123,57142,951
124,80347,1008
125,63222,986
126,92137,1076
127,68071,959
128,67257,1016
129,79879,959
130,90768,1026
131,91065,996
132,70102,1023
133,100844,960
134,117714,992
135,46783,1012
136,53754,983
137,40614,954
138,39749,1005
139,19626,983
140,70362,1078
141,62264,919
142,92732,1053
143,92692,1021
144,125234,991
145,56760,987
146,74650,989
147,42217,1045
148,37107,915
149,39085,1015
150,52728,948
151,63151,992
152,94834,985
153,77786,994
154,95483,1051
155,74448,999
156,87716,988
157,42797,952
158,49061,1017
159,72763,983
160,102337,1025
161,46461,986
162,49014,1013
163,47842,948
164,58988,989
165,56455,1006
166,80604,987
167,125552,1026
168,111361,987
169,68851,1027
170,76605,990
171,104923,1060
172,120568,1024
173,109528,985
174,121077,1057
175,123465,956
176,62731,1012
177,144922,1015
178,152789,1021
179,109661,954
180,58385,1057
181,19853,946
182,34042,979
183,154654,1067
184,124465,957
185,102603,1019
186,152289,1017
187,124928,1089
188,40329,1012
189,79247,988
190,58127,1049
191,65334,989
192,92183,961
193,49600,1045
194,55582,987
195,43662,1010
196,58873,977
197,113517,987
198,74825,1025
199,93710,987
200,164614,1081
201,163094,988
202,167214,1076
203,204907,1148
204,166654,1074
205,70714,1024
206,76998,983
207,72651,1024
208,89614,993
209,94402,959
210,77471,994
211,49688,949
212,39546,1050
213,20751,978
214,47961,1006
215,22729,976
216,78215,983
217,111029,1089
218,99704,988
219,41852,982
220,100670,986
221,23092,1012
222,39309,975
223,79860,1043
224,69044,1014
225,41865,959
226,60295,1014
227,37814,947
228,49206,1038
229,29403,978
230,50508,982
231,37813,944
232,97295,990
233,104820,1052
234,132743,988
235,148434,1022
236,111519,958
237,124242,1024
238,133936,1018
239,121915,989
240,95488,1015
241,48980,1052
242,82060,1012
243,131374,989
244,115044,1210
245,62270,990
246,61291,1021
247,54210,968
248,89457,1021
249,86620,985
250,79099,1026
251,83303,1018
252,72141,954
253,62143,1047
254,85977,956
255,57427,1081
256,53744,982
257,82900,1020
258,52398,1014
259,49259,985
260,51451,1019
261,135235,1042
262,146386,992
263,136842,989
264,111211,1023
265,70324,954
266,63996,1047
267,87269,975
268,99839,1056
269,96484,995
270,98180,1042
271,84644,1024
272,59767,950
273,63544,1029
274,72694,1004
275,57383,1027
276,35448,978
277,25560,974
278,42175,982
279,37378,945
280,43782,979
281,21422,979
282,49788,1009
283,84769,1165
284,172003,1049
285,130481,993
286,96697,1017
287,48719,982
288,136394,1049
289,99390,996
290,20421,951
291,92903,1021
292,76378,1020
293,84553,1031
294,113031,1045
295,88532,925
296,54632,1020
297,64218,986
298,143336,1023
299,61547,1017
300,55071,987
301,86422,1015
302,100208,958
303,152722,1054
304,164145,1040
305,120357,1026
306,127646,959
307,115281,1029
308,123308,1083
309,138848,990
310,101304,1023
311,196606,1140
312,159423,1086
313,41662,1015
314,134310,1044
315,93979,981
316,97240,1027
317,119837,956
318,232098,1204
319,111314,989
320,113091,957
321,88164,1027
322,112538,1019
323,95321,1029
324,94781,955
325,71325,1083
326,79943,956
327,99321,1018
328,53018,1021
329,17327,948
330,62243,1077
331,42388,950
332,47145,980
333,130772,1010
334,196737,1079
335,192302,1070
336,206837,1108
337,168328,1116
338,149475,983
339,165699,989
340,189638,1013
341,195748,1108
342,118683,1048
343,154730,1022
344,61930,1020
345,101261,1008
346,39,254
347,165,0
