Realtime bandwidth: upload: 1755 Bytes/s; download: 1194 Bytes/s
Realtime bandwidth: upload: 74395 Bytes/s; download: 1758 Bytes/s
Realtime bandwidth: upload: 101225 Bytes/s; download: 1158 Bytes/s
Realtime bandwidth: upload: 100826 Bytes/s; download: 987 Bytes/s
Realtime bandwidth: upload: 99472 Bytes/s; download: 917 Bytes/s
Realtime bandwidth: upload: 106719 Bytes/s; download: 924 Bytes/s
Realtime bandwidth: upload: 99255 Bytes/s; download: 957 Bytes/s
Realtime bandwidth: upload: 86183 Bytes/s; download: 943 Bytes/s
Realtime bandwidth: upload: 49294 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 73877 Bytes/s; download: 919 Bytes/s
Realtime bandwidth: upload: 34965 Bytes/s; download: 1039 Bytes/s
Realtime bandwidth: upload: 56441 Bytes/s; download: 1261 Bytes/s
Realtime bandwidth: upload: 21170 Bytes/s; download: 734 Bytes/s
Realtime bandwidth: upload: 19798 Bytes/s; download: 1025 Bytes/s
Realtime bandwidth: upload: 23397 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 26110 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 23682 Bytes/s; download: 938 Bytes/s
Realtime bandwidth: upload: 25078 Bytes/s; download: 884 Bytes/s
Realtime bandwidth: upload: 23090 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 26768 Bytes/s; download: 908 Bytes/s
Realtime bandwidth: upload: 19285 Bytes/s; download: 970 Bytes/s
Realtime bandwidth: upload: 113198 Bytes/s; download: 1049 Bytes/s
Realtime bandwidth: upload: 107938 Bytes/s; download: 957 Bytes/s
Realtime bandwidth: upload: 115747 Bytes/s; download: 919 Bytes/s
Realtime bandwidth: upload: 111472 Bytes/s; download: 928 Bytes/s
Realtime bandwidth: upload: 119701 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 121828 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 112483 Bytes/s; download: 1071 Bytes/s
Realtime bandwidth: upload: 102242 Bytes/s; download: 957 Bytes/s
Realtime bandwidth: upload: 99051 Bytes/s; download: 925 Bytes/s
Realtime bandwidth: upload: 92581 Bytes/s; download: 896 Bytes/s
Realtime bandwidth: upload: 85124 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 75674 Bytes/s; download: 892 Bytes/s
Realtime bandwidth: upload: 72077 Bytes/s; download: 1013 Bytes/s
Realtime bandwidth: upload: 58322 Bytes/s; download: 895 Bytes/s
Realtime bandwidth: upload: 74977 Bytes/s; download: 921 Bytes/s
Realtime bandwidth: upload: 98582 Bytes/s; download: 893 Bytes/s
Realtime bandwidth: upload: 95463 Bytes/s; download: 928 Bytes/s
Realtime bandwidth: upload: 77705 Bytes/s; download: 985 Bytes/s
Realtime bandwidth: upload: 125361 Bytes/s; download: 891 Bytes/s
Realtime bandwidth: upload: 194370 Bytes/s; download: 1007 Bytes/s
Realtime bandwidth: upload: 146605 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 75824 Bytes/s; download: 929 Bytes/s
Realtime bandwidth: upload: 69543 Bytes/s; download: 919 Bytes/s
Realtime bandwidth: upload: 78923 Bytes/s; download: 927 Bytes/s
Realtime bandwidth: upload: 82013 Bytes/s; download: 952 Bytes/s
Realtime bandwidth: upload: 117363 Bytes/s; download: 929 Bytes/s
Realtime bandwidth: upload: 68532 Bytes/s; download: 951 Bytes/s
Realtime bandwidth: upload: 34245 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 51130 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 46883 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 32335 Bytes/s; download: 886 Bytes/s
Realtime bandwidth: upload: 72757 Bytes/s; download: 1067 Bytes/s
Realtime bandwidth: upload: 50428 Bytes/s; download: 924 Bytes/s
Realtime bandwidth: upload: 71967 Bytes/s; download: 920 Bytes/s
Realtime bandwidth: upload: 59697 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 92007 Bytes/s; download: 953 Bytes/s
Realtime bandwidth: upload: 105522 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 113388 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 92341 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 151307 Bytes/s; download: 965 Bytes/s
Realtime bandwidth: upload: 24395 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 50124 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 35794 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 56170 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 118101 Bytes/s; download: 975 Bytes/s
Realtime bandwidth: upload: 160754 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 145526 Bytes/s; download: 957 Bytes/s
Realtime bandwidth: upload: 196061 Bytes/s; download: 969 Bytes/s
Realtime bandwidth: upload: 192238 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 192486 Bytes/s; download: 965 Bytes/s
Realtime bandwidth: upload: 142718 Bytes/s; download: 972 Bytes/s
Realtime bandwidth: upload: 131576 Bytes/s; download: 921 Bytes/s
Realtime bandwidth: upload: 103444 Bytes/s; download: 925 Bytes/s
Realtime bandwidth: upload: 67330 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 35124 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 28486 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 50456 Bytes/s; download: 917 Bytes/s
Realtime bandwidth: upload: 64959 Bytes/s; download: 922 Bytes/s
Realtime bandwidth: upload: 30403 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 43763 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 52469 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 54921 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 30995 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 41319 Bytes/s; download: 973 Bytes/s
Realtime bandwidth: upload: 31192 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 58421 Bytes/s; download: 1005 Bytes/s
Realtime bandwidth: upload: 67584 Bytes/s; download: 1016 Bytes/s
Realtime bandwidth: upload: 50839 Bytes/s; download: 1012 Bytes/s
Realtime bandwidth: upload: 30268 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 34846 Bytes/s; download: 1004 Bytes/s
Realtime bandwidth: upload: 49239 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 57000 Bytes/s; download: 1002 Bytes/s
Realtime bandwidth: upload: 66150 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 46863 Bytes/s; download: 1034 Bytes/s
Realtime bandwidth: upload: 68299 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 88344 Bytes/s; download: 958 Bytes/s
Realtime bandwidth: upload: 84689 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 72349 Bytes/s; download: 954 Bytes/s
Realtime bandwidth: upload: 83808 Bytes/s; download: 1018 Bytes/s
Realtime bandwidth: upload: 65170 Bytes/s; download: 954 Bytes/s
Realtime bandwidth: upload: 71269 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 82577 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 98616 Bytes/s; download: 990 Bytes/s
Realtime bandwidth: upload: 86859 Bytes/s; download: 1016 Bytes/s
Realtime bandwidth: upload: 57246 Bytes/s; download: 992 Bytes/s
