Method 1: time: 1.168213749, rttSecondDerivative: 7059.599999999999, cwndSecondDerivative: 0
Method 1: time: 1.00108598, rttSecondDerivative: 5.47076855813954e+06, cwndSecondDerivative: 5.059934738738749e+07
Method 1: time: 1.002359734, rttSecondDerivative: 2.5079044283924773e+07, cwndSecondDerivative: 5.149424253497858e+07
Method 1: time: 1.0010484, rttSecondDerivative: 4.7746863431944415e+07, cwndSecondDerivative: 8.777001876203494e+07
Method 1: time: 1.005441518, rttSecondDerivative: 6.818532067625952e+07, cwndSecondDerivative: 8.810174545306219e+07
Method 1: time: 1.004434394, rttSecondDerivative: 8.412624577967447e+07, cwndSecondDerivative: 8.829978764753668e+07
Method 1: time: 1.004499268, rttSecondDerivative: 1.0975954003225897e+08, cwndSecondDerivative: 8.843011308629048e+07
Method 1: time: 1.000967063, rttSecondDerivative: 1.2684368781373994e+08, cwndSecondDerivative: 8.851342707478954e+07
Method 1: time: 1.000414486, rttSecondDerivative: 1.5219227345979863e+08, cwndSecondDerivative: 8.856587999161932e+07
Method 1: time: 1.002697426, rttSecondDerivative: 1.6994199969379026e+08, cwndSecondDerivative: 8.861701296202578e+07
Method 1: time: 1.003627491, rttSecondDerivative: 1.9193294255894917e+08, cwndSecondDerivative: 8.864828184588894e+07
Method 1: time: 1.002384297, rttSecondDerivative: 2.0895873274271688e+08, cwndSecondDerivative: 8.867813940136598e+07
Method 1: time: 1.002677693, rttSecondDerivative: 2.2255335693805376e+08, cwndSecondDerivative: 8.87008519666527e+07
Method 1: time: 1.003177971, rttSecondDerivative: 2.4613010920408037e+08, cwndSecondDerivative: 8.872193481070325e+07
Method 1: time: 1.003514843, rttSecondDerivative: 2.5946511031456643e+08, cwndSecondDerivative: 8.874075404238087e+07
Method 1: time: 1.002879423, rttSecondDerivative: 2.832504552367563e+08, cwndSecondDerivative: 8.87575601375414e+07
Method 1: time: 1.001642958, rttSecondDerivative: 3.024515759272668e+08, cwndSecondDerivative: 8.877240354265898e+07
Method 1: time: 1.004003175, rttSecondDerivative: 3.2654422122835845e+08, cwndSecondDerivative: 8.8785835733779e+07
Method 1: time: 1.002602454, rttSecondDerivative: 3.569357427891994e+08, cwndSecondDerivative: 8.879804883169651e+07
Method 1: time: 1.002403153, rttSecondDerivative: 3.6813956709866554e+08, cwndSecondDerivative: 8.880958893615176e+07
Method 1: time: 1.00287625, rttSecondDerivative: 3.985024669642045e+08, cwndSecondDerivative: 8.881835247415008e+07
Method 1: time: 1.002302511, rttSecondDerivative: 4.135476325706225e+08, cwndSecondDerivative: 8.883323571990103e+07
Method 1: time: 1.002167895, rttSecondDerivative: 4.3558225287093943e+08, cwndSecondDerivative: 8.884668302878997e+07
Method 1: time: 1.007367573, rttSecondDerivative: 4.495447407057879e+08, cwndSecondDerivative: 8.885879872323936e+07
Method 1: time: 1.008222984, rttSecondDerivative: 4.670643920516402e+08, cwndSecondDerivative: 8.886954559113796e+07
Method 1: time: 1.003689629, rttSecondDerivative: 4.84783315033784e+08, cwndSecondDerivative: 8.887917611138469e+07
Method 1: time: 1.008897378, rttSecondDerivative: 4.952275848692944e+08, cwndSecondDerivative: 9.094810909933114e+07
Method 1: time: 1.008051094, rttSecondDerivative: 5.2156763599729556e+08, cwndSecondDerivative: 1.0959495285795431e+08
Method 1: time: 1.003033664, rttSecondDerivative: 5.401502620528449e+08, cwndSecondDerivative: 1.0960483930553243e+08
Method 1: time: 1.003792561, rttSecondDerivative: 5.580619730743537e+08, cwndSecondDerivative: 1.0961331310886541e+08
