Method 2: time: 1.1682313, rttEMAVariance: 3.5606502602369954, cwndEMAVariance: 0
Method 2: time: 1.00109944, rttEMAVariance: 1.904400276592838e-05, cwndEMAVariance: 7.463824000004906e-91
Method 2: time: 1.002397642, rttEMAVariance: 4.0000083300480764e-07, cwndEMAVariance: 0
Method 2: time: 1.001074164, rttEMAVariance: 6036.848986131254, cwndEMAVariance: 8.17960429429388e-82
Method 2: time: 1.005470528, rttEMAVariance: 3.0140100077879743e-05, cwndEMAVariance: 0
Method 2: time: 1.004495094, rttEMAVariance: 131.17103880421564, cwndEMAVariance: 0
Method 2: time: 1.004519903, rttEMAVariance: 507.5294510073894, cwndEMAVariance: 0
Method 2: time: 1.001246975, rttEMAVariance: 0.004243595714472295, cwndEMAVariance: 0
Method 2: time: 1.000463508, rttEMAVariance: 0.23814162703600913, cwndEMAVariance: 0
Method 2: time: 1.002719085, rttEMAVariance: 24.280681831262417, cwndEMAVariance: 0
Method 2: time: 1.003650255, rttEMAVariance: 158.349509876319, cwndEMAVariance: 0
Method 2: time: 1.002413161, rttEMAVariance: 22.64352463591324, cwndEMAVariance: 0
Method 2: time: 1.002814713, rttEMAVariance: 335.3503726089839, cwndEMAVariance: 0
Method 2: time: 1.003251021, rttEMAVariance: 0.0005200343867169219, cwndEMAVariance: 0
Method 2: time: 1.003587387, rttEMAVariance: 0.2507843568935688, cwndEMAVariance: 0
Method 2: time: 1.002961762, rttEMAVariance: 17.528466854238456, cwndEMAVariance: 0
Method 2: time: 1.001694071, rttEMAVariance: 67.75409967997437, cwndEMAVariance: 0
Method 2: time: 1.004080644, rttEMAVariance: 3081.22724135676, cwndEMAVariance: 0
Method 2: time: 1.002688338, rttEMAVariance: 792.9428952431749, cwndEMAVariance: 0
Method 2: time: 1.002430642, rttEMAVariance: 81.54530211122712, cwndEMAVariance: 0
Method 2: time: 1.00291119, rttEMAVariance: 4092.9845216890335, cwndEMAVariance: 0
Method 2: time: 1.002351338, rttEMAVariance: 0.3873020124593332, cwndEMAVariance: 0
Method 2: time: 1.002215274, rttEMAVariance: 0.0021981497905010396, cwndEMAVariance: 0
Method 2: time: 1.007405015, rttEMAVariance: 0.021199357879111716, cwndEMAVariance: 0
Method 2: time: 1.008320661, rttEMAVariance: 2005.0559998861474, cwndEMAVariance: 0
Method 2: time: 1.003736997, rttEMAVariance: 1550.0250004042532, cwndEMAVariance: 0
Method 2: time: 1.008970298, rttEMAVariance: 54.672750023300665, cwndEMAVariance: 2.0764810000010953e-31
Method 2: time: 1.008102482, rttEMAVariance: 0.2601766398119003, cwndEMAVariance: 1.8688329000005137e-260
Method 2: time: 1.003113545, rttEMAVariance: 2.490010889228948e-06, cwndEMAVariance: 0
Method 2: time: 1.003853914, rttEMAVariance: 75.41426725452617, cwndEMAVariance: 0
Method 2: time: 1.001883648, rttEMAVariance: 4.4893537432471616e-08, cwndEMAVariance: 0
Method 2: time: 1.003579209, rttEMAVariance: 0.00014334484908704539, cwndEMAVariance: 0
Method 2: time: 1.003399011, rttEMAVariance: 1.5288100244014756e-05, cwndEMAVariance: 0
Method 2: time: 1.002974148, rttEMAVariance: 50.56560219925124, cwndEMAVariance: 0
Method 2: time: 1.004310498, rttEMAVariance: 514.6427752224395, cwndEMAVariance: 0
Method 2: time: 1.000929339, rttEMAVariance: 109.1218009907725, cwndEMAVariance: 0
Method 2: time: 1.000913141, rttEMAVariance: 203.15691032509096, cwndEMAVariance: 0
Method 2: time: 1.002318431, rttEMAVariance: 480.9509172079751, cwndEMAVariance: 0
Method 2: time: 1.005451805, rttEMAVariance: 731.4325056036134, cwndEMAVariance: 0
Method 2: time: 1.006579391, rttEMAVariance: 0.0022560039772628036, cwndEMAVariance: 0
Method 2: time: 1.000738367, rttEMAVariance: 1.8490001006572888e-10, cwndEMAVariance: 2.0764810000061755e-64
Method 2: time: 1.004047938, rttEMAVariance: 9.025048705628683e-08, cwndEMAVariance: 8.3059239999971e-292
Method 2: time: 1.002455421, rttEMAVariance: 2.044900000029631e-09, cwndEMAVariance: 0
Method 2: time: 1.004667783, rttEMAVariance: 0.020451692319182764, cwndEMAVariance: 0
Method 2: time: 1.002637846, rttEMAVariance: 1.8748900000075395e-08, cwndEMAVariance: 0
Method 2: time: 1.000685766, rttEMAVariance: 14837.903998719483, cwndEMAVariance: 0
Method 2: time: 1.004308525, rttEMAVariance: 321.6510000170073, cwndEMAVariance: 0
Method 2: time: 1.005756909, rttEMAVariance: 351.6638045104297, cwndEMAVariance: 0
Method 2: time: 1.003014652, rttEMAVariance: 331.88858997553655, cwndEMAVariance: 0
