Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1723
3,0,40960,1766
4,0,40960,1799
5,0,40960,2948
6,0,40960,2948
7,201034,40960,76
8,201034,40960,320
9,201366,40960,244
10,201366,40960,447
11,201272,40960,0
12,201272,40960,46
13,201260,40960,0
14,201260,40960,45
15,201260,40960,72
16,201175,40960,0
17,201175,40960,778
18,201175,40960,805
19,201119,40960,0
20,201119,40960,1366
21,201119,40960,1399
22,201119,40960,1496
23,201119,40960,1603
24,201119,40960,1697
25,201119,40960,1791
26,201119,40960,1885
27,201119,40960,1978
28,201119,40960,2071
29,201119,40960,2165
30,201119,40960,2261
31,201119,40960,2355
32,201119,40960,2449
33,201119,40960,2543
34,201119,40960,2637
35,201119,40960,2732
36,201119,40960,2827
37,201119,40960,2922
38,201119,40960,3017
39,201119,40960,3112
40,201119,40960,3207
41,201028,40960,1808
42,201028,40960,1841
43,201028,40960,1874
44,201028,40960,3240
45,201028,40960,4606
46,201028,40960,5972
47,201028,40960,6257
48,201028,40960,6281
49,201028,40960,6376
50,201028,40960,6471
51,200970,40960,6267
52,200970,40960,6362
53,200970,40960,6457
54,200970,40960,6490
55,200970,40960,7856
56,200970,40960,9222
57,200970,40960,10191
58,200970,40960,10215
59,200878,40960,10027
60,200878,40960,10123
61,200878,40960,10219
62,200878,40960,10315
63,200807,40960,10128
64,200807,40960,10161
65,200807,40960,11527
66,200807,40960,12893
67,200807,40960,14259
68,200807,40960,14547
69,200807,40960,14643
70,200807,40960,14739
71,200741,40960,14552
72,200741,40960,14648
73,200741,40960,14744
74,200740,40960,14554
75,200740,40960,14587
76,200740,40960,15953
77,200740,40960,17319
78,200740,40960,18685
79,200740,40960,18904
80,200740,40960,19000
81,200740,40960,19096
82,200697,40960,18908
83,200697,40960,18941
84,200697,40960,20307
85,200697,40960,21673
86,200697,40960,23039
87,200697,40960,23145
88,200697,40960,23241
89,200647,43692,23052
90,200647,43692,23148
91,200647,43692,23244
92,200647,43692,23340
93,200600,46424,23150
94,200600,46424,23183
95,200600,46424,24549
96,200600,46424,25915
97,200600,46424,27281
98,200600,46424,27614
99,200600,46424,27710
100,200600,46424,27806
101,200556,49156,27616
102,200556,49156,27712
103,200556,49156,27808
104,200556,49156,27904
105,200517,51888,27776
106,200517,51888,27809
107,200537,54620,26410
108,200537,54620,27776
109,200537,54620,29142
110,200537,54620,30094
111,200537,54620,30118
112,200573,57352,27386
113,200614,57352,27077
114,200598,57352,26887
115,200598,57352,26983
116,200598,57352,27079
117,200615,57352,26889
118,200646,57352,25490
119,200682,57352,23155
120,200682,57352,23188
121,200682,57352,24554
122,200682,57352,25920
123,200682,57352,27261
124,200682,57352,27285
125,200682,57352,27381
126,200682,57352,27477
127,200644,57352,27357
128,200601,57352,27165
129,200601,57352,27261
130,200601,57352,27357
131,200598,57352,25958
132,200607,57352,23226
