Time (s),Upload (Bps),Download (Bps)
0,1731,1199
1,90226,1758
2,145010,1101
3,147775,924
4,129459,922
5,90714,923
6,112724,1115
7,108141,953
8,106262,1019
9,109082,926
10,69223,952
11,24731,912
12,23410,885
13,21146,940
14,27775,881
15,20279,944
16,20112,910
17,23360,1059
18,24321,909
19,25525,910
20,24093,903
21,25076,943
22,24353,913
23,24710,912
24,25337,911
25,23360,886
26,24451,942
27,24323,881
28,25293,913
29,25488,881
30,23983,946
31,23849,911
32,23678,913
33,24428,909
34,24081,938
35,24165,912
36,23701,909
37,22720,914
38,24663,941
39,24039,941
40,33970,909
41,81552,918
42,143857,973
43,192953,1093
44,128250,924
45,66036,944
46,78960,923
47,25422,976
48,24405,885
49,24604,914
50,18827,913
51,19845,908
52,22990,941
53,18984,884
54,23214,937
55,24290,887
56,23336,939
57,28585,881
58,25708,1073
59,24134,941
60,25499,914
61,22638,902
62,26663,913
63,22125,877
64,17687,944
65,25128,913
66,23107,914
67,25423,939
68,28202,914
69,25626,935
70,23538,912
71,24870,945
72,25610,908
73,24365,913
74,23591,911
75,24216,911
76,30428,942
77,54433,886
78,36672,914
79,40510,851
80,58744,925
81,60797,950
82,34568,886
83,55436,913
84,54719,971
85,51668,919
86,37694,939
87,39279,918
88,44394,882
89,67467,920
90,70594,925
91,45404,942
92,38067,912
93,50247,935
94,48235,948
95,83838,985
96,53565,1032
97,55038,879
98,74236,949
99,93866,984
100,85446,891
101,76930,952
102,25604,918
103,25352,910
104,23990,908
105,27282,936
106,28564,1004
107,23346,941
108,23003,974
109,24927,1004
110,24563,973
111,26041,942
112,27853,976
113,24938,1034
114,27484,975
115,25420,976
116,24605,973
117,21760,993
118,20961,970
119,22170,971
120,27573,995
121,25269,976
122,22355,1006
123,22837,1003
124,24851,974
125,24113,974
126,22496,978
127,26514,978
128,24729,979
129,24105,974
130,22984,1015
131,32296,1008
132,91461,989
133,96481,995
134,90817,957
135,73342,1027
136,122334,986
137,103630,985
138,58194,1019
139,43780,950
140,51807,1040
141,38400,977
142,46945,948
143,57437,1048
144,88416,986
145,106799,1054
146,107648,998
147,108997,1036
148,73433,1016
149,66912,989
150,44890,1041
151,32864,1016
152,51688,950
153,64862,985
154,75025,1017
155,95690,1030
156,76209,1026
157,107266,987
158,78638,1018
159,78379,988
160,46580,1008
161,61635,1015
162,87607,1054
163,97158,1051
164,45982,987
165,41490,983
166,56576,982
167,61167,988
168,64640,983
169,108041,990
170,129152,1020
171,98996,1026
172,73997,985
173,81260,1063
174,112638,993
175,119993,988
176,125845,1057
177,121428,988
178,122225,1014
179,82148,984
180,155757,988
181,146710,988
182,90605,1026
183,41803,1016
184,30878,970
185,25843,1009
186,28747,979
187,23959,980
188,24604,976
189,32679,1011
190,21463,946
191,16607,985
192,25079,979
193,24957,981
194,23059,979
195,23898,980
196,22678,951
197,24286,1040
198,18862,953
199,27616,975
200,24030,982
201,21837,978
202,33413,971
203,27155,978
204,27072,981
205,24455,978
206,24814,980
207,24585,979
208,21393,945
209,23798,1012
210,25294,1007
211,24617,978
212,25578,980
213,22042,977
214,21994,981
215,28848,1009
216,31981,949
217,47596,1010
218,42418,953
219,100384,1016
220,105976,1044
221,83091,1011
222,70204,950
223,76308,1023
224,34122,980
225,42420,982
226,100543,982
227,72567,1020
228,47436,986
229,49807,1044
230,54615,986
231,39595,982
232,40254,1012
233,50652,980
234,74259,983
235,82283,1052
236,120924,990
237,155651,1026
238,143505,983
239,117585,1046
240,104500,975
241,164253,1041
242,100439,990
243,81272,1020
244,73248,1015
245,95168,984
246,136763,1017
247,94988,1022
248,72955,1025
249,44984,982
250,76497,1015
251,89984,1056
252,97288,987
253,66606,994
254,98765,984
255,73496,965
256,92746,1109
257,60051,994
258,55240,981
259,64261,1022
260,82867,992
261,51853,949
262,63895,986
263,77035,949
264,146258,1013
265,147849,1051
266,147217,1056
267,92924,1022
268,78416,1017
269,81281,1049
270,91577,988
271,106112,1029
272,108391,1021
273,98453,1025
274,70199,1009
275,65242,1022
276,62071,988
277,80166,1019
278,49547,955
279,34580,976
280,34516,982
281,47809,947
282,48567,1017
283,40517,976
284,36261,983
285,64894,1040
286,110327,958
287,165466,1060
288,140328,1054
289,66932,1026
290,71925,1042
291,140547,1024
292,69709,991
293,58665,984
294,87897,992
295,80578,1047
296,98053,1024
297,118420,979
298,77769,1025
299,59954,949
300,85629,993
301,144904,1085
302,59064,982
303,61671,979
304,110747,955
305,95229,997
306,163575,1076
307,155574,1022
308,121822,991
309,124226,995
310,125479,1026
311,132857,1041
312,112780,1056
313,157251,1066
314,177630,1021
315,121805,1047
316,56063,1016
317,147013,1042
318,115778,1051
319,94363,993
320,160511,1017
321,219343,1269
322,101056,956
323,103874,1024
324,115558,1020
325,107272,1026
326,100344,964
327,87970,1022
328,86652,993
329,69736,1022
330,108587,989
331,42204,1012
332,28712,953
333,74120,1000
334,52409,1014
335,48021,952
336,185126,1049
337,193564,1163
338,197771,1041
339,205565,1143
340,156822,985
341,155269,1057
342,171634,953
343,188450,1064
344,192011,1139
345,105325,1022
346,144371,1010
347,51714,949
348,88543,890
349,160,0
350,64,0
