Realtime bandwidth: upload: 1731 Bytes/s; download: 1199 Bytes/s
Realtime bandwidth: upload: 90226 Bytes/s; download: 1758 Bytes/s
Realtime bandwidth: upload: 145010 Bytes/s; download: 1101 Bytes/s
Realtime bandwidth: upload: 147775 Bytes/s; download: 924 Bytes/s
Realtime bandwidth: upload: 129459 Bytes/s; download: 922 Bytes/s
Realtime bandwidth: upload: 90714 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 112724 Bytes/s; download: 1115 Bytes/s
Realtime bandwidth: upload: 108141 Bytes/s; download: 953 Bytes/s
Realtime bandwidth: upload: 106262 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 109082 Bytes/s; download: 926 Bytes/s
Realtime bandwidth: upload: 69223 Bytes/s; download: 952 Bytes/s
Realtime bandwidth: upload: 24731 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 23410 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 21146 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 27775 Bytes/s; download: 881 Bytes/s
Realtime bandwidth: upload: 20279 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 20112 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 23360 Bytes/s; download: 1059 Bytes/s
Realtime bandwidth: upload: 24321 Bytes/s; download: 909 Bytes/s
Realtime bandwidth: upload: 25525 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 24093 Bytes/s; download: 903 Bytes/s
Realtime bandwidth: upload: 25076 Bytes/s; download: 943 Bytes/s
Realtime bandwidth: upload: 24353 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 24710 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 25337 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 23360 Bytes/s; download: 886 Bytes/s
Realtime bandwidth: upload: 24451 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 24323 Bytes/s; download: 881 Bytes/s
Realtime bandwidth: upload: 25293 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 25488 Bytes/s; download: 881 Bytes/s
Realtime bandwidth: upload: 23983 Bytes/s; download: 946 Bytes/s
