Method 1: time: 1.197258817, rttSecondDerivative: 124440.89999999998, cwndSecondDerivative: 0
Method 1: time: 1.003362439, rttSecondDerivative: 5.388537802631589e+06, cwndSecondDerivative: 9.09633699404253e+07
Method 1: time: 1.002237929, rttSecondDerivative: 2.565978548288992e+07, cwndSecondDerivative: 1.021269576585364e+08
Method 1: time: 1.003847958, rttSecondDerivative: 3.708523004639757e+07, cwndSecondDerivative: 1.029664339951613e+08
Method 1: time: 1.00153384, rttSecondDerivative: 5.685651224223106e+07, cwndSecondDerivative: 1.0334786274296683e+08
Method 1: time: 1.003060803, rttSecondDerivative: 7.285481053183469e+07, cwndSecondDerivative: 1.0355360585394594e+08
Method 1: time: 1.003856133, rttSecondDerivative: 8.921947328777403e+07, cwndSecondDerivative: 1.0370615381773165e+08
Method 1: time: 1.005319382, rttSecondDerivative: 1.121063659277592e+08, cwndSecondDerivative: 1.0381609977228884e+08
Method 1: time: 1.000882224, rttSecondDerivative: 1.4025831834671962e+08, cwndSecondDerivative: 1.038996629981099e+08
Method 1: time: 1.001205209, rttSecondDerivative: 1.6213815844594318e+08, cwndSecondDerivative: 1.0396443102683097e+08
Method 1: time: 1.001209359, rttSecondDerivative: 1.8713780271169007e+08, cwndSecondDerivative: 1.0400801396151173e+08
Method 1: time: 1.004475631, rttSecondDerivative: 2.0064688090315273e+08, cwndSecondDerivative: 1.0403717338927552e+08
Method 1: time: 1.003103376, rttSecondDerivative: 2.2687771886926076e+08, cwndSecondDerivative: 1.0406288176444343e+08
Method 1: time: 1.002714786, rttSecondDerivative: 2.316065497455508e+08, cwndSecondDerivative: 1.040861114987125e+08
Method 1: time: 1.00278141, rttSecondDerivative: 2.4277174245899937e+08, cwndSecondDerivative: 1.0410684493439144e+08
Method 1: time: 1.00208995, rttSecondDerivative: 2.6441641259981716e+08, cwndSecondDerivative: 1.041255703477247e+08
Method 1: time: 1.003213908, rttSecondDerivative: 2.8196822016288376e+08, cwndSecondDerivative: 1.0414237056124803e+08
Method 1: time: 1.002946954, rttSecondDerivative: 2.969747930715773e+08, cwndSecondDerivative: 1.041585954116018e+08
Method 1: time: 1.002774673, rttSecondDerivative: 3.1413165537991667e+08, cwndSecondDerivative: 1.0417249088519181e+08
Method 1: time: 1.002852457, rttSecondDerivative: 3.346683147514772e+08, cwndSecondDerivative: 1.0418550516828074e+08
Method 1: time: 1.003729298, rttSecondDerivative: 3.5726308474992204e+08, cwndSecondDerivative: 1.0419729686049643e+08
Method 1: time: 1.001567964, rttSecondDerivative: 3.710122989925567e+08, cwndSecondDerivative: 1.0420873440689535e+08
Method 1: time: 1.004527246, rttSecondDerivative: 3.985429492517877e+08, cwndSecondDerivative: 1.0421896345840716e+08
Method 1: time: 1.0008722, rttSecondDerivative: 4.185965320610352e+08, cwndSecondDerivative: 1.0422853888741177e+08
Method 1: time: 1.002130524, rttSecondDerivative: 4.3967442078901553e+08, cwndSecondDerivative: 1.0423778047366264e+08
Method 1: time: 1.003261266, rttSecondDerivative: 4.638231473388658e+08, cwndSecondDerivative: 1.0424596264256145e+08
Method 1: time: 1.002919823, rttSecondDerivative: 4.821401343244364e+08, cwndSecondDerivative: 1.0425368312760308e+08
Method 1: time: 1.002742673, rttSecondDerivative: 4.997849619882219e+08, cwndSecondDerivative: 1.0426089375432901e+08
Method 1: time: 1.00395478, rttSecondDerivative: 5.263810284966362e+08, cwndSecondDerivative: 1.0426776434153655e+08
Method 1: time: 1.001868567, rttSecondDerivative: 5.434040122222576e+08, cwndSecondDerivative: 1.0427439314804105e+08
Method 1: time: 1.003313711, rttSecondDerivative: 5.656866392064122e+08, cwndSecondDerivative: 1.0428053595675129e+08
Method 1: time: 1.002224844, rttSecondDerivative: 5.865810604060864e+08, cwndSecondDerivative: 1.0428624162758672e+08
Method 1: time: 1.007231346, rttSecondDerivative: 6.072742861736478e+08, cwndSecondDerivative: 1.0429168190240666e+08
Method 1: time: 1.000278088, rttSecondDerivative: 6.27941651579872e+08, cwndSecondDerivative: 1.0429684392829667e+08
Method 1: time: 1.003268509, rttSecondDerivative: 6.544490345777011e+08, cwndSecondDerivative: 1.0430177767589559e+08
Method 1: time: 1.001050598, rttSecondDerivative: 6.779069449654006e+08, cwndSecondDerivative: 1.0430641446669127e+08
Method 1: time: 1.008414932, rttSecondDerivative: 6.952539388054414e+08, cwndSecondDerivative: 1.0431085877243677e+08
