Method 2: time: 1.197332831, rttEMAVariance: 7.1551811167461565, cwndEMAVariance: 0
Method 2: time: 1.003377158, rttEMAVariance: 4.884099957364168e-07, cwndEMAVariance: 1.8659560000044655e-13
Method 2: time: 1.002265806, rttEMAVariance: 1.7808399821255546e-06, cwndEMAVariance: 1.8659560001467078e-281
Method 2: time: 1.003870704, rttEMAVariance: 1.1289599979286657e-05, cwndEMAVariance: 0
Method 2: time: 1.001561401, rttEMAVariance: 2.0160100547503354e-05, cwndEMAVariance: 0
Method 2: time: 1.003113439, rttEMAVariance: 67.46856838261003, cwndEMAVariance: 0
Method 2: time: 1.003909327, rttEMAVariance: 230.0007598217719, cwndEMAVariance: 0
Method 2: time: 1.005340316, rttEMAVariance: 326.1812568137544, cwndEMAVariance: 0
Method 2: time: 1.000953631, rttEMAVariance: 209.49685110362674, cwndEMAVariance: 0
Method 2: time: 1.001300216, rttEMAVariance: 1.6239274476754997, cwndEMAVariance: 0
Method 2: time: 1.001276732, rttEMAVariance: 2701.811315150518, cwndEMAVariance: 0
Method 2: time: 1.004552004, rttEMAVariance: 8.114406447102022, cwndEMAVariance: 0
Method 2: time: 1.003132596, rttEMAVariance: 290.75254239172705, cwndEMAVariance: 0
Method 2: time: 1.002761793, rttEMAVariance: 27.61529289702006, cwndEMAVariance: 0
Method 2: time: 1.002808207, rttEMAVariance: 9.059254739912286e-05, cwndEMAVariance: 0
Method 2: time: 1.002165356, rttEMAVariance: 0.042662199166482194, cwndEMAVariance: 0
Method 2: time: 1.003311234, rttEMAVariance: 0.00016918134570182098, cwndEMAVariance: 0
Method 2: time: 1.003026288, rttEMAVariance: 140.758297863389, cwndEMAVariance: 0
Method 2: time: 1.002804498, rttEMAVariance: 124.75325481954772, cwndEMAVariance: 0
Method 2: time: 1.002979353, rttEMAVariance: 286.54966264707673, cwndEMAVariance: 0
Method 2: time: 1.003837061, rttEMAVariance: 88.52902912238993, cwndEMAVariance: 0
Method 2: time: 1.001671741, rttEMAVariance: 113.10156040586, cwndEMAVariance: 0
Method 2: time: 1.004565195, rttEMAVariance: 2.447736483997084, cwndEMAVariance: 0
Method 2: time: 1.000911184, rttEMAVariance: 60.779181654930845, cwndEMAVariance: 0
Method 2: time: 1.002198485, rttEMAVariance: 31.105263444120652, cwndEMAVariance: 0
Method 2: time: 1.003367122, rttEMAVariance: 0.03971306795544395, cwndEMAVariance: 0
Method 2: time: 1.003038203, rttEMAVariance: 0.5242402249079124, cwndEMAVariance: 0
Method 2: time: 1.002832701, rttEMAVariance: 0.32148863879085393, cwndEMAVariance: 0
Method 2: time: 1.004078732, rttEMAVariance: 0.01416103783050926, cwndEMAVariance: 0
Method 2: time: 1.00191872, rttEMAVariance: 6969.00513222179, cwndEMAVariance: 0
Method 2: time: 1.003435191, rttEMAVariance: 452.4250100922209, cwndEMAVariance: 0
Method 2: time: 1.002270155, rttEMAVariance: 196.9441821105199, cwndEMAVariance: 0
Method 2: time: 1.007324204, rttEMAVariance: 65.38865645870277, cwndEMAVariance: 0
Method 2: time: 1.000321687, rttEMAVariance: 13.750339272441611, cwndEMAVariance: 0
Method 2: time: 1.003346976, rttEMAVariance: 74.05797824584053, cwndEMAVariance: 0
Method 2: time: 1.001146759, rttEMAVariance: 32.68580157520601, cwndEMAVariance: 0
Method 2: time: 1.00846515, rttEMAVariance: 352.7110630592715, cwndEMAVariance: 0
Method 2: time: 1.009412824, rttEMAVariance: 3027.6007325642963, cwndEMAVariance: 0
Method 2: time: 1.012277747, rttEMAVariance: 660.8165071787838, cwndEMAVariance: 0
Method 2: time: 1.002900103, rttEMAVariance: 320.44731877996423, cwndEMAVariance: 0
Method 2: time: 1.004039292, rttEMAVariance: 1.1025000066438334e-06, cwndEMAVariance: 0
Method 2: time: 1.002760571, rttEMAVariance: 0.20249269749262447, cwndEMAVariance: 0
