Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1716
3,0,40960,1759
4,0,40960,1792
5,0,40960,2941
6,0,40960,2941
7,200967,40960,76
8,200967,40960,320
9,200973,40960,244
10,200973,40960,447
11,200914,40960,0
12,200914,40960,46
13,200891,40960,0
14,200891,40960,45
15,200891,40960,72
16,200821,40960,0
17,200821,40960,1366
18,200821,40960,2159
19,200802,40960,0
20,200802,40960,27
21,200802,40960,121
22,200802,40960,215
23,200802,40960,309
24,200802,40960,403
25,200802,40960,497
26,200802,40960,591
27,200802,40960,685
28,200802,40960,778
29,200802,40960,871
30,200802,40960,965
31,200802,40960,1060
32,200802,40960,1155
33,200802,40960,1251
34,200802,40960,1346
35,200802,40960,1443
36,200802,40960,1539
37,200802,40960,1635
38,200802,40960,1731
39,200802,40960,1827
40,200802,40960,1923
41,200874,40960,1896
42,200874,40960,1923
43,200874,40960,2019
44,200874,40960,2115
45,200874,40960,2148
46,200874,40960,3514
47,200874,40960,4880
48,200874,40960,6246
49,200874,40960,6950
50,200874,40960,6974
51,200805,40960,6786
52,200805,40960,6882
53,200805,40960,6978
54,200751,40960,6790
55,200751,40960,6823
56,200751,40960,8189
57,200751,40960,9555
58,200751,40960,10921
59,200751,40960,11467
60,200751,40960,11563
61,200751,40960,11659
62,200753,40960,11471
63,200753,40960,11567
64,200753,40960,11663
65,200753,40960,11696
66,200753,40960,13062
67,200753,40960,14428
68,200753,40960,15794
69,200753,40960,16333
70,200753,40960,16357
71,200731,40960,16170
72,200731,40960,16265
73,200731,40960,16359
74,200724,40960,16172
75,200724,40960,16205
76,200724,40960,17571
77,200724,40960,18937
78,200724,40960,20303
79,200724,40960,20533
80,200724,40960,20557
81,200724,40960,20652
82,200724,40960,20746
83,200718,42326,20556
84,200718,42326,20652
85,200718,42326,20746
86,200718,42326,20779
87,200718,42326,22145
88,200718,42326,23511
89,200718,42326,24877
90,200718,42326,24910
91,200718,42326,24934
92,200712,45058,24743
93,200712,45058,24837
94,200712,45058,24933
95,200712,45058,25029
96,200707,47790,24836
97,200707,47790,24869
98,200707,47790,26235
99,200707,47790,27601
100,200707,47790,28678
101,200707,47790,28702
102,200707,47790,28800
103,200707,47790,28900
104,200692,50522,28708
105,200669,53254,28516
106,200669,53254,28614
107,200669,53254,28712
108,200669,53254,28744
109,200669,53254,30110
110,200669,53254,31476
111,200669,53254,32842
112,200669,53254,33301
113,200675,55986,33178
114,200685,58718,33049
115,200713,61450,30317
116,200757,61450,28247
117,200757,61450,28343
118,200757,61450,28439
119,200704,61450,28319
120,200704,61450,28351
121,200704,61450,29717
122,200704,61450,31083
123,200704,61450,32449
124,200704,61450,33815
125,200704,61450,35181
126,200704,61450,35660
127,200704,61450,35684
128,200701,64182,35555
129,200715,66914,32823
130,200739,66914,30911
131,200739,66914,31007
132,200739,66914,31103
133,200713,66914,30911
