Time (s),Upload (Bps),Download (Bps)
0,2343,1201
1,91425,1797
2,124489,1175
3,83296,927
4,121732,984
5,111259,923
6,32519,1220
7,25557,904
8,22865,940
9,24179,883
10,23500,938
11,21946,943
12,27415,939
13,19058,913
14,19493,941
15,28175,914
16,24270,942
17,23960,912
18,24360,942
19,24308,911
20,24649,942
21,24658,939
22,24557,907
23,24830,940
24,24202,885
25,23748,998
26,25011,1005
27,26401,898
28,24042,879
29,48898,942
30,97760,956
31,93202,924
32,83413,949
33,77247,923
34,68864,897
35,61777,914
36,90970,927
37,103427,984
38,98503,923
39,79931,952
40,154472,918
41,189618,977
42,122112,895
43,69361,984
44,75923,886
45,77811,956
46,108131,952
47,119869,923
48,37216,980
49,43928,913
50,57364,974
51,37716,884
52,58695,975
53,63801,951
54,64268,925
55,72005,981
56,75497,887
57,99572,927
58,118279,921
59,101592,927
60,131633,923
61,91419,981
62,33355,978
63,52295,946
64,49731,910
65,69403,915
66,156180,956
67,139959,977
68,171696,956
69,199482,1004
70,195164,1007
71,182979,973
72,132767,928
73,114376,960
74,101018,887
75,50615,946
76,34027,885
77,46604,912
78,59112,916
79,55925,922
80,37641,912
81,54013,945
82,54717,943
83,52466,916
84,38883,941
85,34807,915
86,46442,944
87,69389,943
88,69624,927
89,42965,935
90,38328,911
91,51109,1031
92,48718,1009
93,89097,977
94,49644,949
95,60061,1037
96,76189,954
97,99291,1055
98,76121,1019
99,76962,954
100,81311,1021
101,76387,950
102,63985,986
103,96391,980
104,99002,1053
105,77494,983
106,65612,990
107,88179,982
108,105122,1018
109,76824,984
110,177681,1047
111,173918,1039
112,111099,1150
113,114085,1022
114,102956,983
115,64223,1052
116,51771,968
117,54381,980
118,75477,1042
119,99009,1016
120,61110,1017
121,51620,1087
122,70773,979
123,73017,948
124,59332,1007
125,81310,1014
126,89587,922
127,90043,1024
128,63441,989
129,78513,1017
130,91491,986
131,97055,1019
132,87927,989
133,78392,994
134,124683,1024
135,92278,990
136,58638,987
137,43199,1012
138,52036,1013
139,37664,977
140,49614,980
141,55739,1014
142,91766,1056
143,105703,1023
144,111402,1023
145,102404,1021
146,76945,951
147,63021,1053
148,44080,947
149,34190,1014
150,50702,949
151,67856,1017
152,75439,1021
153,95032,1020
154,74050,1022
155,113116,1018
156,74749,1024
157,83955,985
158,43090,986
159,59583,1013
160,93692,1022
161,89130,1056
162,46252,951
163,40566,980
164,57560,986
165,62000,1020
166,66562,983
167,111305,996
168,128235,1022
169,96218,1118
170,76645,990
171,81325,982
172,117431,1024
173,120910,958
174,119057,1092
175,118945,993
176,117124,1058
177,91556,952
178,156801,1013
179,145189,1022
180,92534,957
181,30249,984
182,32541,979
183,67152,1013
184,165139,1048
185,111172,995
186,106871,1025
187,174991,1111
188,78897,996
189,41075,980
190,85962,991
191,74080,1013
192,80236,995
193,66984,986
194,63585,989
195,59353,1013
196,45109,982
197,86845,1046
198,117119,987
199,54486,1023
200,140716,1007
201,158282,1069
202,182978,1111
203,166558,1054
204,214196,1139
205,110077,1014
206,64362,1023
207,74453,954
208,92005,1019
209,101007,1020
210,90600,1027
211,62940,988
212,61633,952
213,29752,980
214,30469,978
215,49785,977
216,45064,1010
217,102408,1020
218,106428,989
219,78192,992
220,75464,1015
221,69396,993
222,33160,1011
223,47903,948
224,91529,989
225,71351,1013
226,48894,988
227,47845,1013
228,54263,986
229,39640,1015
230,40474,945
231,50869,1010
232,75379,949
233,85051,1051
234,127560,1022
235,156786,1059
236,143635,1053
237,120027,994
238,105540,1022
239,163457,1039
240,101377,1056
241,74971,986
242,66704,983
243,96604,984
244,138210,1028
245,98856,1085
246,66581,1023
247,44255,1017
248,87231,1010
249,90505,992
250,97573,987
251,68350,992
252,90400,986
253,71207,994
254,95510,1004
255,63805,993
256,58300,1046
257,60681,1016
258,83025,1020
259,51006,952
260,65647,986
261,88347,1010
262,146962,1080
263,147765,1019
264,142290,1024
265,82792,1024
266,74963,993
267,83117,1045
268,90462,987
269,112586,1029
270,107443,958
271,102561,1055
272,59556,1053
273,70986,983
274,63125,1020
275,75787,991
276,48851,986
277,33000,1010
278,37171,981
279,49274,1010
280,44882,985
281,38820,1011
282,37972,979
283,67884,1015
284,121185,989
285,157392,1052
286,138270,1021
287,66021,1053
288,85387,979
289,133823,1049
290,61084,993
291,67502,978
292,83484,995
293,83733,957
294,103235,1028
295,110025,1021
296,72974,993
297,62224,1044
298,91362,958
299,137411,1075
300,57944,981
301,66365,986
302,112506,1023
303,106557,983
304,166230,1072
305,149364,985
306,127547,994
307,121614,981
308,122106,1059
309,134440,1055
310,104765,1057
311,168849,1012
312,177522,1022
313,115732,1041
314,64954,1017
315,125809,1081
316,121546,1013
317,98732,998
318,173516,1018
319,202509,1204
320,101191,984
321,105309,994
322,112023,1026
323,109406,957
324,94874,1024
325,87063,990
326,86731,1057
327,67991,988
328,106537,1056
329,39615,981
330,44323,984
331,61751,1014
332,51420,979
333,57492,983
334,191739,1044
335,192272,1079
336,197450,1008
337,200812,1079
338,150110,1017
339,157424,1022
340,172465,1020
341,188516,1099
342,184497,1067
343,110474,989
344,134885,993
345,51488,977
346,77746,765
347,165,0
