Realtime bandwidth: upload: 2343 Bytes/s; download: 1201 Bytes/s
Realtime bandwidth: upload: 91425 Bytes/s; download: 1797 Bytes/s
Realtime bandwidth: upload: 124489 Bytes/s; download: 1175 Bytes/s
Realtime bandwidth: upload: 83296 Bytes/s; download: 927 Bytes/s
Realtime bandwidth: upload: 121732 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 111259 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 32519 Bytes/s; download: 1220 Bytes/s
Realtime bandwidth: upload: 25557 Bytes/s; download: 904 Bytes/s
Realtime bandwidth: upload: 22865 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 24179 Bytes/s; download: 883 Bytes/s
Realtime bandwidth: upload: 23500 Bytes/s; download: 938 Bytes/s
Realtime bandwidth: upload: 21946 Bytes/s; download: 943 Bytes/s
Realtime bandwidth: upload: 27415 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 19058 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 19493 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 28175 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 24270 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 23960 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 24360 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 24308 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 24649 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 24658 Bytes/s; download: 939 Bytes/s
Realtime bandwidth: upload: 24557 Bytes/s; download: 907 Bytes/s
Realtime bandwidth: upload: 24830 Bytes/s; download: 940 Bytes/s
Realtime bandwidth: upload: 24202 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 23748 Bytes/s; download: 998 Bytes/s
Realtime bandwidth: upload: 25011 Bytes/s; download: 1005 Bytes/s
Realtime bandwidth: upload: 26401 Bytes/s; download: 898 Bytes/s
Realtime bandwidth: upload: 24042 Bytes/s; download: 879 Bytes/s
Realtime bandwidth: upload: 48898 Bytes/s; download: 942 Bytes/s
Realtime bandwidth: upload: 97760 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 93202 Bytes/s; download: 924 Bytes/s
Realtime bandwidth: upload: 83413 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 77247 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 68864 Bytes/s; download: 897 Bytes/s
Realtime bandwidth: upload: 61777 Bytes/s; download: 914 Bytes/s
Realtime bandwidth: upload: 90970 Bytes/s; download: 927 Bytes/s
Realtime bandwidth: upload: 103427 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 98503 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 79931 Bytes/s; download: 952 Bytes/s
Realtime bandwidth: upload: 154472 Bytes/s; download: 918 Bytes/s
Realtime bandwidth: upload: 189618 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 122112 Bytes/s; download: 895 Bytes/s
Realtime bandwidth: upload: 69361 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 75923 Bytes/s; download: 886 Bytes/s
Realtime bandwidth: upload: 77811 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 108131 Bytes/s; download: 952 Bytes/s
Realtime bandwidth: upload: 119869 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 37216 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 43928 Bytes/s; download: 913 Bytes/s
Realtime bandwidth: upload: 57364 Bytes/s; download: 974 Bytes/s
Realtime bandwidth: upload: 37716 Bytes/s; download: 884 Bytes/s
Realtime bandwidth: upload: 58695 Bytes/s; download: 975 Bytes/s
Realtime bandwidth: upload: 63801 Bytes/s; download: 951 Bytes/s
Realtime bandwidth: upload: 64268 Bytes/s; download: 925 Bytes/s
Realtime bandwidth: upload: 72005 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 75497 Bytes/s; download: 887 Bytes/s
Realtime bandwidth: upload: 99572 Bytes/s; download: 927 Bytes/s
Realtime bandwidth: upload: 118279 Bytes/s; download: 921 Bytes/s
Realtime bandwidth: upload: 101592 Bytes/s; download: 927 Bytes/s
Realtime bandwidth: upload: 131633 Bytes/s; download: 923 Bytes/s
Realtime bandwidth: upload: 91419 Bytes/s; download: 981 Bytes/s
Realtime bandwidth: upload: 33355 Bytes/s; download: 978 Bytes/s
Realtime bandwidth: upload: 52295 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 49731 Bytes/s; download: 910 Bytes/s
Realtime bandwidth: upload: 69403 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 156180 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 139959 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 171696 Bytes/s; download: 956 Bytes/s
Realtime bandwidth: upload: 199482 Bytes/s; download: 1004 Bytes/s
Realtime bandwidth: upload: 195164 Bytes/s; download: 1007 Bytes/s
Realtime bandwidth: upload: 182979 Bytes/s; download: 973 Bytes/s
Realtime bandwidth: upload: 132767 Bytes/s; download: 928 Bytes/s
Realtime bandwidth: upload: 114376 Bytes/s; download: 960 Bytes/s
Realtime bandwidth: upload: 101018 Bytes/s; download: 887 Bytes/s
Realtime bandwidth: upload: 50615 Bytes/s; download: 946 Bytes/s
Realtime bandwidth: upload: 34027 Bytes/s; download: 885 Bytes/s
Realtime bandwidth: upload: 46604 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 59112 Bytes/s; download: 916 Bytes/s
Realtime bandwidth: upload: 55925 Bytes/s; download: 922 Bytes/s
Realtime bandwidth: upload: 37641 Bytes/s; download: 912 Bytes/s
Realtime bandwidth: upload: 54013 Bytes/s; download: 945 Bytes/s
Realtime bandwidth: upload: 54717 Bytes/s; download: 943 Bytes/s
Realtime bandwidth: upload: 52466 Bytes/s; download: 916 Bytes/s
Realtime bandwidth: upload: 38883 Bytes/s; download: 941 Bytes/s
Realtime bandwidth: upload: 34807 Bytes/s; download: 915 Bytes/s
Realtime bandwidth: upload: 46442 Bytes/s; download: 944 Bytes/s
Realtime bandwidth: upload: 69389 Bytes/s; download: 943 Bytes/s
Realtime bandwidth: upload: 69624 Bytes/s; download: 927 Bytes/s
Realtime bandwidth: upload: 42965 Bytes/s; download: 935 Bytes/s
Realtime bandwidth: upload: 38328 Bytes/s; download: 911 Bytes/s
Realtime bandwidth: upload: 51109 Bytes/s; download: 1031 Bytes/s
Realtime bandwidth: upload: 48718 Bytes/s; download: 1009 Bytes/s
Realtime bandwidth: upload: 89097 Bytes/s; download: 977 Bytes/s
Realtime bandwidth: upload: 49644 Bytes/s; download: 949 Bytes/s
Realtime bandwidth: upload: 60061 Bytes/s; download: 1037 Bytes/s
Realtime bandwidth: upload: 76189 Bytes/s; download: 954 Bytes/s
Realtime bandwidth: upload: 99291 Bytes/s; download: 1055 Bytes/s
Realtime bandwidth: upload: 76121 Bytes/s; download: 1019 Bytes/s
Realtime bandwidth: upload: 76962 Bytes/s; download: 954 Bytes/s
Realtime bandwidth: upload: 81311 Bytes/s; download: 1021 Bytes/s
Realtime bandwidth: upload: 76387 Bytes/s; download: 950 Bytes/s
Realtime bandwidth: upload: 63985 Bytes/s; download: 986 Bytes/s
Realtime bandwidth: upload: 96391 Bytes/s; download: 980 Bytes/s
Realtime bandwidth: upload: 99002 Bytes/s; download: 1053 Bytes/s
Realtime bandwidth: upload: 77494 Bytes/s; download: 983 Bytes/s
Realtime bandwidth: upload: 65612 Bytes/s; download: 990 Bytes/s
Realtime bandwidth: upload: 88179 Bytes/s; download: 982 Bytes/s
Realtime bandwidth: upload: 105122 Bytes/s; download: 1018 Bytes/s
Realtime bandwidth: upload: 76824 Bytes/s; download: 984 Bytes/s
Realtime bandwidth: upload: 177681 Bytes/s; download: 1047 Bytes/s
Realtime bandwidth: upload: 173918 Bytes/s; download: 1039 Bytes/s
Realtime bandwidth: upload: 111099 Bytes/s; download: 1150 Bytes/s
