Method 1: time: 1.214844242, rttSecondDerivative: 6814.4, cwndSecondDerivative: 0
Method 1: time: 1.012038513, rttSecondDerivative: 4.21731651476793e+06, cwndSecondDerivative: 7.769718426229475e+07
Method 1: time: 1.008448332, rttSecondDerivative: 2.1548949982692353e+07, cwndSecondDerivative: 8.00626130398478e+07
Method 1: time: 1.000951341, rttSecondDerivative: 3.7342070437085934e+07, cwndSecondDerivative: 8.06915775748048e+07
Method 1: time: 1.004764737, rttSecondDerivative: 5.33010988406654e+07, cwndSecondDerivative: 8.105857792621036e+07
Method 1: time: 1.004746001, rttSecondDerivative: 7.661041815073709e+07, cwndSecondDerivative: 8.12714684389547e+07
Method 1: time: 1.002935996, rttSecondDerivative: 8.49931316673575e+07, cwndSecondDerivative: 8.136082906483588e+07
Method 1: time: 1.002829796, rttSecondDerivative: 9.997204512849288e+07, cwndSecondDerivative: 8.143779288998336e+07
Method 1: time: 1.002261929, rttSecondDerivative: 1.2502853637331106e+08, cwndSecondDerivative: 8.149926497811496e+07
Method 1: time: 1.002667766, rttSecondDerivative: 1.4985273683212844e+08, cwndSecondDerivative: 8.155060650588714e+07
Method 1: time: 1.00225315, rttSecondDerivative: 1.6233404388862634e+08, cwndSecondDerivative: 8.159436883893228e+07
Method 1: time: 1.002844674, rttSecondDerivative: 1.7604888384804842e+08, cwndSecondDerivative: 8.163149015760672e+07
Method 1: time: 1.003796662, rttSecondDerivative: 2.025165728195625e+08, cwndSecondDerivative: 8.16635529204302e+07
Method 1: time: 1.002729866, rttSecondDerivative: 2.2478509921058995e+08, cwndSecondDerivative: 8.169089695487343e+07
Method 1: time: 1.001942428, rttSecondDerivative: 2.4920259772690845e+08, cwndSecondDerivative: 8.171530953579538e+07
Method 1: time: 1.000387202, rttSecondDerivative: 2.7278717275263935e+08, cwndSecondDerivative: 8.173822153011848e+07
Method 1: time: 1.004599495, rttSecondDerivative: 2.8937884923845005e+08, cwndSecondDerivative: 8.17579107319774e+07
Method 1: time: 1.002794534, rttSecondDerivative: 3.1527638150548434e+08, cwndSecondDerivative: 8.177528058374642e+07
Method 1: time: 1.00339144, rttSecondDerivative: 3.3839388613569134e+08, cwndSecondDerivative: 8.179107133334193e+07
Method 1: time: 1.003121225, rttSecondDerivative: 3.6312946780250067e+08, cwndSecondDerivative: 8.180532444837773e+07
Method 1: time: 1.002481608, rttSecondDerivative: 3.846343684324095e+08, cwndSecondDerivative: 8.181817845961443e+07
Method 1: time: 1.002952027, rttSecondDerivative: 4.002507134134492e+08, cwndSecondDerivative: 8.183010280164628e+07
Method 1: time: 1.003568887, rttSecondDerivative: 4.1584359325867605e+08, cwndSecondDerivative: 8.184144550919406e+07
Method 1: time: 1.002145308, rttSecondDerivative: 4.436778532117462e+08, cwndSecondDerivative: 8.185153004758038e+07
Method 1: time: 1.002351948, rttSecondDerivative: 4.629601797975798e+08, cwndSecondDerivative: 8.186070072672829e+07
Method 1: time: 1.003674005, rttSecondDerivative: 4.885863147916707e+08, cwndSecondDerivative: 8.186942532988252e+07
Method 1: time: 1.002898992, rttSecondDerivative: 5.086110490282517e+08, cwndSecondDerivative: 8.187763496344574e+07
Method 1: time: 1.001948571, rttSecondDerivative: 5.289727718772539e+08, cwndSecondDerivative: 8.18853286388027e+07
Method 1: time: 1.001059491, rttSecondDerivative: 5.47750774009406e+08, cwndSecondDerivative: 8.189218494204052e+07
Method 1: time: 1.00382163, rttSecondDerivative: 5.787035824558954e+08, cwndSecondDerivative: 8.189992169117199e+07
Method 1: time: 1.00394907, rttSecondDerivative: 5.900758508485883e+08, cwndSecondDerivative: 8.19088258381888e+07
Method 1: time: 1.004786079, rttSecondDerivative: 6.065694707251664e+08, cwndSecondDerivative: 8.191685106596905e+07
Method 1: time: 1.001474934, rttSecondDerivative: 6.295017222136555e+08, cwndSecondDerivative: 8.192423629384685e+07
Method 1: time: 1.003074854, rttSecondDerivative: 6.456594998029274e+08, cwndSecondDerivative: 8.193100070923468e+07
Method 1: time: 1.002201721, rttSecondDerivative: 6.631971746417928e+08, cwndSecondDerivative: 8.193706696956876e+07
Method 1: time: 1.003166961, rttSecondDerivative: 6.859800989804217e+08, cwndSecondDerivative: 8.194183879785372e+07
Method 1: time: 1.00302862, rttSecondDerivative: 7.123425953192463e+08, cwndSecondDerivative: 8.19474845873246e+07
Method 1: time: 1.002648022, rttSecondDerivative: 7.385883083085154e+08, cwndSecondDerivative: 8.195299456091085e+07
Method 1: time: 1.005928001, rttSecondDerivative: 7.588121014303793e+08, cwndSecondDerivative: 8.195802880085672e+07
Method 1: time: 1.001025901, rttSecondDerivative: 7.839244224212043e+08, cwndSecondDerivative: 8.196222654800566e+07
Method 1: time: 1.00025582, rttSecondDerivative: 8.026705838639162e+08, cwndSecondDerivative: 1.4205769006658792e+08
Method 1: time: 1.003357063, rttSecondDerivative: 8.091628509765806e+08, cwndSecondDerivative: 1.6059288738751674e+08
Method 1: time: 1.00336472, rttSecondDerivative: 8.322055487864515e+08, cwndSecondDerivative: 1.6060602333431262e+08
Method 1: time: 1.004008431, rttSecondDerivative: 8.580495381890407e+08, cwndSecondDerivative: 1.6061577901228166e+08
Method 1: time: 1.002653485, rttSecondDerivative: 8.801444674874582e+08, cwndSecondDerivative: 1.6062515794793686e+08
Method 1: time: 1.003784752, rttSecondDerivative: 9.061752367762713e+08, cwndSecondDerivative: 1.6063450491367647e+08
Method 1: time: 1.001906703, rttSecondDerivative: 9.257762079749012e+08, cwndSecondDerivative: 1.606447535053197e+08
Method 1: time: 1.003824144, rttSecondDerivative: 9.45303661209657e+08, cwndSecondDerivative: 1.6065481798076224e+08
Method 1: time: 1.001846881, rttSecondDerivative: 9.711968733348936e+08, cwndSecondDerivative: 1.606612236907592e+08
Method 1: time: 1.004287687, rttSecondDerivative: 9.968049157901988e+08, cwndSecondDerivative: 1.6066706396317825e+08
Method 1: time: 1.003157473, rttSecondDerivative: 1.0226072542235357e+09, cwndSecondDerivative: 1.6067355818595743e+08
Method 1: time: 1.004550445, rttSecondDerivative: 1.0462934433668292e+09, cwndSecondDerivative: 1.6067889963028184e+08
Method 1: time: 1.005208461, rttSecondDerivative: 1.0767027160475512e+09, cwndSecondDerivative: 1.60685106783996e+08
Method 1: time: 1.002166887, rttSecondDerivative: 1.1059238828628218e+09, cwndSecondDerivative: 1.606913468460868e+08
Method 1: time: 1.001170638, rttSecondDerivative: 1.129356996811436e+09, cwndSecondDerivative: 1.6069746269205797e+08
Method 1: time: 1.003973186, rttSecondDerivative: 1.1562319400603986e+09, cwndSecondDerivative: 1.607034818386614e+08
Method 1: time: 1.00319896, rttSecondDerivative: 1.172495071200756e+09, cwndSecondDerivative: 1.6070942788041085e+08
Method 1: time: 1.002634931, rttSecondDerivative: 1.1983159795021653e+09, cwndSecondDerivative: 1.607156690001687e+08
Method 1: time: 1.003318525, rttSecondDerivative: 1.218780278921045e+09, cwndSecondDerivative: 1.6072217824197555e+08
Method 1: time: 1.002679262, rttSecondDerivative: 1.2398896836742086e+09, cwndSecondDerivative: 1.60728131266732e+08
Method 1: time: 1.003142172, rttSecondDerivative: 1.2635668068453252e+09, cwndSecondDerivative: 1.607344521442817e+08
Method 1: time: 1.00247446, rttSecondDerivative: 1.2835917296369212e+09, cwndSecondDerivative: 1.607392819746548e+08
Method 1: time: 1.004016293, rttSecondDerivative: 1.3119957501550272e+09, cwndSecondDerivative: 1.6074284513495135e+08
Method 1: time: 1.006003687, rttSecondDerivative: 1.3258227337541018e+09, cwndSecondDerivative: 1.6074657374044204e+08
Method 1: time: 1.000788786, rttSecondDerivative: 1.3495946262110167e+09, cwndSecondDerivative: 1.6075000567372996e+08
Method 1: time: 1.001199165, rttSecondDerivative: 1.374243913865327e+09, cwndSecondDerivative: 1.6075400704766324e+08
Method 1: time: 1.003104218, rttSecondDerivative: 1.4040804641950006e+09, cwndSecondDerivative: 1.607594410844683e+08
Method 1: time: 1.003101778, rttSecondDerivative: 1.4253679832669017e+09, cwndSecondDerivative: 1.607644409329971e+08
Method 1: time: 1.003054652, rttSecondDerivative: 1.449031539304657e+09, cwndSecondDerivative: 1.6076964109421292e+08
Method 1: time: 1.002526844, rttSecondDerivative: 1.4677826011760993e+09, cwndSecondDerivative: 1.6077484570512828e+08
Method 1: time: 1.003438012, rttSecondDerivative: 1.4939746628324597e+09, cwndSecondDerivative: 1.6077984333953816e+08
Method 1: time: 1.003118294, rttSecondDerivative: 1.5075348246151397e+09, cwndSecondDerivative: 1.6078455893278047e+08
Method 1: time: 1.003515766, rttSecondDerivative: 1.526323299507103e+09, cwndSecondDerivative: 1.6078848269860783e+08
Method 1: time: 1.002751074, rttSecondDerivative: 1.5404545043068624e+09, cwndSecondDerivative: 1.6079210864682838e+08
Method 1: time: 1.001803123, rttSecondDerivative: 1.5436570742906883e+09, cwndSecondDerivative: 1.6079541990768743e+08
Method 1: time: 1.004881693, rttSecondDerivative: 1.5614288269511433e+09, cwndSecondDerivative: 1.6079776042528373e+08
Method 1: time: 1.003604564, rttSecondDerivative: 1.5748131414892912e+09, cwndSecondDerivative: 1.6079993674886626e+08
Method 1: time: 1.000771762, rttSecondDerivative: 1.5964197328393722e+09, cwndSecondDerivative: 1.6080240116848832e+08
Method 1: time: 1.003829242, rttSecondDerivative: 1.6070999282989435e+09, cwndSecondDerivative: 1.6080486803517315e+08
Method 1: time: 1.003598947, rttSecondDerivative: 1.6210128608955474e+09, cwndSecondDerivative: 1.6080719440127873e+08
Method 1: time: 1.002419913, rttSecondDerivative: 1.6247059769545956e+09, cwndSecondDerivative: 1.6080915800713396e+08
Method 1: time: 1.002964033, rttSecondDerivative: 1.646474411744174e+09, cwndSecondDerivative: 1.608112527634065e+08
Method 1: time: 1.00455985, rttSecondDerivative: 1.6563177578436391e+09, cwndSecondDerivative: 1.608133259788714e+08
Method 1: time: 1.002203557, rttSecondDerivative: 1.6563738712844584e+09, cwndSecondDerivative: 1.608152695877884e+08
Method 1: time: 1.00297618, rttSecondDerivative: 1.6629718889325187e+09, cwndSecondDerivative: 1.6081713243549377e+08
Method 1: time: 1.003065771, rttSecondDerivative: 1.6798891669760332e+09, cwndSecondDerivative: 1.60818918066496e+08
Method 1: time: 1.004946343, rttSecondDerivative: 1.69417869171158e+09, cwndSecondDerivative: 1.608208339367287e+08
Method 1: time: 1.002589408, rttSecondDerivative: 1.7105277846882029e+09, cwndSecondDerivative: 1.6082303066716948e+08
Method 1: time: 1.004345833, rttSecondDerivative: 1.7142454824524162e+09, cwndSecondDerivative: 1.6082522515621647e+08
Method 1: time: 1.006023104, rttSecondDerivative: 1.728709668334906e+09, cwndSecondDerivative: 1.608269016799745e+08
Method 1: time: 1.02103389, rttSecondDerivative: 1.7336352007281723e+09, cwndSecondDerivative: 1.6082856653014925e+08
Method 1: time: 1.002922166, rttSecondDerivative: 1.7462900436970108e+09, cwndSecondDerivative: 1.608302746989971e+08
Method 1: time: 1.003428252, rttSecondDerivative: 1.7645129579958754e+09, cwndSecondDerivative: 1.6083188752847737e+08
Method 1: time: 1.007009585, rttSecondDerivative: 1.775418884074726e+09, cwndSecondDerivative: 1.6083388721476325e+08
Method 1: time: 1.001568117, rttSecondDerivative: 1.7874811701112924e+09, cwndSecondDerivative: 1.608354355523233e+08
Method 1: time: 1.000664672, rttSecondDerivative: 1.7929747034213662e+09, cwndSecondDerivative: 1.6083717783433947e+08
Method 1: time: 1.003123362, rttSecondDerivative: 1.7996600928644428e+09, cwndSecondDerivative: 1.608392178013172e+08
Method 1: time: 1.003178233, rttSecondDerivative: 1.8128275666666796e+09, cwndSecondDerivative: 1.6084131495804363e+08
Method 1: time: 1.003458563, rttSecondDerivative: 1.8249634891685433e+09, cwndSecondDerivative: 1.6084320272095373e+08
Method 1: time: 1.003337958, rttSecondDerivative: 1.829451366887406e+09, cwndSecondDerivative: 1.6084496318413925e+08
Method 1: time: 1.002668176, rttSecondDerivative: 1.8386137068875155e+09, cwndSecondDerivative: 1.6084674711364883e+08
Method 1: time: 1.003102695, rttSecondDerivative: 1.8509986706755667e+09, cwndSecondDerivative: 1.608483886981383e+08
