Method 2: time: 1.214858325, rttEMAVariance: 4.854860340440603, cwndEMAVariance: 0
Method 2: time: 1.012088107, rttEMAVariance: 553.5360210490414, cwndEMAVariance: 1.865955999998288e-54
Method 2: time: 1.008482254, rttEMAVariance: 211.30956087979527, cwndEMAVariance: 0
Method 2: time: 1.001024654, rttEMAVariance: 55.13901768473018, cwndEMAVariance: 0
Method 2: time: 1.004795989, rttEMAVariance: 5.0689327180204815, cwndEMAVariance: 0
Method 2: time: 1.004766085, rttEMAVariance: 3.865117347017729, cwndEMAVariance: 0
Method 2: time: 1.002955728, rttEMAVariance: 2.286119447384563, cwndEMAVariance: 0
Method 2: time: 1.002850383, rttEMAVariance: 0.024963759289720954, cwndEMAVariance: 0
Method 2: time: 1.002287784, rttEMAVariance: 0.17730178470312474, cwndEMAVariance: 0
Method 2: time: 1.0027328, rttEMAVariance: 0.3931252158051125, cwndEMAVariance: 0
Method 2: time: 1.002288031, rttEMAVariance: 0.6083938909211779, cwndEMAVariance: 0
Method 2: time: 1.002872698, rttEMAVariance: 64.39672723890905, cwndEMAVariance: 0
Method 2: time: 1.003872111, rttEMAVariance: 388.0907720422131, cwndEMAVariance: 0
Method 2: time: 1.002758722, rttEMAVariance: 261.6486759671533, cwndEMAVariance: 0
Method 2: time: 1.001973091, rttEMAVariance: 625.2018801531952, cwndEMAVariance: 0
Method 2: time: 1.000420081, rttEMAVariance: 264.6170732902029, cwndEMAVariance: 0
Method 2: time: 1.004631357, rttEMAVariance: 5.472055648486785, cwndEMAVariance: 0
Method 2: time: 1.002827916, rttEMAVariance: 269.6749413305951, cwndEMAVariance: 0
Method 2: time: 1.003441431, rttEMAVariance: 191.07755590857727, cwndEMAVariance: 0
Method 2: time: 1.003154809, rttEMAVariance: 35.367219772696195, cwndEMAVariance: 0
Method 2: time: 1.002521524, rttEMAVariance: 0.013938548666282372, cwndEMAVariance: 0
Method 2: time: 1.003058533, rttEMAVariance: 67.43917200591905, cwndEMAVariance: 0
Method 2: time: 1.003609566, rttEMAVariance: 0.06656289673538011, cwndEMAVariance: 0
Method 2: time: 1.002189128, rttEMAVariance: 0.09985497295450803, cwndEMAVariance: 0
Method 2: time: 1.0023924, rttEMAVariance: 0.07896053218235263, cwndEMAVariance: 0
Method 2: time: 1.003721258, rttEMAVariance: 435.3590323121159, cwndEMAVariance: 0
Method 2: time: 1.00293792, rttEMAVariance: 128.30388027589134, cwndEMAVariance: 0
Method 2: time: 1.001994758, rttEMAVariance: 1.6624344278983514, cwndEMAVariance: 0
Method 2: time: 1.001106211, rttEMAVariance: 992.8051227869593, cwndEMAVariance: 0
Method 2: time: 1.003864789, rttEMAVariance: 0.19009409904685223, cwndEMAVariance: 0
Method 2: time: 1.003993145, rttEMAVariance: 1.0609003985747206e-05, cwndEMAVariance: 0
Method 2: time: 1.004833199, rttEMAVariance: 0.011971588456264174, cwndEMAVariance: 0
Method 2: time: 1.001586533, rttEMAVariance: 5.4289000458904475e-05, cwndEMAVariance: 0
Method 2: time: 1.003193783, rttEMAVariance: 5.324739617235134e-07, cwndEMAVariance: 0
Method 2: time: 1.002248998, rttEMAVariance: 0.0008463991602609085, cwndEMAVariance: 0
Method 2: time: 1.003330661, rttEMAVariance: 0.00033292899469553175, cwndEMAVariance: 0
Method 2: time: 1.003119171, rttEMAVariance: 0.0005490809952071675, cwndEMAVariance: 0
Method 2: time: 1.002746858, rttEMAVariance: 732.2040320832609, cwndEMAVariance: 0
Method 2: time: 1.006011799, rttEMAVariance: 158.40005639816974, cwndEMAVariance: 0
Method 2: time: 1.00108008, rttEMAVariance: 0.06723737750986662, cwndEMAVariance: 0
Method 2: time: 1.000449256, rttEMAVariance: 164.799360000694, cwndEMAVariance: 2.0764810000637286e-91
Method 2: time: 1.003468203, rttEMAVariance: 137.7377100477373, cwndEMAVariance: 2.076480999999916e-130
Method 2: time: 1.003416033, rttEMAVariance: 0.24648975332455678, cwndEMAVariance: 0
Method 2: time: 1.004069207, rttEMAVariance: 0.0012188159809637116, cwndEMAVariance: 0
Method 2: time: 1.002829817, rttEMAVariance: 0.0002218410794341574, cwndEMAVariance: 0
Method 2: time: 1.003976361, rttEMAVariance: 0.0012180117586164396, cwndEMAVariance: 0
Method 2: time: 1.001968109, rttEMAVariance: 163.18763987390784, cwndEMAVariance: 0
Method 2: time: 1.00401358, rttEMAVariance: 5.3292468466655905e-06, cwndEMAVariance: 0
Method 2: time: 1.001904767, rttEMAVariance: 5919.163975301148, cwndEMAVariance: 0
Method 2: time: 1.004457359, rttEMAVariance: 134.9189140531597, cwndEMAVariance: 0
Method 2: time: 1.003326096, rttEMAVariance: 232.01343282500747, cwndEMAVariance: 0
Method 2: time: 1.004741041, rttEMAVariance: 549.4741467014471, cwndEMAVariance: 0
Method 2: time: 1.005395366, rttEMAVariance: 27.610646171525268, cwndEMAVariance: 0
Method 2: time: 1.002344183, rttEMAVariance: 0.011356930430319722, cwndEMAVariance: 0
Method 2: time: 1.00136228, rttEMAVariance: 0.3500637496039077, cwndEMAVariance: 0
Method 2: time: 1.004138158, rttEMAVariance: 621.9638108688374, cwndEMAVariance: 0
Method 2: time: 1.003403186, rttEMAVariance: 0.012927688068952036, cwndEMAVariance: 0
Method 2: time: 1.002794582, rttEMAVariance: 0.00018576099874411102, cwndEMAVariance: 0
Method 2: time: 1.003446698, rttEMAVariance: 9.796928870378933e-06, cwndEMAVariance: 0
Method 2: time: 1.002743421, rttEMAVariance: 6.249999370763345e-06, cwndEMAVariance: 0
Method 2: time: 1.003360072, rttEMAVariance: 2.830239999971199e-07, cwndEMAVariance: 0
Method 2: time: 1.002746712, rttEMAVariance: 12.201740335292136, cwndEMAVariance: 0
Method 2: time: 1.004218766, rttEMAVariance: 933.4065494881611, cwndEMAVariance: 0
Method 2: time: 1.006103725, rttEMAVariance: 36.495388935272985, cwndEMAVariance: 0
Method 2: time: 1.000868855, rttEMAVariance: 0.5013905274451382, cwndEMAVariance: 0
Method 2: time: 1.001315017, rttEMAVariance: 0.2819581905213718, cwndEMAVariance: 0
Method 2: time: 1.003527582, rttEMAVariance: 2.8836899999968352e-08, cwndEMAVariance: 0
Method 2: time: 1.003188597, rttEMAVariance: 0.0030470396964660342, cwndEMAVariance: 0
Method 2: time: 1.003213225, rttEMAVariance: 0.0029549609704496364, cwndEMAVariance: 0
Method 2: time: 1.002606906, rttEMAVariance: 1.0304099999029425e-07, cwndEMAVariance: 0
Method 2: time: 1.003536386, rttEMAVariance: 1.2960000221869959e-08, cwndEMAVariance: 0
Method 2: time: 1.003285586, rttEMAVariance: 24.09264078822168, cwndEMAVariance: 0
Method 2: time: 1.003711299, rttEMAVariance: 1.4288400507122814e-05, cwndEMAVariance: 0
Method 2: time: 1.002863582, rttEMAVariance: 0.4000488746415324, cwndEMAVariance: 0
Method 2: time: 1.002106522, rttEMAVariance: 33.489010651651796, cwndEMAVariance: 0
Method 2: time: 1.005073966, rttEMAVariance: 0.4972420396890111, cwndEMAVariance: 0
Method 2: time: 1.003934239, rttEMAVariance: 137.7275064573186, cwndEMAVariance: 0
Method 2: time: 1.000853555, rttEMAVariance: 0.7727627163042882, cwndEMAVariance: 0
Method 2: time: 1.003978003, rttEMAVariance: 0.0012320987730473972, cwndEMAVariance: 0
Method 2: time: 1.003705158, rttEMAVariance: 3.382225909107262, cwndEMAVariance: 0
Method 2: time: 1.002513999, rttEMAVariance: 0.015208506038170828, cwndEMAVariance: 0
Method 2: time: 1.003071296, rttEMAVariance: 0.015687139508458594, cwndEMAVariance: 0
Method 2: time: 1.004776057, rttEMAVariance: 0.014646897054079297, cwndEMAVariance: 0
Method 2: time: 1.002286671, rttEMAVariance: 2.5016849907124448e-05, cwndEMAVariance: 0
Method 2: time: 1.003094786, rttEMAVariance: 0.010608897092819555, cwndEMAVariance: 0
Method 2: time: 1.003222966, rttEMAVariance: 0.09548007907649028, cwndEMAVariance: 0
Method 2: time: 1.005092499, rttEMAVariance: 154.1634604001636, cwndEMAVariance: 0
Method 2: time: 1.002820852, rttEMAVariance: 34.2500232167657, cwndEMAVariance: 0
Method 2: time: 1.004436754, rttEMAVariance: 6.8225032656825855, cwndEMAVariance: 0
Method 2: time: 1.006341196, rttEMAVariance: 15.973954082910085, cwndEMAVariance: 0
Method 2: time: 1.021137199, rttEMAVariance: 0.03960075713777913, cwndEMAVariance: 0
Method 2: time: 1.003038944, rttEMAVariance: 0.02507057611297843, cwndEMAVariance: 0
Method 2: time: 1.00356784, rttEMAVariance: 57.5212874183417, cwndEMAVariance: 0
Method 2: time: 1.007125691, rttEMAVariance: 216.03452368608473, cwndEMAVariance: 0
Method 2: time: 1.001688988, rttEMAVariance: 0.7452182663623035, cwndEMAVariance: 0
Method 2: time: 1.00077844, rttEMAVariance: 5.7759996708942384e-05, cwndEMAVariance: 0
Method 2: time: 1.003248921, rttEMAVariance: 0.00515289484661859, cwndEMAVariance: 0
Method 2: time: 1.003349526, rttEMAVariance: 0.0001512899849184338, cwndEMAVariance: 0
Method 2: time: 1.00358341, rttEMAVariance: 2.5680504218552658, cwndEMAVariance: 0
Method 2: time: 1.00367572, rttEMAVariance: 4.840027165495247e-06, cwndEMAVariance: 0
Method 2: time: 1.002932067, rttEMAVariance: 0.041226283005848616, cwndEMAVariance: 0
Method 2: time: 1.003242117, rttEMAVariance: 0.00012602667099492526, cwndEMAVariance: 0
Method 2: time: 1.004462852, rttEMAVariance: 5.7120999449481125e-05, cwndEMAVariance: 0
Method 2: time: 1.001728441, rttEMAVariance: 4.761000192154702e-08, cwndEMAVariance: 0
Method 2: time: 1.005206916, rttEMAVariance: 24.714365987648193, cwndEMAVariance: 0
Method 2: time: 1.006983106, rttEMAVariance: 167.23178988166234, cwndEMAVariance: 0
Method 2: time: 1.001901144, rttEMAVariance: 0.012040892142590876, cwndEMAVariance: 0
Method 2: time: 1.004916744, rttEMAVariance: 34.61931013401545, cwndEMAVariance: 0
Method 2: time: 1.000788341, rttEMAVariance: 0.0038439615789236936, cwndEMAVariance: 0
Method 2: time: 1.002097618, rttEMAVariance: 25.281404495916668, cwndEMAVariance: 0
Method 2: time: 1.005067327, rttEMAVariance: 4.4099999996891335e-07, cwndEMAVariance: 0
Method 2: time: 1.002898708, rttEMAVariance: 8.999999910300304e-05, cwndEMAVariance: 2.0764810000042074e-242
Method 2: time: 1.003773945, rttEMAVariance: 6.656400156285741e-05, cwndEMAVariance: 0
Method 2: time: 1.003945583, rttEMAVariance: 0.0006150421857001955, cwndEMAVariance: 0
Method 2: time: 1.004969102, rttEMAVariance: 6.399999937406992e-08, cwndEMAVariance: 0
Method 2: time: 1.001990873, rttEMAVariance: 4.313926863797461, cwndEMAVariance: 0
Method 2: time: 1.003699391, rttEMAVariance: 0.0781653740163653, cwndEMAVariance: 0
Method 2: time: 1.004118107, rttEMAVariance: 1.6648641188503523, cwndEMAVariance: 0
Method 2: time: 1.001963463, rttEMAVariance: 832.4786638714268, cwndEMAVariance: 0
Method 2: time: 1.002756432, rttEMAVariance: 44.91547701431829, cwndEMAVariance: 0
Method 2: time: 1.007009199, rttEMAVariance: 1.5860187618030137, cwndEMAVariance: 0
Method 2: time: 1.002815704, rttEMAVariance: 0.9206827208609553, cwndEMAVariance: 0
Method 2: time: 1.002613, rttEMAVariance: 0.0003480996520114717, cwndEMAVariance: 0
Method 2: time: 1.003087607, rttEMAVariance: 1.5625005198268452e-05, cwndEMAVariance: 0
Method 2: time: 1.004165093, rttEMAVariance: 4.096001162406623e-06, cwndEMAVariance: 0
Method 2: time: 1.003841132, rttEMAVariance: 0.08019767165999878, cwndEMAVariance: 0
Method 2: time: 1.00284801, rttEMAVariance: 0.0001474562854978101, cwndEMAVariance: 0
Method 2: time: 1.005506497, rttEMAVariance: 8.482431205966756e-05, cwndEMAVariance: 0
Method 2: time: 1.00318841, rttEMAVariance: 0.6694414481994512, cwndEMAVariance: 0
