Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1721
3,0,40960,1764
4,0,40960,1797
5,0,40960,2946
6,0,40960,2946
7,201852,40960,517
8,202280,40960,76
9,202280,40960,320
10,202508,40960,244
11,202508,40960,447
12,202508,40960,442
13,202508,40960,437
14,202259,40960,198
15,202053,40960,0
16,202053,40960,53
17,201866,40960,0
18,201866,40960,40
19,201866,40960,67
20,201713,40960,0
21,201713,40960,1366
22,204679,40960,0
23,204679,40960,783
24,204679,40960,810
25,204162,40960,0
26,204162,40960,33
27,204162,40960,125
28,204162,40960,216
29,204162,40960,307
30,204162,40960,397
31,204162,40960,489
32,204162,40960,580
33,204162,40960,670
34,204162,40960,761
35,204162,40960,854
36,204162,40960,947
37,204162,40960,1041
38,204162,40960,1135
39,204162,40960,1229
40,204162,40960,1324
41,204162,40960,1419
42,204162,40960,1514
43,204162,40960,1609
44,204162,40960,1704
45,204162,40960,1799
46,204162,40960,1894
47,204162,40960,1989
48,203905,40960,1956
49,203905,40960,1990
50,203477,40960,1807
51,203477,40960,2267
52,203477,40960,2362
53,203477,40960,2457
54,203477,40960,2552
55,203107,40960,2371
56,203107,40960,2467
57,203107,40960,2562
58,203107,40960,3460
59,202806,40960,3277
60,202806,40960,3388
61,202806,40960,3482
62,202488,40960,3301
63,202488,40960,3640
64,202488,40960,3736
65,202488,40960,3833
66,202213,40960,3647
67,202213,40960,3742
68,202213,40960,3839
69,201972,40960,3651
70,201972,40960,4069
71,201972,40960,4165
72,201972,40960,4264
73,201777,40960,4075
74,201777,40960,4174
75,201777,40960,4540
76,201777,40960,4637
77,201600,40960,4447
78,201600,40960,4543
79,201600,40960,4645
80,201438,40960,4455
81,201438,40960,4754
82,201438,40960,4849
83,201438,40960,4944
84,201438,40960,5039
85,201296,40960,4849
86,201170,40960,4720
87,201170,40960,4815
88,201170,40960,4910
89,201170,40960,5235
90,201093,40960,4680
91,201004,40960,4490
92,201004,40960,4585
93,201004,40960,4682
94,200928,40960,4491
95,200928,40960,4853
96,200928,40960,6262
97,200928,40960,6356
98,200928,40960,6449
99,200858,40960,5440
100,200858,40960,5534
101,200858,40960,5631
102,200858,40960,6050
103,200816,40960,5617
104,200773,40960,5424
105,200773,40960,5520
106,200773,40960,5614
107,200717,40960,5422
108,200717,40960,5735
109,200717,40960,5830
110,200717,40960,5924
111,200672,40960,5410
112,200672,40960,5506
113,200672,40960,5604
114,200672,40960,5702
115,200684,40960,5504
116,200633,40960,5041
117,200633,40960,5446
118,200633,40960,5549
119,200633,40960,5645
120,200595,40960,5447
121,200595,40960,5856
122,200595,40960,5952
123,200595,40960,6048
124,200579,40960,5654
125,200563,40960,5464
126,200563,40960,5560
127,200563,40960,5656
128,200526,40960,5466
129,200526,40960,5827
130,200526,40960,5923
131,200526,40960,6019
132,200533,40960,5599
133,200533,40960,5695
