Updated metrics: rtt=0, cwnd=40960, bytesInFlight=131, packetsInFlight=1
Updated metrics: rtt=0, cwnd=40960, bytesInFlight=1280, packetsInFlight=2
Updated metrics: rtt=0, cwnd=40960, bytesInFlight=1721, packetsInFlight=3
Updated metrics: rtt=0, cwnd=40960, bytesInFlight=1764, packetsInFlight=4
Updated metrics: rtt=0, cwnd=40960, bytesInFlight=1797, packetsInFlight=5
Updated metrics: rtt=0, cwnd=40960, bytesInFlight=2946, packetsInFlight=5
Updated metrics: rtt=0, cwnd=40960, bytesInFlight=2946, packetsInFlight=5
Updated metrics: rtt=201852, cwnd=40960, bytesInFlight=517, packetsInFlight=3
Updated metrics: rtt=202280, cwnd=40960, bytesInFlight=76, packetsInFlight=2
Updated metrics: rtt=202280, cwnd=40960, bytesInFlight=320, packetsInFlight=3
Updated metrics: rtt=202508, cwnd=40960, bytesInFlight=244, packetsInFlight=1
Updated metrics: rtt=202508, cwnd=40960, bytesInFlight=447, packetsInFlight=2
Updated metrics: rtt=202508, cwnd=40960, bytesInFlight=442, packetsInFlight=4
Updated metrics: rtt=202508, cwnd=40960, bytesInFlight=437, packetsInFlight=3
Updated metrics: rtt=202259, cwnd=40960, bytesInFlight=198, packetsInFlight=1
Updated metrics: rtt=202053, cwnd=40960, bytesInFlight=0, packetsInFlight=0
Updated metrics: rtt=202053, cwnd=40960, bytesInFlight=53, packetsInFlight=1
Updated metrics: rtt=201866, cwnd=40960, bytesInFlight=0, packetsInFlight=0
Updated metrics: rtt=201866, cwnd=40960, bytesInFlight=40, packetsInFlight=1
Updated metrics: rtt=201866, cwnd=40960, bytesInFlight=67, packetsInFlight=2
Updated metrics: rtt=201713, cwnd=40960, bytesInFlight=0, packetsInFlight=0
Updated metrics: rtt=201713, cwnd=40960, bytesInFlight=1366, packetsInFlight=1
Updated metrics: rtt=204679, cwnd=40960, bytesInFlight=0, packetsInFlight=0
Updated metrics: rtt=204679, cwnd=40960, bytesInFlight=783, packetsInFlight=1
Updated metrics: rtt=204679, cwnd=40960, bytesInFlight=810, packetsInFlight=2
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=0, packetsInFlight=0
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=33, packetsInFlight=1
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=125, packetsInFlight=2
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=216, packetsInFlight=3
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=307, packetsInFlight=4
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=397, packetsInFlight=5
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=489, packetsInFlight=6
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=580, packetsInFlight=7
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=670, packetsInFlight=8
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=761, packetsInFlight=9
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=854, packetsInFlight=10
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=947, packetsInFlight=11
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=1041, packetsInFlight=12
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=1135, packetsInFlight=13
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=1229, packetsInFlight=14
Updated metrics: rtt=204162, cwnd=40960, bytesInFlight=1324, packetsInFlight=15
