Time (s),Upload (Bps),Download (Bps)
0,1117,601
1,5494,1366
2,29164,1551
3,28010,1151
4,27319,1130
5,30616,1047
6,30603,1213
7,27717,1073
8,28117,1240
9,27024,1243
10,22686,974
11,25522,1156
12,23564,1161
13,23103,1139
14,26824,1098
15,20872,1071
16,18793,1037
17,33388,1278
18,26191,1126
19,25361,1129
20,27555,1147
21,24371,1223
22,26930,1114
23,26755,1137
24,24766,1369
25,26153,1037
26,25362,1024
27,25515,1047
28,26103,1111
29,29045,1254
30,24571,1042
31,24670,1028
32,24304,1018
33,25019,1055
34,24385,1024
35,24822,1016
36,24688,1165
37,22876,1114
38,25548,1142
39,24605,989
40,25402,1141
41,33185,1102
42,28686,1315
43,26625,1030
44,25574,1164
45,25902,1138
46,27894,1138
47,25690,1278
48,26756,1145
49,24977,1096
50,17363,940
51,20765,911
52,22527,1081
53,19099,1021
54,28818,1256
55,25040,1176
56,24842,1014
57,32161,997
58,27968,1130
59,29118,1147
60,25744,1150
61,25145,1054
62,28684,1059
63,18508,1046
64,17490,908
65,34758,1409
66,22916,1150
67,33431,1335
68,30998,1015
69,25979,1154
70,25337,1087
71,24618,1084
72,27156,1107
73,26078,1303
74,25317,1011
75,23874,1013
76,24208,1030
77,21552,1061
78,18909,1024
79,22985,1170
80,24135,1100
81,22327,1146
82,20400,984
83,29368,1191
84,22722,1022
85,26162,1403
86,21157,1107
87,20517,986
88,25065,1156
89,25237,981
90,24107,1056
91,21594,1041
92,22280,1136
93,29113,955
94,24070,1012
95,36009,1121
96,24553,1191
97,31758,1405
98,24401,1028
99,29967,1021
100,23800,1040
101,25953,1141
102,26379,1034
103,26243,1079
104,26273,1058
105,27150,1016
106,29648,1213
107,26152,1117
108,25951,1115
109,26291,1058
110,24583,1021
111,34289,1225
112,28377,996
113,26834,1050
114,33041,1242
115,23396,1147
116,25717,1028
117,21742,986
118,21813,1023
119,24063,1286
120,32574,1431
121,26454,1254
122,23180,1173
123,26493,1304
124,25946,1158
125,25360,1144
126,28292,1397
127,26365,1321
128,30511,1288
129,25179,1077
130,23718,1105
131,29439,1353
132,25072,1131
133,25431,1103
134,23967,1093
135,28665,1236
136,26762,1215
137,22370,1171
138,24313,1280
139,25045,1352
140,21164,1086
141,19339,1050
142,26377,1186
143,27661,841
144,25651,857
