Method 1: time: 1.104576494, rttSecondDerivative: 374554.4, cwndSecondDerivative: 0
Method 1: time: 1.002995644, rttSecondDerivative: 9.815747979166655e+06, cwndSecondDerivative: 0
Method 1: time: 1.006771957, rttSecondDerivative: 2.8792160495833203e+07, cwndSecondDerivative: 1.503836284372473e+08
Method 1: time: 1.009463695, rttSecondDerivative: 4.817113949397616e+07, cwndSecondDerivative: 2.2395524349763206e+08
Method 1: time: 1.00312901, rttSecondDerivative: 6.5420426667802185e+07, cwndSecondDerivative: 2.6002259384679592e+08
Method 1: time: 1.000241855, rttSecondDerivative: 8.9501120701847e+07, cwndSecondDerivative: 2.8211820013594455e+08
Method 1: time: 1.003959932, rttSecondDerivative: 1.0772370515585947e+08, cwndSecondDerivative: 3.1717253234312236e+08
Method 1: time: 1.005077459, rttSecondDerivative: 1.1909263744880147e+08, cwndSecondDerivative: 3.5189455121957356e+08
Method 1: time: 1.002852973, rttSecondDerivative: 1.3660536148699012e+08, cwndSecondDerivative: 3.935098274276472e+08
Method 1: time: 1.002302836, rttSecondDerivative: 1.573666925349347e+08, cwndSecondDerivative: 4.377516599297827e+08
Method 1: time: 1.003522282, rttSecondDerivative: 1.750217457902762e+08, cwndSecondDerivative: 4.5586571655599016e+08
Method 1: time: 1.002383024, rttSecondDerivative: 1.963092047205491e+08, cwndSecondDerivative: 4.7922877118139726e+08
Method 1: time: 1.003080297, rttSecondDerivative: 2.1510662184420773e+08, cwndSecondDerivative: 4.996340976812483e+08
Method 1: time: 1.002249474, rttSecondDerivative: 2.3350907946106723e+08, cwndSecondDerivative: 5.1813555399622947e+08
Method 1: time: 1.001957735, rttSecondDerivative: 2.553178613503126e+08, cwndSecondDerivative: 5.481767632586488e+08
Method 1: time: 1.003616356, rttSecondDerivative: 2.7712434576305765e+08, cwndSecondDerivative: 5.677586126696705e+08
Method 1: time: 1.003308484, rttSecondDerivative: 3.0761982719173837e+08, cwndSecondDerivative: 5.851474231139197e+08
Method 1: time: 1.000235135, rttSecondDerivative: 3.264925036677488e+08, cwndSecondDerivative: 6.346028173794324e+08
Method 1: time: 1.000383162, rttSecondDerivative: 3.2734853237165374e+08, cwndSecondDerivative: 6.615838305828587e+08
Method 1: time: 1.002305176, rttSecondDerivative: 3.392877633702349e+08, cwndSecondDerivative: 6.889436467805976e+08
Method 1: time: 1.006993594, rttSecondDerivative: 3.4995022747302854e+08, cwndSecondDerivative: 7.149595898553162e+08
Method 1: time: 1.003456289, rttSecondDerivative: 3.7104004284367234e+08, cwndSecondDerivative: 7.532522622523377e+08
Method 1: time: 1.00235842, rttSecondDerivative: 3.8461801507682467e+08, cwndSecondDerivative: 7.915838073306028e+08
Method 1: time: 1.00392737, rttSecondDerivative: 4.0449186782228214e+08, cwndSecondDerivative: 8.131133938354789e+08
Method 1: time: 1.001597093, rttSecondDerivative: 4.0725515397641146e+08, cwndSecondDerivative: 8.582023302557217e+08
Method 1: time: 1.002907699, rttSecondDerivative: 4.079468692929324e+08, cwndSecondDerivative: 8.830818810070297e+08
Method 1: time: 1.002852655, rttSecondDerivative: 4.167912455863141e+08, cwndSecondDerivative: 9.049752728979527e+08
Method 1: time: 1.002361929, rttSecondDerivative: 4.333490374618843e+08, cwndSecondDerivative: 9.223318110821638e+08
Method 1: time: 1.007718629, rttSecondDerivative: 4.405968732184992e+08, cwndSecondDerivative: 9.48420015021585e+08
Method 1: time: 1.002601002, rttSecondDerivative: 4.411653664057542e+08, cwndSecondDerivative: 9.773040220329522e+08
Method 1: time: 1.001661918, rttSecondDerivative: 4.4566553030808365e+08, cwndSecondDerivative: 9.951063784952489e+08
Method 1: time: 1.000151879, rttSecondDerivative: 4.621462229983024e+08, cwndSecondDerivative: 1.0132617778405263e+09
Method 1: time: 1.001910378, rttSecondDerivative: 4.804958950411805e+08, cwndSecondDerivative: 1.0311971138554506e+09
Method 1: time: 1.003031763, rttSecondDerivative: 4.885617240962258e+08, cwndSecondDerivative: 1.0473413003492658e+09
Method 1: time: 1.003785248, rttSecondDerivative: 5.0052151030179924e+08, cwndSecondDerivative: 1.0674284843559208e+09
Method 1: time: 1.001783911, rttSecondDerivative: 5.053368035490363e+08, cwndSecondDerivative: 1.08889277532781e+09
Method 1: time: 1.003813871, rttSecondDerivative: 5.1831358332425684e+08, cwndSecondDerivative: 1.105974249074854e+09
Method 1: time: 1.003291483, rttSecondDerivative: 5.3598218833698654e+08, cwndSecondDerivative: 1.1267598213638983e+09
Method 1: time: 1.003148136, rttSecondDerivative: 5.474955028398004e+08, cwndSecondDerivative: 1.1487338189909766e+09
Method 1: time: 1.000622519, rttSecondDerivative: 5.507199343417214e+08, cwndSecondDerivative: 1.1661402636102824e+09
Method 1: time: 1.004742941, rttSecondDerivative: 5.733027018202085e+08, cwndSecondDerivative: 1.1850796199670491e+09
Method 1: time: 1.004267621, rttSecondDerivative: 5.91662198338764e+08, cwndSecondDerivative: 1.2114062582362509e+09
Method 1: time: 1.000550773, rttSecondDerivative: 6.069288113090866e+08, cwndSecondDerivative: 1.255800228151027e+09
Method 1: time: 1.003495935, rttSecondDerivative: 6.27820378510903e+08, cwndSecondDerivative: 1.2762953152371109e+09
Method 1: time: 1.002569248, rttSecondDerivative: 6.345585155878055e+08, cwndSecondDerivative: 1.310982985542627e+09
Method 1: time: 1.002151877, rttSecondDerivative: 6.478516378329268e+08, cwndSecondDerivative: 1.332616391995403e+09
Method 1: time: 1.00328487, rttSecondDerivative: 6.594987374030625e+08, cwndSecondDerivative: 1.3551966738009648e+09
Method 1: time: 1.00369861, rttSecondDerivative: 6.842257163958772e+08, cwndSecondDerivative: 1.3943096034874513e+09
Method 1: time: 1.002157206, rttSecondDerivative: 6.964815417032473e+08, cwndSecondDerivative: 1.4166641476854239e+09
Method 1: time: 1.003718617, rttSecondDerivative: 7.066976080470204e+08, cwndSecondDerivative: 1.4482051983297987e+09
Method 1: time: 1.002619097, rttSecondDerivative: 7.189700777915639e+08, cwndSecondDerivative: 1.448207453551615e+09
Method 1: time: 1.002609677, rttSecondDerivative: 7.345229882664127e+08, cwndSecondDerivative: 1.4502962442494767e+09
Method 1: time: 1.003827983, rttSecondDerivative: 7.44552920068373e+08, cwndSecondDerivative: 1.4667525866531558e+09
Method 1: time: 1.002984803, rttSecondDerivative: 7.483686141445312e+08, cwndSecondDerivative: 1.48044202119289e+09
Method 1: time: 1.001795688, rttSecondDerivative: 7.594918897953005e+08, cwndSecondDerivative: 1.5080742598853073e+09
Method 1: time: 1.002433069, rttSecondDerivative: 7.759467536368489e+08, cwndSecondDerivative: 1.543979518791021e+09
Method 1: time: 1.00359339, rttSecondDerivative: 7.932370626668391e+08, cwndSecondDerivative: 1.565206109640611e+09
Method 1: time: 1.023521142, rttSecondDerivative: 7.968351768279214e+08, cwndSecondDerivative: 1.595537079190676e+09
Method 1: time: 1.004471755, rttSecondDerivative: 8.005512169234997e+08, cwndSecondDerivative: 1.620817885703808e+09
Method 1: time: 1.000819382, rttSecondDerivative: 8.179388465095205e+08, cwndSecondDerivative: 1.6446421239799523e+09
Method 1: time: 1.003942171, rttSecondDerivative: 8.226391819666933e+08, cwndSecondDerivative: 1.6783604383099282e+09
Method 1: time: 1.004018292, rttSecondDerivative: 8.402166411052786e+08, cwndSecondDerivative: 1.6965129049354682e+09
Method 1: time: 1.001566974, rttSecondDerivative: 8.466909320886443e+08, cwndSecondDerivative: 1.7186253923251274e+09
Method 1: time: 1.003004685, rttSecondDerivative: 8.646762191938865e+08, cwndSecondDerivative: 1.733783502526336e+09
Method 1: time: 1.003624404, rttSecondDerivative: 8.690922189910207e+08, cwndSecondDerivative: 1.7379541136523552e+09
Method 1: time: 1.002667591, rttSecondDerivative: 8.725909058667384e+08, cwndSecondDerivative: 1.7764367240359247e+09
Method 1: time: 1.002202495, rttSecondDerivative: 8.869953016809614e+08, cwndSecondDerivative: 1.8194364243281794e+09
Method 1: time: 1.002588455, rttSecondDerivative: 8.90498594800283e+08, cwndSecondDerivative: 1.8554832294565628e+09
Method 1: time: 1.005233319, rttSecondDerivative: 8.907795634903265e+08, cwndSecondDerivative: 1.8848682107096963e+09
Method 1: time: 1.003172729, rttSecondDerivative: 9.135895267119429e+08, cwndSecondDerivative: 1.906438043533588e+09
Method 1: time: 1.003117424, rttSecondDerivative: 9.233303686510774e+08, cwndSecondDerivative: 1.9321517974164279e+09
Method 1: time: 1.002707863, rttSecondDerivative: 9.344227384653989e+08, cwndSecondDerivative: 1.953045149560782e+09
Method 1: time: 1.003242593, rttSecondDerivative: 9.476582186484824e+08, cwndSecondDerivative: 1.9805414581383321e+09
Method 1: time: 1.001964022, rttSecondDerivative: 9.594510392132845e+08, cwndSecondDerivative: 2.0197307008337853e+09
