Method 2: time: 1.104606597, rttEMAVariance: 328.3770188335697, cwndEMAVariance: 0
Method 2: time: 1.00303342, rttEMAVariance: 1232.147280385335, cwndEMAVariance: 0
Method 2: time: 1.00681347, rttEMAVariance: 795.8478491541279, cwndEMAVariance: 1.5099494399999234e-50
Method 2: time: 1.009485291, rttEMAVariance: 3194.1250561630973, cwndEMAVariance: 7.399440399999753e-44
Method 2: time: 1.003144779, rttEMAVariance: 58.03927415408102, cwndEMAVariance: 3.625244099999965e-43
Method 2: time: 1.000292165, rttEMAVariance: 2893.1456756762927, cwndEMAVariance: 18688.329000058133
Method 2: time: 1.004257919, rttEMAVariance: 6.910012885021601, cwndEMAVariance: 0.00020764809979234268
Method 2: time: 1.005101516, rttEMAVariance: 0.29384745733203976, cwndEMAVariance: 0.00020764809979235214
Method 2: time: 1.002875765, rttEMAVariance: 4.379453830578142, cwndEMAVariance: 6.916900000000433e-11
Method 2: time: 1.002385916, rttEMAVariance: 113.14200449438692, cwndEMAVariance: 1.3438707102563944e-12
Method 2: time: 1.003594675, rttEMAVariance: 0.18922377786273803, cwndEMAVariance: 2.0764809999793405e-06
Method 2: time: 1.002410394, rttEMAVariance: 0.1398748237470822, cwndEMAVariance: 1.7065161000000954e-47
Method 2: time: 1.003156267, rttEMAVariance: 90.31771080178972, cwndEMAVariance: 2055.7161900000056
Method 2: time: 1.002275287, rttEMAVariance: 0.03117048139802443, cwndEMAVariance: 2.6994001745799063
Method 2: time: 1.001989804, rttEMAVariance: 8893.379678022704, cwndEMAVariance: 8.543928999914233e-06
Method 2: time: 1.003646456, rttEMAVariance: 127.5920984330551, cwndEMAVariance: 2.0764809999999253e-09
Method 2: time: 1.003339283, rttEMAVariance: 510.37966357209376, cwndEMAVariance: 1.3227768999991582e-48
Method 2: time: 1.000267099, rttEMAVariance: 95.13900033656847, cwndEMAVariance: 5.387146389989793e-07
Method 2: time: 1.000417225, rttEMAVariance: 17.47323539516225, cwndEMAVariance: 2.0764810000000025e-10
Method 2: time: 1.002335946, rttEMAVariance: 0.20740556290651352, cwndEMAVariance: 7.650756000000143e-13
Method 2: time: 1.007025428, rttEMAVariance: 1.591879361590549e-05, cwndEMAVariance: 2.0764816229442267e-28
Method 2: time: 1.003484762, rttEMAVariance: 522.0563748642214, cwndEMAVariance: 6.702921000000253e-11
Method 2: time: 1.002416966, rttEMAVariance: 0.04001240994387866, cwndEMAVariance: 2.0764810000001436e-10
Method 2: time: 1.00400434, rttEMAVariance: 6.350636125307986e-10, cwndEMAVariance: 2.07654329442983e-08
Method 2: time: 1.001637731, rttEMAVariance: 0.0043576524330513336, cwndEMAVariance: 8.743204440699611e-13
Method 2: time: 1.002946564, rttEMAVariance: 0.37205447934016, cwndEMAVariance: 2.0764809999999538e-12
Method 2: time: 1.002900472, rttEMAVariance: 167.23244145039143, cwndEMAVariance: 2.076481000000142e-13
Method 2: time: 1.002401149, rttEMAVariance: 8.02205164395203, cwndEMAVariance: 2.0764809999999532e-13
Method 2: time: 1.007791495, rttEMAVariance: 0.7217434702762633, cwndEMAVariance: 7.225344000000124e-14
Method 2: time: 1.0026927, rttEMAVariance: 0.003973960099188171, cwndEMAVariance: 2.0764809999999385e-45
Method 2: time: 1.001705272, rttEMAVariance: 0.3021984291616825, cwndEMAVariance: 2.0764810000001417e-14
Method 2: time: 1.000201538, rttEMAVariance: 0.07055294400081173, cwndEMAVariance: 20.762733518999163
Method 2: time: 1.001975223, rttEMAVariance: 0.012548284627368633, cwndEMAVariance: 2.0764809999996422e-15
Method 2: time: 1.003076559, rttEMAVariance: 13.091342681950069, cwndEMAVariance: 2.076481000000141e-15
Method 2: time: 1.003905291, rttEMAVariance: 0.1346875463114759, cwndEMAVariance: 2.0764809999998284e-15
Method 2: time: 1.001829634, rttEMAVariance: 0.008011679114975068, cwndEMAVariance: 2.0764809999999513e-17
Method 2: time: 1.00386669, rttEMAVariance: 0.04622455383351421, cwndEMAVariance: 2.0764809999999997e-17
Method 2: time: 1.003425996, rttEMAVariance: 172.21584610185414, cwndEMAVariance: 2.076480999999951e-18
Method 2: time: 1.003240562, rttEMAVariance: 26967.0031808708, cwndEMAVariance: 2.07648099999999e-38
Method 2: time: 1.000669092, rttEMAVariance: 99.26469538128352, cwndEMAVariance: 2.07648100000014e-18
Method 2: time: 1.004791785, rttEMAVariance: 63.39173930382949, cwndEMAVariance: 1.4791715999999615e-55
Method 2: time: 1.004333522, rttEMAVariance: 111.10275038440267, cwndEMAVariance: 2055.7161899999583
Method 2: time: 1.000622276, rttEMAVariance: 33.51751321876359, cwndEMAVariance: 2.0764809999999993e-18
Method 2: time: 1.00362896, rttEMAVariance: 3.5685293230314485, cwndEMAVariance: 2.0764809997921268e-05
Method 2: time: 1.002626855, rttEMAVariance: 17.20528009879607, cwndEMAVariance: 2.0764809999999983e-20
Method 2: time: 1.002214279, rttEMAVariance: 4.923487729184525, cwndEMAVariance: 2.0764809999999485e-23
Method 2: time: 1.003338554, rttEMAVariance: 0.007507592520215901, cwndEMAVariance: 2.0764809999999485e-23
Method 2: time: 1.00375295, rttEMAVariance: 0.1433122295344886, cwndEMAVariance: 2.0764810000001385e-21
Method 2: time: 1.002283036, rttEMAVariance: 0.002304912954315349, cwndEMAVariance: 2.0764809999999405e-40
Method 2: time: 1.004251802, rttEMAVariance: 0.002501001895377559, cwndEMAVariance: 2.0764809999998255e-21
Method 2: time: 1.002737167, rttEMAVariance: 0.00542891305786, cwndEMAVariance: 2.0764809999997496e-184
Method 2: time: 1.00266628, rttEMAVariance: 0.0037824655029288614, cwndEMAVariance: 2.076480999999921e-82
Method 2: time: 1.003905962, rttEMAVariance: 8.383199506796936, cwndEMAVariance: 1.439443600000013e-61
Method 2: time: 1.003167836, rttEMAVariance: 0.19413544019312828, cwndEMAVariance: 2.0764809999999964e-24
Method 2: time: 1.001891996, rttEMAVariance: 3.805561323358239, cwndEMAVariance: 2.0764872294428212e-08
Method 2: time: 1.002553923, rttEMAVariance: 24.71445278432816, cwndEMAVariance: 2.076480999999948e-24
Method 2: time: 1.003643748, rttEMAVariance: 1.4869175621109938, cwndEMAVariance: 2.076480999999783e-08
Method 2: time: 1.023583628, rttEMAVariance: 24.08202117200776, cwndEMAVariance: 1.133667766331042
Method 2: time: 1.004624266, rttEMAVariance: 11.76631140359096, cwndEMAVariance: 1.1417640999923567e-30
Method 2: time: 1.000887002, rttEMAVariance: 172.97739136883865, cwndEMAVariance: 2.077103944300262e-45
Method 2: time: 1.00399568, rttEMAVariance: 1.2830457254772125, cwndEMAVariance: 2.0764809999999935e-30
Method 2: time: 1.004083195, rttEMAVariance: 4.879217724413704, cwndEMAVariance: 2.076481000000141e-15
Method 2: time: 1.00162174, rttEMAVariance: 4.036073998457738, cwndEMAVariance: 2.0764810006231236e-15
Method 2: time: 1.003158644, rttEMAVariance: 151.93450825961162, cwndEMAVariance: 1.5178815999999493e-73
