Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1720
3,0,40960,1763
4,0,40960,1796
5,504,40960,76
6,504,40960,318
7,504,40960,242
8,504,40960,445
9,488,40960,0
10,488,40960,1366
11,488,40960,0
12,488,40960,1409
13,488,40960,1455
14,460,40960,0
15,460,40960,1430
16,460,40960,1470
17,460,40960,1497
18,460,40960,27
19,515,40960,0
20,515,40960,1441
21,489,40960,0
22,489,40960,783
23,489,40960,810
24,503,40960,0
25,503,40960,32
26,503,40960,127
27,529,40960,0
28,529,40960,96
29,529,40960,192
30,497,40960,0
31,497,40960,27
32,497,40960,58
33,497,40960,1499
34,497,40960,2940
35,497,40960,4381
36,497,40960,5822
37,497,40960,6491
38,497,40960,6514
39,490,40960,6456
40,568,40960,3574
41,649,40960,692
42,733,40960,0
43,733,40960,96
44,733,40960,191
45,723,40960,0
46,723,40960,95
47,723,40960,126
48,723,40960,1567
49,723,40960,3008
50,723,40960,4449
51,723,40960,4987
52,675,40960,4861
53,714,40960,1979
54,765,40960,0
55,765,40960,94
56,765,40960,187
57,734,40960,0
58,734,40960,92
59,734,40960,186
60,718,40960,0
61,718,40960,31
62,718,40960,1472
63,718,40960,2913
64,718,40960,4354
65,718,40960,5126
66,718,40960,5149
67,719,40960,3677
68,734,40960,795
69,727,40960,0
70,727,40960,93
71,727,40960,188
72,716,40960,0
73,716,40960,94
74,716,40960,189
75,699,40960,0
76,699,40960,32
77,699,40960,1473
78,699,40960,2914
79,699,40960,4355
80,699,40960,4605
81,698,40960,3132
82,709,40960,250
83,709,40960,345
84,707,40960,0
85,707,40960,95
86,707,40960,127
87,707,40960,1568
88,707,40960,3009
89,707,40960,4450
90,707,40960,5042
91,707,40960,5066
92,652,40960,4939
93,671,40960,2057
94,701,40960,24
95,701,40960,126
96,647,40960,0
97,647,40960,95
98,647,40960,190
99,600,40960,0
100,600,40960,95
101,600,40960,191
102,562,40960,0
103,562,40960,32
104,562,40960,1473
105,562,40960,2914
106,562,40960,4355
107,562,40960,4819
108,637,40960,3346
109,712,40960,464
110,712,40960,560
111,712,40960,656
112,697,40960,96
113,697,40960,128
114,697,40960,1569
115,697,40960,3010
116,697,40960,4451
117,697,40960,4824
118,697,40960,4848
119,659,40960,4720
120,642,40960,1838
121,628,40960,24
122,628,40960,119
123,600,40960,0
124,600,40960,95
125,600,40960,188
126,600,40960,282
127,583,40960,0
128,583,40960,32
129,583,40960,1473
130,583,40960,2914
131,583,40960,4355
132,583,40960,4943
133,583,40960,4967
134,633,40960,0
135,633,40960,95
136,633,40960,190
137,588,40960,0
138,588,40960,95
139,588,40960,127
140,588,40960,1568
141,588,40960,3009
142,588,40960,4403
143,565,40960,4276
144,565,40960,4371
145,586,40960,0
146,586,40960,95
147,586,40960,190
148,591,40960,0
149,591,40960,32
150,591,40960,1473
151,591,40960,2914
152,591,40960,3664
