Time (s),Upload (Bps),Download (Bps)
0,7303,1259
1,179,332
2,142886,3189
3,144634,2634
4,147889,2566
5,134138,2525
6,102491,2724
7,109435,2643
8,109407,2561
9,106838,2605
10,35929,2952
11,23931,2496
12,23064,2557
13,25532,2530
14,19920,2516
15,26284,2476
16,22583,2576
17,19209,2556
18,29249,2474
19,22140,2585
20,23333,2568
21,25072,2491
22,24390,2590
23,24845,2563
24,24598,2529
25,24632,2526
26,24716,2499
27,24224,2467
28,24989,2439
29,24893,2437
30,25759,2502
31,23496,2413
32,23635,2673
33,23828,2598
34,23883,2417
35,24117,2422
36,24661,2565
37,23983,2591
38,23685,2450
39,23713,2522
40,23973,2475
41,24175,2559
42,24014,2502
43,26624,2506
44,24645,2533
45,23814,2416
46,23636,2524
47,25031,2593
48,23942,2581
49,24911,2531
50,24307,2361
51,20317,2441
52,18102,2335
53,22864,2426
54,20319,2410
55,18869,2573
56,27102,2445
57,22616,2617
58,23933,2495
59,29129,2496
60,25188,2470
61,25137,2504
62,22907,2559
63,24337,2475
64,25361,2684
65,17462,2496
66,24628,2507
67,23055,2448
68,21813,2476
69,27317,2382
70,27816,2641
71,23436,2532
72,24317,2462
73,24666,2452
74,24561,2541
75,23766,2465
76,23846,2529
77,24780,2572
78,21119,2466
79,20691,2672
80,17147,2496
81,25346,2533
82,24381,2514
83,18584,2561
84,20141,2485
85,26497,2493
86,21702,2560
87,19533,2584
88,22610,2467
89,19337,2623
90,23958,2489
91,25022,2528
92,22375,2554
93,22155,2591
94,19954,2585
95,29096,2582
96,26319,2523
97,29209,2610
98,24766,2478
99,23891,2464
100,27084,2551
101,87926,2918
102,73097,2521
103,86870,2593
104,64902,2463
105,78539,2502
106,81789,2556
107,104634,2694
108,86395,2501
109,68146,2700
110,78256,2588
111,100750,2767
112,83488,2704
113,137552,2755
114,190041,2702
115,117787,2770
116,125102,2892
117,97248,2741
118,87304,2792
119,56939,2761
120,52344,2631
121,52951,2669
122,108368,2788
123,74990,2788
124,54524,2760
125,51814,2594
126,71812,2734
127,67447,2811
128,81811,2828
129,76758,2806
130,91646,2860
131,78099,2786
132,67847,2642
133,90984,2786
134,91782,2652
135,99205,2667
136,67993,2682
137,111907,2804
138,115151,2948
139,59023,2767
140,52776,2798
141,51261,2678
142,40387,2673
143,30709,2762
144,70837,2667
145,73574,2723
146,93055,2608
147,102010,2736
148,129342,2891
149,68263,2745
150,69883,2767
151,54327,2821
152,36213,2748
153,49052,2735
154,53923,2684
155,73570,2716
156,95401,2602
157,82641,2518
158,95074,2560
159,85036,2563
160,88747,2717
161,45235,2537
162,49420,2535
163,83930,2632
164,101536,2543
165,53707,2565
166,48709,2602
167,53620,2666
168,59145,2633
169,63251,2626
170,81991,2675
171,138673,2420
172,107218,2468
173,78348,2512
174,78353,2563
175,107847,2598
176,122879,2604
177,121637,2523
178,115368,2623
179,133391,2530
180,66823,2657
181,149039,2629
182,146302,2678
183,103596,2651
184,54716,2731
185,29495,2667
186,33535,2657
187,166743,2523
188,117748,2687
189,101056,2687
190,163660,2502
191,107961,2661
192,39514,2564
193,82469,2533
194,59696,2593
195,67713,2616
196,84516,2626
197,61489,2656
198,51193,2628
199,52847,2742
200,62937,2657
201,113658,2655
202,57659,2562
203,111330,2439
204,149574,2614
205,162795,2443
206,154308,2778
