Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1725
3,0,40960,1768
4,0,40960,1801
5,1044,40960,76
6,1044,40960,313
7,1684,40960,237
8,1684,40960,0
9,1684,40960,204
10,1608,40960,0
11,1608,40960,35
12,1608,40960,68
13,1437,40960,0
14,1437,40960,1366
15,1437,40960,1415
16,1339,40960,0
17,1339,40960,1409
18,1212,40960,0
19,1212,40960,784
20,1212,40960,811
21,1197,40960,0
22,1197,40960,1430
23,1068,40960,0
24,1068,40960,32
25,960,40960,0
26,960,40960,1441
27,960,40960,1474
28,872,40960,0
29,872,40960,90
30,872,40960,183
31,795,40960,0
32,795,40960,92
33,795,40960,804
34,720,40960,0
35,720,40960,90
36,720,40960,185
37,675,40960,0
38,675,40960,851
39,675,40960,944
40,675,40960,1035
41,627,40960,91
42,627,40960,181
43,573,40960,0
44,573,40960,88
45,573,40960,905
46,533,40960,0
47,533,40960,90
48,533,40960,187
49,505,40960,0
50,505,40960,92
51,505,40960,181
52,476,40960,0
53,476,40960,878
54,476,40960,970
55,439,40960,0
56,439,40960,90
57,439,40960,1038
58,423,40960,0
59,423,40960,91
60,423,40960,183
61,399,40960,0
62,399,40960,93
63,399,40960,185
64,746,40960,0
65,746,40960,95
66,746,40960,1018
67,847,40960,0
68,847,40960,98
69,847,40960,196
70,1154,40960,0
71,1154,40960,950
72,1154,40960,1047
73,1031,40960,0
74,1031,40960,98
75,1031,40960,199
76,928,40960,0
77,928,40960,102
78,928,40960,974
79,842,40960,0
80,842,40960,98
81,842,40960,201
82,764,40960,0
83,764,40960,947
84,764,40960,1049
85,695,40960,0
86,695,40960,100
87,695,40960,196
88,641,40960,0
89,641,40960,93
90,641,40960,1220
91,588,40960,0
92,588,40960,89
93,588,40960,185
94,545,40960,0
95,545,40960,94
96,545,40960,190
97,509,40960,0
98,509,40960,95
99,509,40960,1134
100,474,40960,0
101,474,40960,97
102,447,40960,0
103,447,40960,105
104,447,40960,1418
105,418,40960,0
106,418,40960,98
107,418,40960,194
108,394,40960,0
109,394,40960,99
110,394,40960,199
111,398,40960,0
112,398,40960,32
113,398,40960,1473
114,398,40960,2603
115,427,40960,1130
116,427,40960,1227
117,439,40960,0
118,439,40960,87
119,439,40960,1334
120,419,40960,0
121,419,40960,90
122,419,40960,179
123,403,40960,0
124,403,40960,88
125,403,40960,176
126,395,40960,0
127,395,40960,91
128,395,40960,1183
129,379,40960,0
130,379,40960,87
131,379,40960,175
132,395,40960,0
133,395,40960,1178
134,395,40960,1265
135,370,40960,0
136,370,40960,89
137,359,40960,0
138,359,40960,88
139,359,40960,178
140,344,40960,0
141,344,40960,1144
142,332,40960,0
143,332,40960,90
144,332,40960,175
145,318,40960,0
146,318,40960,88
147,311,40960,0
148,311,40960,91
149,311,40960,1240
150,304,40960,0
151,304,40960,90
152,304,40960,179
153,295,40960,0
