Time (s),Upload (Bps),Download (Bps)
0,3529,911
1,2361,338
2,46175,2736
3,60737,2536
4,86151,2650
5,104541,2524
6,125000,2612
7,87758,2920
8,26665,2503
9,23260,2430
10,25325,2556
11,23073,2522
12,32914,2476
13,21751,2527
14,28188,2498
15,20984,2585
16,26244,2580
17,21274,2530
18,27654,2634
19,18520,2530
20,24485,2450
21,23431,2495
22,20697,2558
23,22360,2438
24,21065,2497
25,23857,2504
26,25483,2533
27,24611,2446
28,25074,2436
29,23485,2567
30,26172,2480
31,23601,2492
32,25288,2582
33,23507,2443
34,26278,2587
35,23294,2509
36,25216,2497
37,23306,2533
38,25510,2521
39,22704,2620
40,25103,2567
41,23117,2479
42,24764,2479
43,22390,2587
44,24715,2503
45,23612,2503
46,24668,2558
47,23359,2535
48,27376,2440
49,23027,2453
50,25445,2619
51,22071,2625
52,26568,2391
53,22877,2419
54,25020,2500
55,24195,2417
56,24680,2474
57,15782,2451
58,22282,2504
59,21719,2475
60,17922,2472
61,23139,2508
62,23568,2481
63,22144,2409
64,30900,2508
65,23824,2594
66,27277,2546
67,22203,2506
68,25753,2554
69,27854,2449
70,18304,2433
71,14731,2499
72,28000,2602
73,16838,2465
74,27773,2481
75,35772,2332
76,25207,2531
77,23791,2502
78,24486,2537
79,24121,2408
80,25171,2455
81,23194,2439
82,24612,2476
83,22720,2325
84,21870,2677
85,13801,2555
86,25367,2528
87,21937,2627
88,22554,2560
89,17048,2506
90,27584,2582
91,17195,2472
92,23603,2538
93,17331,2496
94,18542,2479
95,22322,2496
96,28286,2499
97,22978,2416
98,22028,2359
99,17672,2533
100,29427,2533
101,18123,2479
102,34250,2413
103,17853,2488
104,29825,2532
105,24624,2476
106,33528,2475
107,24108,2441
108,28119,2477
109,26457,2615
110,26696,2541
111,26076,2523
112,26870,2411
113,26251,2401
114,24323,2501
115,24409,2473
116,25420,2452
117,22459,2492
118,30812,2444
119,27126,2507
120,24736,2465
121,27714,2624
122,24578,2797
123,23475,2675
124,21190,2868
125,19593,2689
126,24341,2802
127,26871,2645
128,25211,2613
129,19756,2770
130,24584,2624
131,21578,2560
132,25168,2666
133,22681,2679
134,24813,2744
135,23732,2743
136,25721,2755
137,23368,2805
138,25590,2701
139,25419,2669
140,24476,2700
141,23498,2696
142,25396,2715
143,26859,2790
144,20674,2714
145,22104,2632
146,23054,2766
147,19102,2828
148,19261,2739
149,26559,2738
150,23216,2686
151,51869,3216
152,101991,2645
153,113398,2768
154,70320,2713
155,82141,2863
156,40664,2669
157,43044,2743
158,31710,2801
159,52755,2718
160,52743,2692
161,90252,2839
162,77585,2636
163,94621,2766
164,92636,2809
165,71919,2891
166,61365,2872
167,47685,2768
168,61431,2866
169,100291,2777
170,57102,2646
171,50727,2674
172,37357,2711
173,60819,2597
174,51749,2601
175,73723,2604
176,119763,2777
177,125048,2599
178,70532,2627
179,78632,2569
180,91990,2546
181,115746,2600
182,115730,2641
183,114394,2741
184,114907,2775
185,96211,2609
186,110225,2759
187,145250,2712
188,145895,2809
189,72962,2594
190,20588,2583
191,33568,2720
192,104058,2560
193,148718,2631
194,111010,2651
195,104917,2625
196,169359,2659
197,59324,2712
198,58025,2655
199,66006,2642
200,69399,2664
201,90537,2579
202,50956,2755
203,59728,2594
204,46668,2617
205,46545,2595
206,104667,2593
207,89819,2611
208,65210,2625
209,156483,2694
210,154221,2542
211,182024,2692
212,180701,2538
213,204227,2633
214,79560,2651
215,70611,2625
216,69411,2808
217,81664,2747
218,108695,2654
219,84992,2651
220,50723,2624
221,49175,2609
222,20987,2661
223,30227,2723
224,39329,2782
225,58333,2719
226,110387,2743
227,106477,2657
228,49690,2624
229,88205,2720
230,42304,2598
231,35463,2559
232,48504,2626
233,88449,2626
234,56851,2679
235,55140,2721
236,35222,2663
237,54998,2651
238,30381,2719
239,44386,2679
240,38609,2717
241,83216,2665
242,91618,2721
243,132854,2533
244,160970,2635
245,119460,2590
246,123901,2495
247,111485,2653
248,148524,2582
249,103324,2589
250,58271,2691
251,58906,2586
252,120040,2697
253,131797,2673
254,67930,2531
255,65686,2624
256,36395,2587
257,99077,2745
258,78834,2656
259,85999,2704
260,71474,2622
261,81423,2824
262,67354,2741
263,90208,2570
264,51233,2563
265,69581,2613
266,62158,2553
267,64610,2703
268,42750,2669
269,64035,2586
270,104666,2847
271,145116,2565
272,136740,2737
273,134778,2643
274,66259,2711
275,57364,2648
276,82518,2557
277,108988,2692
278,98246,2622
279,103320,2687
280,95241,2462
281,48052,2592
282,70330,2591
283,68141,2666
284,67386,2562
285,35615,2616
286,24669,2624
287,39356,2617
288,34258,2767
289,47589,2589
290,24108,2580
291,38095,2537
292,80233,2731
293,155639,2634
294,123613,2612
295,127739,2604
296,42906,2556
297,120563,2575
298,111442,2539
299,36311,2642
300,84457,2600
301,76074,2637
302,79863,2603
303,109074,2515
304,92499,2652
305,65767,2659
306,57133,2607
307,112829,2601
308,98063,2753
309,55495,2598
310,67861,2664
311,110800,2593
312,123534,2556
313,164849,2639
314,135524,2473
315,129884,2713
316,112006,2686
317,126775,2786
318,133262,2566
319,89807,2693
320,194559,2574
321,175171,2542
322,66772,2584
323,96179,2655
324,99497,2710
325,114161,2716
326,102274,2562
327,204753,2633
328,163606,2598
329,102063,2575
330,81852,2444
331,118515,2588
332,102356,2618
333,88285,2649
334,76151,2657
335,85112,2654
336,93769,2653
337,64667,2626
338,22910,2686
339,53176,2746
340,45190,2634
341,48862,2603
342,81895,2578
343,198878,2543
344,197080,2602
345,200187,2677
346,185262,2559
347,148827,2624
348,160099,2634
349,177146,2629
350,197823,2513
351,146737,2745
352,133807,2597
353,92391,2649
354,27333,1771
355,272,38
