Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1715
3,0,40960,1772
4,728,40960,57
5,728,40960,294
6,658,40960,0
7,658,40960,203
8,604,40960,0
9,604,40960,1366
10,604,40960,1417
11,548,40960,0
12,548,40960,1409
13,548,40960,0
14,548,40960,40
15,548,40960,67
16,503,40960,0
17,503,40960,1430
18,503,40960,0
19,503,40960,778
20,503,40960,805
21,475,40960,0
22,475,40960,1441
23,510,40960,0
24,510,40960,27
25,510,40960,121
26,474,40960,0
27,474,40960,33
28,474,40960,127
29,452,40960,0
30,452,40960,94
31,452,40960,125
32,452,40960,1566
33,452,40960,3007
34,452,40960,4287
35,452,40960,4310
36,424,40960,4185
37,455,40960,1303
38,468,40960,0
39,468,40960,94
40,468,40960,188
41,442,40960,0
42,442,40960,94
43,442,40960,188
44,428,40960,0
45,428,40960,31
46,428,40960,1472
47,428,40960,2913
48,428,40960,4300
49,462,40960,2828
50,504,40960,0
51,504,40960,94
52,504,40960,188
53,469,40960,0
54,469,40960,31
55,469,40960,1472
56,469,40960,2913
57,469,40960,4249
58,541,40960,2777
59,607,40960,0
60,607,40960,94
61,607,40960,189
62,558,40960,0
63,558,40960,95
64,558,40960,190
65,517,40960,0
66,517,40960,95
67,517,40960,127
68,517,40960,1568
69,517,40960,3009
70,517,40960,4415
71,485,40960,4288
72,518,40960,1406
73,518,40960,1501
74,481,40960,0
75,481,40960,95
76,481,40960,127
77,481,40960,1568
78,481,40960,3009
79,481,40960,4450
80,481,40960,4489
81,466,40960,4362
82,461,40960,1480
83,462,40960,0
84,462,40960,95
85,462,40960,191
86,438,40960,0
87,438,40960,102
88,438,40960,196
89,421,40960,0
90,421,40960,32
91,421,40960,1473
92,421,40960,2914
93,421,40960,3193
94,459,40960,1720
95,509,40960,0
96,509,40960,95
97,509,40960,191
98,477,40960,0
99,477,40960,96
100,477,40960,190
101,441,40960,0
102,441,40960,32
103,441,40960,1473
104,441,40960,2914
105,441,40960,4222
106,458,40960,2749
107,485,40960,0
108,485,40960,95
109,485,40960,190
110,453,40960,0
111,453,40960,32
112,453,40960,1473
113,453,40960,2914
114,453,40960,3544
115,475,40960,2071
116,510,40960,0
117,510,40960,94
118,510,40960,189
119,473,40960,0
120,473,40960,95
121,473,40960,190
122,447,40960,0
123,447,40960,95
124,447,40960,127
125,447,40960,1568
126,447,40960,3009
127,447,40960,4117
128,447,40960,4141
129,424,40960,4014
130,455,40960,0
131,455,40960,95
132,455,40960,190
133,429,40960,0
134,429,40960,32
135,429,40960,1473
136,429,40960,2914
137,429,40960,4086
138,429,40960,4110
139,429,40960,4205
140,402,40960,0
141,402,40960,95
142,386,40960,0
143,386,40960,96
144,386,40960,192
145,384,40960,0
146,384,40960,32
147,384,40960,1473
148,384,40960,2914
149,384,40960,4232
150,436,40960,0
151,436,40960,95
152,410,40960,0
153,410,40960,101
