Time (s),Upload (Bps),Download (Bps)
0,4988,910
1,2366,338
2,127522,3192
3,145392,2740
4,139735,2667
5,144511,2558
6,126097,2585
7,97898,2528
8,98299,2522
9,107945,2603
10,96736,2499
11,109220,2588
12,67092,2500
13,58317,2464
14,61879,2593
15,40823,2649
16,88268,2582
17,53086,2979
18,16758,2540
19,27632,2504
20,22714,2555
21,26174,2525
22,22767,2565
23,27104,2491
24,23337,2504
25,25968,2467
26,23135,2549
27,25908,2650
28,24208,2558
29,25647,2439
30,24251,2558
31,27350,2618
32,22701,2473
33,24864,2445
34,23077,2590
35,24664,2531
36,22737,2534
37,25010,2561
38,22404,2507
39,23279,2447
40,23219,2447
41,25225,2519
42,23456,2566
43,28610,2387
44,24139,2473
45,26320,2459
46,22791,2535
47,25303,2412
48,21250,2583
49,27129,2565
50,22929,2435
51,26308,2511
52,17285,2414
53,19728,2516
54,21990,2400
55,20944,2411
56,20353,2536
57,25924,2591
58,20117,2499
59,25371,2510
60,27724,2500
61,28712,2412
62,22381,2496
63,23647,2452
64,24281,2415
65,25657,2440
66,14362,2472
67,27135,2582
68,17164,2510
69,27339,2497
70,28164,2493
71,28656,2449
72,23049,2497
73,25298,2530
74,24952,2446
75,25007,2557
76,23263,2531
77,24118,2497
78,23554,2478
79,22557,2564
80,17259,2469
81,19796,2419
82,20349,2535
83,25984,2433
84,14577,2509
85,27325,2589
86,16714,2561
87,24101,2483
88,15540,2436
89,21350,2536
90,18733,2501
91,26964,2508
92,24559,2413
93,23101,2499
94,19011,2569
95,26630,2415
96,16984,2417
97,30159,2474
98,21875,2409
99,25454,2591
100,26756,2501
101,30243,2555
102,27776,2413
103,29282,2446
104,26557,2501
105,26313,2511
106,23997,2502
107,27573,2469
108,26527,2477
109,26353,2433
110,22226,2483
111,27559,2535
112,24093,2453
113,23513,2535
114,31882,2487
115,27027,2527
116,26435,2672
117,26688,2545
118,22388,2768
119,24119,2700
120,20263,2729
121,22837,2755
122,24553,2662
123,28650,2669
124,20770,2730
125,22522,2693
126,20390,2747
127,26597,2853
128,20232,2639
129,26760,2725
130,24163,2879
131,25952,2768
132,21584,2715
133,26005,2765
134,24287,2800
135,26028,2744
136,21792,2830
137,25674,2745
138,26448,2800
139,23342,2802
140,22162,2701
141,21458,2740
142,19471,2715
143,20560,2673
144,13904,2740
145,27444,2704
146,27280,2607
147,27084,2671
148,23150,2739
149,29571,2738
150,24661,2801
151,26793,2679
152,18987,2792
153,19990,2668
154,20037,2735
155,24982,2772
156,23877,2635
157,27725,2645
158,24186,2735
159,29640,2767
160,23829,2787
161,26331,2762
162,18860,2684
163,25988,2694
164,25674,2825
165,29375,2766
166,19989,2755
167,20785,2650
168,21613,2670
169,22365,2679
170,23267,2672
171,30695,2769
172,26129,2797
173,26243,2769
174,22619,2648
175,24979,2769
176,30919,2649
