Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1727
3,0,40960,1770
4,0,40960,1803
5,368,40960,76
6,368,40960,318
7,755,40960,242
8,755,40960,445
9,716,40960,0
10,716,40960,1366
11,716,40960,0
12,716,40960,40
13,716,40960,73
14,644,40960,0
15,644,40960,1409
16,644,40960,0
17,644,40960,49
18,597,40960,0
19,597,40960,1430
20,795,40960,0
21,795,40960,1441
22,839,40960,0
23,839,40960,783
24,839,40960,810
25,876,40960,0
26,876,40960,27
27,827,40960,0
28,827,40960,33
29,827,40960,124
30,745,40960,0
31,745,40960,92
32,745,40960,179
33,745,40960,268
34,745,40960,364
35,753,40960,185
36,697,40960,0
37,697,40960,614
38,697,40960,711
39,629,40960,0
40,629,40960,93
41,629,40960,774
42,586,40960,0
43,586,40960,92
44,586,40960,186
45,542,40960,0
46,542,40960,89
47,542,40960,182
48,497,40960,0
49,497,40960,839
50,497,40960,930
51,457,40960,0
52,457,40960,88
53,457,40960,932
54,425,40960,0
55,425,40960,87
56,425,40960,172
57,393,40960,0
58,393,40960,87
59,393,40960,176
60,366,40960,0
61,366,40960,800
62,366,40960,893
63,360,40960,0
64,360,40960,94
65,360,40960,824
66,346,40960,0
67,346,40960,91
68,346,40960,185
69,327,40960,0
70,327,40960,93
71,327,40960,184
72,323,40960,0
73,323,40960,96
74,323,40960,944
75,312,40960,0
76,312,40960,94
77,312,40960,186
78,295,40960,0
79,295,40960,91
80,295,40960,180
81,284,40960,0
82,284,40960,802
83,284,40960,893
84,270,40960,0
85,270,40960,97
86,270,40960,964
87,272,40960,0
88,272,40960,99
89,272,40960,188
90,263,40960,0
91,263,40960,92
92,263,40960,182
93,285,40960,0
94,285,40960,924
95,285,40960,1015
96,277,40960,0
97,277,40960,92
98,277,40960,185
99,276,40960,0
100,276,40960,941
101,276,40960,1033
102,285,40960,0
103,285,40960,102
104,285,40960,200
105,279,40960,0
106,279,40960,98
107,279,40960,1012
108,272,40960,0
109,272,40960,97
110,272,40960,195
111,268,40960,0
112,268,40960,848
113,268,40960,949
114,274,40960,0
115,274,40960,102
116,274,40960,200
117,273,40960,0
118,273,40960,103
119,273,40960,994
120,270,40960,0
121,270,40960,102
122,270,40960,195
123,264,40960,0
124,264,40960,1074
125,264,40960,1170
126,264,40960,0
127,264,40960,93
128,264,40960,182
129,267,40960,0
130,267,40960,96
131,267,40960,190
132,274,40960,94
133,474,40960,0
134,474,40960,973
135,445,40960,0
136,445,40960,96
137,445,40960,191
138,426,40960,0
139,426,40960,97
140,426,40960,196
141,398,40960,0
142,398,40960,1025
143,374,40960,0
144,374,40960,98
145,374,40960,194
146,360,40960,0
147,360,40960,1333
148,335,40960,0
149,335,40960,99
150,335,40960,199
151,312,40960,0
152,312,40960,97
153,312,40960,184
154,291,40960,0
155,291,40960,32
156,291,40960,1473
157,291,40960,2626
