Time (s),Upload (Bps),Download (Bps)
0,29263,3060
1,51145,2537
2,72769,2880
3,95165,2642
4,115070,2557
5,132436,2636
6,143059,2583
7,143849,2703
8,147602,2566
9,133442,2698
10,101189,2586
11,103234,2556
12,116458,2553
13,106506,2620
14,108693,2702
15,75542,2592
16,56648,2533
17,71799,2656
18,41417,2502
19,83042,2463
20,67376,2478
21,35257,2585
22,83165,2503
23,111404,2587
24,112317,2504
25,111797,2573
26,115529,2489
27,110608,2414
28,111958,2497
29,113211,2567
30,116162,2529
31,114401,2501
32,118041,2529
33,120252,2557
34,126333,2616
35,109288,2447
36,107936,2497
37,100596,2524
38,96396,2468
39,86305,2419
40,78746,2566
41,73642,2549
42,61955,2512
43,79199,2439
44,102170,2510
45,96726,2542
46,77871,2517
47,131042,2559
48,194111,2481
49,150584,2593
50,71149,2477
51,80375,2555
52,78946,2552
53,94799,2536
54,119276,2484
55,63633,2499
56,36421,2368
57,56829,2477
58,44737,2357
59,38912,2511
60,74372,2563
61,60473,2497
62,70299,2415
63,74921,2559
64,93047,2475
65,116439,2530
66,109223,2494
67,98404,2473
68,143500,2605
69,32945,2473
70,50222,2456
71,47473,2483
72,59120,2501
73,125380,2497
74,155598,2366
75,146210,2326
76,203324,2507
77,194656,2770
78,194959,2800
79,140169,2736
80,129052,2883
81,106301,2707
82,62710,2816
83,43031,2667
84,30216,2705
85,59613,2794
86,66026,2611
87,36025,2636
88,43303,2959
89,63609,2725
90,53082,2794
91,40713,2771
92,41594,2732
93,39573,2610
94,60091,2697
95,73676,2717
96,50305,2646
97,39344,2761
98,49559,2701
99,47976,2761
100,63132,2783
101,75040,2776
102,47184,2784
103,72683,2808
104,89364,2856
105,88830,2796
106,73781,2699
107,85493,2790
108,66360,2735
109,75684,2697
110,84120,2867
111,102738,2740
112,87978,2661
113,65732,2796
114,77170,2857
115,100537,2838
116,83349,2860
117,137339,2797
118,190979,2836
119,117981,2724
120,124923,2698
121,97143,2738
122,95683,2727
123,57362,2710
124,52304,2694
125,52498,2769
126,108000,2954
127,75409,2738
128,53202,2649
129,52197,2769
130,72560,2775
131,68342,2769
132,82034,2697
133,75719,2745
134,91980,2838
135,79105,2591
136,67050,2680
137,93238,2816
138,93468,2797
139,97562,2595
140,68653,2654
141,111636,2598
142,116971,2559
143,59443,2652
144,52873,2549
145,51698,2667
146,40151,2512
147,30722,2568
148,71594,2727
149,74746,2477
150,98713,2529
151,102839,2629
152,126648,2545
153,68682,2563
154,70109,2447
155,54148,2505
156,36381,2639
157,49544,2625
158,53622,2798
159,73526,2633
160,95067,2520
161,84720,2718
162,96021,2623
163,85001,2556
164,87091,2561
165,45752,2564
166,49885,2660
167,83078,2665
168,102007,2743
169,54560,2778
170,47992,2609
171,54713,2493
172,57721,2483
173,65399,2612
174,82874,2674
175,136765,2596
176,108169,2589
177,76762,2660
178,80284,2652
179,105266,2585
180,121647,2598
181,123012,2681
182,121287,2685
183,138630,2655
184,66990,2582
185,144232,2654
186,151227,2752
187,105624,2618
188,54473,2560
189,29353,2617
190,34017,2584
191,162788,2693
192,124241,2561
193,105349,2578
194,160233,2595
195,116270,2625
196,40196,2511
197,83836,2628
198,59840,2530
199,69925,2556
200,92634,2726
201,61018,2655
202,53375,2552
203,52194,2531
204,62198,2676
205,120688,2630
206,70612,2649
207,106178,2709
208,169489,2590
209,170906,2591
210,165308,2719
211,206674,2626
212,148993,2623
213,78340,2598
214,77102,2489
215,82974,2567
216,91332,2585
217,100884,2750
218,71948,2669
219,47450,2554
220,39288,2616
221,31315,2625
222,47831,2648
223,37188,2646
224,87979,2689
225,111757,2662
226,93780,2681
227,52935,2644
228,95753,2529
229,35194,2744
230,40691,2561
231,94588,2680
232,72377,2642
233,46232,2739
234,55974,2651
235,51886,2627
236,42794,2685
237,40463,2625
238,50177,2681
239,55258,2686
240,91929,2681
241,120182,2603
242,142040,2722
243,152233,2608
244,108521,2571
245,118936,2631
246,153629,2621
247,108662,2749
248,89930,2531
249,55437,2443
250,100244,2594
251,139217,2590
252,100695,2587
253,73256,2710
254,52353,2607
255,72431,2621
256,88976,2631
257,96126,2585
258,71461,2651
259,101728,2568
260,68968,2533
261,80058,2564
262,73064,2622
263,54034,2709
264,64908,2688
265,83139,2592
266,52081,2677
267,61860,2657
268,61366,2751
269,148345,2647
270,147487,2625
271,146887,2627
272,96979,2551
273,82084,2622
274,76001,2531
275,97044,2539
276,99548,2655
277,108786,2581
278,97443,2746
279,78533,2549
280,69125,2601
281,61647,2620
282,78847,2499
283,50372,2561
284,34628,2626
285,36254,2522
286,45474,2722
287,48071,2590
288,42424,2596
289,34400,2529
290,59277,2664
291,101450,2661
292,170664,2585
293,140216,2540
294,75041,2532
295,63261,2656
296,142655,2590
297,91267,2524
298,34663,2622
299,90079,2658
300,79933,2693
301,96480,2575
302,114433,2812
303,89754,2514
304,56575,2532
305,78660,2695
306,150396,2649
307,60570,2629
308,57327,2548
309,106742,2636
310,92039,2559
311,160899,2481
312,172132,2625
313,118599,2659
314,125589,2598
315,115905,2650
316,128081,2623
317,130756,2619
318,133891,2601
319,176399,2573
320,145498,2598
321,57288,2595
322,143615,2527
323,107595,2559
324,89797,2632
325,150116,2621
326,223564,2625
327,108919,2596
328,111347,2568
329,113065,2526
330,104519,2569
331,104701,2557
332,92498,2596
333,83408,2685
334,76403,2538
335,109251,2529
336,48892,2598
337,34972,2653
338,67164,2635
339,54053,2561
340,46829,2627
341,157318,2689
342,201281,2542
343,196009,2609
344,205819,2542
345,161021,2560
346,150617,2534
347,175642,2655
348,185831,2537
349,198009,2659
350,109988,2573
351,159698,2527
352,54690,2533
353,91848,2040
