Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1717
3,0,40960,1774
4,2578,40960,57
5,2578,40960,294
6,3042,40960,237
7,3042,40960,440
8,2695,40960,0
9,2695,40960,46
10,2413,40960,0
11,2413,40960,1366
12,3290,40960,0
13,3290,40960,40
14,3290,40960,67
15,2922,40960,0
16,2922,40960,1409
17,2922,40960,0
18,2922,40960,778
19,2922,40960,805
20,2640,40960,0
21,2640,40960,1430
22,2640,40960,0
23,2640,40960,27
24,2852,40960,0
25,2852,40960,32
26,2852,40960,465
27,2542,40960,0
28,2542,40960,1441
29,2542,40960,1533
30,2268,40960,0
31,2268,40960,94
32,2268,40960,183
33,2268,40960,276
34,2158,40960,93
35,2158,40960,565
36,1922,40960,0
37,1922,40960,90
38,1922,40960,177
39,1710,40960,0
40,1710,40960,462
41,1710,40960,548
42,1533,40960,0
43,1533,40960,84
44,1533,40960,170
45,1404,40960,0
46,1404,40960,88
47,1404,40960,552
48,1277,40960,0
49,1277,40960,93
50,1277,40960,187
51,1168,40960,0
52,1168,40960,452
53,1168,40960,543
54,1071,40960,0
55,1071,40960,94
56,1071,40960,187
57,979,40960,0
58,979,40960,91
59,979,40960,187
60,888,40960,0
61,888,40960,492
62,888,40960,586
63,852,40960,0
64,852,40960,92
65,852,40960,183
66,780,40960,0
67,780,40960,89
68,780,40960,570
69,714,40960,0
70,714,40960,91
71,714,40960,188
72,656,40960,0
73,656,40960,489
74,656,40960,581
75,612,40960,0
76,612,40960,89
77,612,40960,181
78,572,40960,0
79,572,40960,90
80,572,40960,633
81,531,40960,0
82,531,40960,91
83,531,40960,183
84,525,40960,0
85,525,40960,100
86,525,40960,527
87,529,40960,0
88,529,40960,92
89,529,40960,187
90,526,40960,0
91,526,40960,98
92,526,40960,196
93,509,40960,0
94,509,40960,483
95,509,40960,580
96,524,40960,0
97,524,40960,98
98,524,40960,578
99,492,40960,0
100,492,40960,101
101,520,40960,0
102,520,40960,109
103,520,40960,207
104,501,40960,0
105,501,40960,103
106,501,40960,993
107,472,40960,0
108,472,40960,102
109,472,40960,195
110,443,40960,0
111,443,40960,96
112,443,40960,472
113,417,40960,0
114,417,40960,93
115,417,40960,182
116,395,40960,0
117,395,40960,96
118,395,40960,190
119,379,40960,0
120,379,40960,406
121,379,40960,502
122,362,40960,0
123,362,40960,95
124,362,40960,192
125,362,40960,291
126,354,40960,99
127,353,40960,0
128,353,40960,470
129,340,40960,0
130,340,40960,98
131,340,40960,194
132,362,40960,0
133,362,40960,1130
134,350,40960,0
135,350,40960,99
136,350,40960,199
137,340,40960,0
138,340,40960,97
139,340,40960,184
140,334,40960,87
141,340,40960,0
142,340,40960,1015
143,533,40960,0
144,533,40960,90
145,533,40960,179
146,502,40960,0
147,502,40960,594
148,473,40960,0
149,473,40960,88
150,473,40960,176
151,500,40960,0
152,500,40960,91
