Time (s),Upload (Bps),Download (Bps)
0,24846,3205
1,27035,2732
2,25168,2622
3,25215,2638
4,24902,2616
5,24789,2548
6,24488,2557
7,25760,2525
8,24865,2582
9,23534,2448
10,23590,2501
11,31391,2562
12,24201,2516
13,24551,2532
14,25172,2604
15,22696,2551
16,23721,2489
17,24305,2516
18,20058,2473
19,27361,2633
20,21849,2420
21,19342,2497
22,24494,2556
23,23844,2647
24,24492,2553
25,24478,2476
26,24569,2444
27,24990,2558
28,24366,2518
29,24757,2506
30,24553,2554
31,24349,2474
32,24711,2583
33,24776,2497
34,26899,2568
35,24164,2503
36,23964,2443
37,23974,2478
38,23992,2568
39,24191,2674
40,24210,2443
41,23926,2490
42,22709,2621
43,23989,2439
44,24095,2522
45,25822,2480
46,26674,2429
47,25651,2651
48,23713,2416
49,23710,2396
50,24871,2531
51,23210,2499
52,26026,2651
53,24283,2464
54,24512,2448
55,19324,2499
56,19168,2573
57,23358,2504
58,19530,2532
59,22764,2540
60,24437,2565
61,23020,2443
62,23127,2446
63,31694,2560
64,23941,2644
65,25671,2464
66,22302,2507
67,24939,2559
68,24379,2417
69,17700,2444
70,24460,2288
71,23733,2558
72,25034,2474
73,27302,2480
74,26230,2615
75,23662,2545
76,24631,2503
77,26017,2544
78,24456,2677
79,23209,2497
80,23880,2435
81,24476,2530
82,21657,2545
83,19175,2585
84,19941,2529
85,22769,2584
86,23617,2588
87,18237,2638
88,24331,2554
89,20051,2491
90,23226,2529
91,19467,2530
92,19787,2644
93,22325,2441
94,23672,2555
95,24132,2553
96,21960,2593
97,22568,2731
98,25424,2620
99,20589,2495
100,30310,2524
101,24628,2553
102,25604,2640
103,23293,2536
104,28332,2557
105,25615,2331
106,25904,2395
107,25742,2455
108,24637,2459
109,24312,2312
110,26423,2341
111,26966,2590
112,26023,2592
113,23048,2418
114,25145,2513
115,23865,2536
116,22762,2416
117,31640,2486
118,25250,2292
119,26910,2536
120,25381,2402
121,23934,2508
122,22667,2671
123,21739,2738
124,21945,2611
125,27300,2768
126,24679,2712
127,23005,2705
128,21777,2532
129,23545,2615
130,24931,2745
131,23271,2687
132,24935,2659
133,25992,2768
134,24013,2805
135,23428,2657
136,25171,2698
137,24331,2621
138,24382,2635
139,23451,2648
140,24835,2695
141,26562,2647
142,23336,2561
143,24729,2706
144,20292,2560
145,20433,2563
146,18850,2590
147,19313,2610
148,27067,2757
149,25481,2660
150,26961,2614
151,24097,2556
152,27034,2583
153,24526,2657
154,25171,2718
155,22375,2741
156,18719,2723
157,22264,2711
158,23806,2677
159,27664,2552
160,24503,2609
161,24496,2720
162,28315,2623
163,26400,2648
164,22864,2721
165,20078,2699
166,25736,2643
167,23246,2744
168,25339,2736
169,20292,2650
170,20576,2708
171,21684,2575
172,21619,2819
173,24255,2667
174,27217,2794
175,30611,2804
176,23371,2682
177,22700,2798
178,24907,2710
179,27521,2790
180,24580,2714
181,24762,2830
182,24119,2716
183,25508,2634
184,26025,2745
185,27295,2651
186,26251,2799
187,23282,2747
188,21458,2799
189,16813,2684
190,20172,2768
191,33252,2889
192,23903,2707
193,24110,2772
194,33107,2808
195,22404,2704
196,16845,2831
197,24356,2736
198,22704,2646
199,24237,2677
200,25463,2775
201,22406,2741
202,25053,2736
203,18563,2640
204,24393,2707
205,25987,2614
206,20995,2735
207,32002,2746
208,29027,2865
209,26978,2772
210,24951,2683
211,24806,2837
212,24891,2744
213,21789,2850
214,24305,2679
215,24815,2693
216,24712,2704
217,25408,2827
218,21922,2731
219,21351,2772
220,16892,2699
221,19185,2711
222,22486,2700
223,22629,2713
224,25357,2799
225,25372,2641
226,24625,2732
227,21509,2705
228,26444,2767
229,20398,2853
230,20089,2744
231,27952,2831
232,24045,2744
233,19260,2661
234,20679,2784
235,21219,2734
236,19006,2833
237,19677,2644
238,20402,2739
239,22506,2715
240,30562,2862
241,28495,2770
242,32050,2694
243,26938,2735
244,24454,2712
245,26803,2775
246,31879,2712
247,23174,2662
248,23874,2704
249,24678,2745
250,27506,2800
251,27861,2761
252,24103,2798
253,24106,2747
254,20928,2773
255,28125,2712
256,22829,2863
257,23937,2713
258,23352,2808
259,25745,2739
260,21913,2712
261,24904,2739
262,21012,2674
263,22348,2708
264,24590,2729
265,25022,2710
266,19543,2664
267,22197,2703
268,25802,2765
269,28732,2795
270,25795,2769
271,25179,2688
272,22386,2802
273,24304,2778
274,26759,2766
275,24636,2840
276,27278,2703
277,24410,2681
278,24596,2805
279,23977,2729
280,19737,2733
281,19656,2705
282,21895,2736
283,20669,2775
284,18796,2589
285,19018,2650
286,22034,2675
287,21072,2614
288,20430,2791
289,18384,2624
290,26057,2631
291,28512,2681
292,34717,2719
293,28320,2445
294,23312,2535
295,24398,2598
296,30946,2521
297,21390,2571
298,20308,2586
299,21864,2739
300,23859,2776
301,25441,2773
302,25426,2738
303,25362,2713
304,23886,2742
305,25346,2650
306,27029,2852
307,21550,2771
308,23531,2840
309,25398,2713
310,26390,2672
311,30521,2639
312,22534,2706
313,23003,2742
314,23550,2768
315,27778,2736
316,23437,2702
317,23090,2671
318,28134,2622
319,25133,2791
320,30096,2573
321,20543,2735
322,31950,2900
323,27912,2872
324,23466,2756
325,26494,2682
326,24378,2855
327,24315,2768
328,25083,2706
329,26884,2705
330,23396,2650
331,23387,2794
332,24357,2862
333,22066,2714
334,21185,2770
335,28750,2745
336,21317,2795
337,17480,2716
338,25911,2735
339,21474,2801
340,20340,2719
341,24554,2698
342,24156,2781
343,24119,2702
344,24963,2675
345,22784,2616
346,24169,2643
347,24760,2648
348,24425,2589
349,24965,2536
350,23371,2597
351,24806,2616
352,20116,2598
353,16326,1952
354,272,38
355,44,0
356,44,0
357,44,0
