Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1725
3,0,40960,1782
4,743,40960,57
5,743,40960,294
6,1177,40960,237
7,1177,40960,440
8,1101,40960,0
9,1101,40960,1366
10,1101,40960,1412
11,996,40960,0
12,996,40960,1409
13,996,40960,0
14,996,40960,40
15,996,40960,67
16,928,40960,0
17,928,40960,1430
18,851,40960,0
19,851,40960,778
20,851,40960,805
21,843,40960,0
22,843,40960,1441
23,843,40960,0
24,843,40960,27
25,2837,40960,0
26,2837,40960,33
27,2837,40960,128
28,2516,40960,0
29,2516,40960,95
30,2516,40960,190
31,2236,40960,0
32,2236,40960,31
33,2236,40960,1472
34,2236,40960,2913
35,2236,40960,4001
36,2236,40960,4024
37,2048,40960,2552
38,1896,40960,23
39,1896,40960,118
40,1694,40960,0
41,1694,40960,95
42,1694,40960,190
43,1529,40960,0
44,1529,40960,31
45,1529,40960,1472
46,1529,40960,2913
47,1529,40960,4354
48,1529,40960,5795
49,1529,40960,6833
50,1425,40960,5361
51,1345,40960,2479
52,1288,40960,0
53,1288,40960,94
54,1288,40960,188
55,1202,40960,0
56,1202,40960,94
57,1202,40960,188
58,1086,40960,0
59,1086,40960,31
60,1086,40960,1472
61,1086,40960,2913
62,1086,40960,4354
63,1086,40960,5795
64,1086,40960,5896
65,1086,40960,5919
66,1106,40960,4447
67,1134,40960,1565
68,1169,40960,23
69,1169,40960,118
70,1122,40960,0
71,1122,40960,95
72,1122,40960,127
73,1122,40960,1568
74,1122,40960,3009
75,1122,40960,4450
76,1122,40960,5012
77,1193,40960,4885
78,1316,40960,2003
79,1433,40960,0
80,1433,40960,95
81,1433,40960,190
82,1321,40960,0
83,1321,40960,94
84,1321,40960,190
85,1195,40960,0
86,1195,40960,39
87,1195,40960,1480
88,1195,40960,2921
89,1195,40960,4362
90,1195,40960,4696
91,1130,40960,3216
92,1088,40960,334
93,1088,40960,429
94,988,40960,0
95,988,40960,93
96,988,40960,188
97,899,40960,0
98,899,40960,32
99,899,40960,1473
100,899,40960,2914
101,899,40960,4355
102,899,40960,4704
103,899,40960,4728
104,879,40960,3255
105,875,40960,373
106,884,40960,0
107,884,40960,95
108,884,40960,188
109,832,40960,0
110,832,40960,94
111,832,40960,189
112,785,40960,0
113,785,40960,1108
114,785,40960,1201
115,751,40960,0
116,751,40960,93
117,751,40960,125
118,751,40960,1566
119,751,40960,3007
120,751,40960,4448
121,751,40960,5327
122,751,40960,5421
123,700,40960,5296
124,700,40960,5387
125,673,40960,0
126,673,40960,93
127,673,40960,185
128,623,40960,0
129,623,40960,32
130,623,40960,1473
131,623,40960,2914
132,623,40960,4355
133,623,40960,5363
134,623,40960,5387
135,652,40960,0
136,652,40960,92
137,652,40960,183
138,613,40960,0
139,613,40960,1108
140,580,40960,0
141,580,40960,93
142,580,40960,185
143,567,40960,0
144,567,40960,91
